designation,ra,dec,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper
Gaia DR3 3545469496823737856,170.36193916124157,-20.454238172164345,72.86378758599548,0.32478505,191.28506,174.0148505136386,-79.4279876422625,18.144773,8.125107,8.90931,7.2594385,,,,,,,,,,,,
Gaia DR3 3545469496823737984,170.3618294893597,-20.453184458458317,76.19182572554183,0.02649663,255.49338,220.40023902583212,-129.23081280356257,1.3993816,10.18051,11.408585,9.015187,,,,,,,,,,,,
Gaia DR3 3540491079971287552,175.4327350150918,-22.53570434625555,52.7072219929593,0.15452275,437.67087,-166.70616452745477,404.6786859988389,1.4382209,17.01614,20.699802,15.474238,,,,,,,,,,,,
Gaia DR3 3546332682170832128,170.98588570400648,-18.363746221389203,55.584631485587686,0.046332143,612.8095,-611.0980646537346,-45.767470874765124,2.2127507,11.907007,13.325109,10.725187,,,,,,,,,,,,
Gaia DR3 3552000252294347392,166.86431865551566,-19.29169201116245,53.37841940538086,0.016442463,239.4903,-235.05390333553316,-45.88312263866047,1.0603977,9.644162,10.602821,8.6741085,3611.5488,3587.8467,3639.8147,4.3729,4.3066,4.4663,-0.7801,-0.8624,-0.6316,18.7452,18.6955,18.8213
Gaia DR3 5222018879990530304,133.76679892825808,-71.59438347686567,56.893428820070795,0.012290473,553.2489,-209.77226835382132,511.9374134091,1.3240638,13.088557,14.719398,11.862781,,,,,,,,,,,,
Gaia DR3 4117142872419396736,265.10044885904057,-22.398125370675587,48.03247813383884,1.8512262,6.397552,-2.8996151060854687,-5.702709971928893,1.2694154,19.969507,19.40286,17.115408,,,,,,,,,,,,
Gaia DR3 5761985432616501376,133.39836837028676,-3.4931644292214545,115.48757106313471,0.07259748,553.84296,-516.6053978978886,-199.65184645561013,0.8789975,15.888929,19.109976,14.351721,,,,,,,,,,,,
Gaia DR3 5764485618978306176,134.80451030320216,-0.9791039965243932,54.77962132794597,0.047101453,197.06886,156.63551081546456,-119.58868422711556,1.0059143,16.103315,16.570662,15.471751,,,,,,,,,,,,
Gaia DR3 5760701787150565888,133.57293283233423,-5.434323445721112,59.35951989622318,0.04084385,414.7793,-413.6476444734453,30.618611405101216,0.9454876,5.846635,6.175872,5.3507657,5656.338,5654.1025,5658.0054,4.3529,4.3515,4.3546,-0.11,-0.1207,-0.1004,16.8236,16.8007,16.848
Gaia DR3 1808403096750183168,304.6864711011813,15.845915475210456,57.17902406757408,0.018878182,184.09941,174.2356384799086,-59.45193621064845,0.99473196,10.767628,12.025686,9.655908,,,,,,,,,,,,
Gaia DR3 5877160615677467520,228.62054437573607,-57.89056530186498,55.793253845950524,0.023623815,539.54694,-374.09446775109404,-388.7984542022568,1.0018969,12.523364,14.228209,11.266823,,,,,,,,,,,,
Gaia DR3 1239625559894563968,215.37737089906196,18.460518663394787,52.86233842696793,0.14796853,771.6,-753.6358642306657,-165.52791660629217,0.96420205,17.839024,19.97857,16.24612,,,,,,,,,,,,
Gaia DR3 1244571953471006720,206.8133909945028,17.457173637726076,64.04697623237095,0.10931693,473.1983,-468.9225601068748,63.46858141462215,0.86741585,4.356021,4.608971,3.964488,6319.2407,6317.7007,6321.0938,4.1688,4.1645,4.1771,-0.0794,-0.0909,-0.0589,15.6162,15.5681,15.6554
