designation,ra,dec,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper
Gaia DR3 4105161253755590400,281.088940271189,-13.49659045038945,33.33428674453101,0.031185916,107.17129,83.95587070819934,-66.61153290095989,1.2861382,12.904592,14.386387,11.717973,,,,,,,,,,,,
Gaia DR3 4117680224455602176,263.4727080009499,-21.819684488643144,33.33496412602567,2.3854413,23.611954,-23.060841700349783,5.071682806528738,1.461588,20.172073,20.473846,18.94765,,,,,,,,,,,,
Gaia DR3 2195815400318293248,313.9566003987938,61.74281443658232,33.33503174155397,0.020742882,273.71558,218.84450366116693,164.39981351785136,1.0257066,14.844145,16.862448,13.518276,2989.2178,2987.8413,2989.6987,5.0744,5.0727,5.075,-0.141,-0.1432,-0.134,30.0299,29.9969,30.1106
Gaia DR3 1807124742694579328,299.79519401280663,13.826726977613182,33.3353647319572,0.028615378,32.994526,-9.538514290901578,31.585683218757186,1.1198466,14.730725,16.711866,13.418496,,,,,,,,,,,,
Gaia DR3 6569700349557517056,333.3971369950816,-42.76104487465827,33.33559037920191,0.15247332,95.6874,95.45526778914997,6.661154101960232,1.2058605,17.449009,20.724318,15.914156,,,,,,,,,,,,
Gaia DR3 3977589729885034496,172.557142078226,19.62516966200452,33.336009829015595,0.17096728,258.67282,22.6362300844375,-257.6804861331195,1.0953451,17.760143,21.30197,16.209953,,,,,,,,,,,,
Gaia DR3 4291005519405256960,294.8184685104599,4.8590488133713725,33.33702329190203,0.015304364,128.5395,124.69409763745114,31.205561491049757,1.2173798,13.137329,14.711906,11.922925,3026.6921,3023.8389,3119.069,4.2756,4.2652,4.5708,-0.7485,-0.7648,-0.3952,30.0291,29.9643,30.3196
Gaia DR3 6163964031871884672,207.22654259480674,-35.70499090650605,33.33783953620013,0.025859268,559.62946,-529.0809641697749,-182.36909175798098,1.0277153,6.454297,6.724562,6.0200286,6002.626,6001.068,6004.142,4.287,4.2857,4.2885,-0.4027,-0.4177,-0.3868,29.98,29.9542,30.0091
Gaia DR3 4651824622447178368,81.7088803964334,-71.12588189719699,33.33912617787994,0.02739545,226.88358,-49.21732783921944,221.48094851787616,1.0290977,15.329663,17.478674,13.989011,2946.552,2945.6462,2947.335,5.1423,5.1376,5.1431,-0.3368,-0.34,-0.3194,29.9316,29.8921,30.1435
Gaia DR3 1701045647535157888,225.2491890020027,75.26139559199186,33.34043269659153,0.011651154,314.21255,-294.89034982509,-108.48596218815082,1.0201198,9.231377,9.876639,8.462747,4505.7056,4498.321,4509.744,4.6605,4.6534,4.6691,0.7886,0.7674,0.7982,29.8759,29.7463,29.9391
