HD     simbad_parallax simbad_parallax_source MV     B_V   simbad_SpType
123    46.56           2007A&A...474..653V    +04.30 +0.67 G3V+G8V
358    33.62           2007A&A...474..653V    -00.31 -0.11 B8IV-VHgMn
431    09.48           2007A&A...474..653V    +00.89 +0.19 A7IV
493    12.91           2007A&A...474..653V    +00.97 +0.42 F3V
584    05.32           2018yCat.1345....0G    +00.37 -0.08 B8III
1141   05.20           2007A&A...474..653V    -00.07 -0.07 B8Vnn
2772   08.64           2007A&A...474..653V    -00.59 -0.10 B8Vn
3443   64.93           2007A&A...474..653V    +04.63 +0.72 K1V+G
4065   06.89           2007A&A...474..653V    +00.25 -0.03 B9.5V
4128   33.86           2007A&A...474..653V    -00.31 +1.02 G9.5IIICH-1
4294   11.41           2007A&A...474..653V    +01.36 +0.44 F5III/IV
4338   11.23           2007A&A...474..653V    +01.72 +0.31 F0IV
5286   26.33           2007A&A...474..653V    +02.57 +1.00 K0IV(e)
6114   10.41           2007A&A...474..653V    +01.54 +0.25 A9IV
6595   00.12           2007A&A...474..653V    -11.29 +0.89 G8III
6811   04.55           2007A&A...474..653V    -02.46 -0.07 B5IIIe
6860   16.52           2007A&A...474..653V    -01.85 +1.58 M0+IIIa
7916   10.61           2007A&A...474..653V    +01.37 +0.05 A0V
8036   09.93           2007A&A...474..653V    +00.85 +0.64 G8IV+A(8)
8350   16.26           2007A&A...474..653V    +02.41 +0.48 F5/6V
8890   07.54           2007A&A...474..653V    -03.59 +0.60 F8Ib
9377   08.77           2020yCat.1350....0G    +00.53 +1.08 K0III
9906   18.53           2018yCat.1345....0G    +02.03 +0.33 F2V
10144  23.39           2007A&A...474..653V    -02.69 -0.16 B6Vpe
10830  35.57           2007A&A...474..653V    +03.07 +0.39 F1V+K1V
11031  07.84           2007A&A...474..653V    +00.29 +0.29 A3V
11636  55.60           2007A&A...474..653V    +01.37 +0.13 kA4hA5mA5Va
12558  20.53           2007A&A...474..653V    +02.19 +0.54 F8V
12929  49.56           2007A&A...474..653V    +00.48 +1.15 K2-IIIbCa-1
13480  11.22           2007A&A...474..653V    +00.19 +0.78 G0III+G5III
13594  25.26           2007A&A...474..653V    +03.07 +0.40 F4V
14386  10.91           2007A&A...474..653V    -01.77 +1.42 M5-9IIIe+DA
15089  24.55           2007A&A...474..653V    +01.47 +0.12 A3IIIpSr+F5V
15253  06.14           2007A&A...474..653V    +00.45 +0.09 B9.5Vn_sh
15328  06.00           2007A&A...474..653V    +00.34 +0.97 G8III
16765  44.27           2007A&A...474..653V    +03.94 +0.52 F7V
16970  40.97           2007A&A...474..653V    +01.53 +0.09 A2Vn+F4V
17098  05.48           2007A&A...474..653V    +00.05 -0.02 B9.5V
