HD     count
2884   5
2885   5
4757   3
4758   3
5156   4
5788   2
5789   2
6456   3
6457   3
6479   7
6480   7
7344   4
7345   4
7439   2
7788   7
10360  3
10361  3
11502  3
11503  3
11727  1
11749  3
11973  4
12139  1
12446  4
12447  4
12533  3
12534  3
13294  2
13295  2
16046  2
16232  3
16246  3
18519  3
18520  3
18537  4
18538  4
18622  3
18623  3
19134  2
19135  2
21743  2
21769  2
24071  5
24072  5
24554  3
24555  3
25638  39
26913  2
26923  2
27490  3
27710  4
27778  2
28255  6
28271  3
28446  5
28503  2
29173  2
30020  3
30021  3
31764  3
31910  4
32039  3
32040  3
32273  2
33204  4
33224  3
33564  4
33959  4
34797  3
34798  4
35149  2
35162  5
35295  4
35736  3
35943  4
36408  3
36485  9
36486  11
36861  62
36862  63
36959  29
36960  29
37020  1937
37021  1938
37022  1927
37023  1906
37041  578
37468  72
37479  71
37646  6
37742  16
37743  16
38392  5
38393  4
41700  3
41742  3
42126  2
42127  2
43017  3
44769  4
44770  4
45725  7
45726  7
45727  7
45995  2
47138  4
48250  4
48501  4
48766  4
48767  4
53705  4
53706  4
55864  3
55865  3
57102  3
57103  3
57852  5
57853  5
58634  4
58635  4
59067  7
59499  7
59500  7
60178  6
60179  6
60584  3
60585  3
61555  16
61556  18
62141  4
62153  5
62154  5
62863  5
62864  5
66005  7
66006  8
68243  22
68255  6
68256  6
68257  6
68273  25
71046  3
71066  4
71150  3
71151  3
71152  3
71153  3
71176  3
71487  3
71488  3
72945  7
72946  6
74535  7
74560  5
74688  3
74738  2
74739  2
75086  6
76369  3
76370  3
77002  4
78175  3
80586  1
82383  2
82384  2
82780  5
83023  2
85123  3
85124  4
87344  3
87901  1
88849  2
89484  4
89485  4
89890  4
91355  3
91356  3
92841  4
93344  3
93359  3
94601  3
94602  3
97855  5
98230  6
98231  6
99491  5
100180 4
100286 3
100287 3
101177 4
103483 4
103498 4
105382 1
105383 3
105435 2
106975 3
106976 4
107398 3
108248 10
108249 11
108250 13
108651 3
108662 1
108767 3
108903 6
108925 11
109510 3
109511 3
110317 4
110318 4
110379 3
110380 3
111720 3
112014 3
112028 3
112091 5
112092 5
112412 2
112413 2
114376 3
114378 4
114379 4
114447 2
114846 3
115810 5
116072 7
116087 7
116656 3
116657 3
117200 4
117201 4
118349 3
120709 4
120710 4
122408 3
124674 3
124675 6
125161 5
126128 4
126129 4
126367 4
127043 3
127067 3
128620 17
128621 17
129174 2
129175 2
129246 5
129247 5
129926 5
129988 3
129989 3
130819 2
130841 1
131977 4
133408 4
134443 4
134444 3
135101 2
135722 3
135734 8
137107 4
137108 4
137391 4
137392 4
138268 3
138488 3
138917 6
138918 6
139460 4
139461 4
139777 3
139891 2
139892 2
140483 7
140484 7
142629 6
142630 5
143118 6
144069 4
144070 4
144217 4
144218 4
144667 21
144668 20
145000 4
145001 4
145366 3
145388 3
145501 13
145502 13
146361 5
146362 4
146836 3
147553 9
147722 3
147723 3
147933 12
147934 12
150100 6
150117 5
150118 5
150136 100
150378 3
150379 3
152909 5
154905 4
154906 4
155885 9
155886 9
156014 4
156015 4
156349 6
156350 6
157778 5
157779 5
159480 3
159541 3
159560 3
161270 3
161289 3
162003 6
162004 6
163755 37
163756 38
164668 3
164669 3
164764 5
164765 5
165189 6
165190 6
166045 4
166046 4
166865 2
166866 2
170867 3
170868 3
173087 7
173582 5
173583 5
173607 7
173608 7
173648 6
173649 6
174638 6
175638 5
175639 5
176269 6
176270 6
177463 4
179957 4
179958 4
183912 15
183914 10
185644 3
186408 14
186427 14
186901 7
187013 6
187420 4
187421 3
188293 3
188294 3
190147 4
191570 4
191984 3
192514 4
192577 3
195093 2
195094 2
197963 3
197964 3
198160 4
198161 4
199766 5
201091 7
201092 7
201601 3
201616 1
201671 3
205811 3
206826 4
206827 4
208095 5
209278 4
209790 6
209942 3
212697 7
212698 7
213051 3
213052 3
213306 5
214168 15
214599 5
216172 3
218395 2
219449 5
219834 3
223024 3
223352 3
224635 4
224636 4
225009 4
