designation,simbad_HD,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,MG,MG_error,MBp,MBp_error,MRp,MRp_error,Bp_Rp,G_Rp,Bp_G
Gaia DR3 1003351437484254464,HD 48948,8.119934,8.804014,7.321711,6.988623894167606,0.0009053081940777,7.672703894167606,0.0009053081940777,6.190400894167606,0.0009053081940777,1.482303,0.798223,0.68408
Gaia DR3 1003752587430126464,,10.003271,11.215596,8.681267,9.813014969511205,0.0119255058106162,11.025339969511208,0.0119255058106162,8.491010969511205,0.0119255058106162,2.534329,1.322004,1.212325
Gaia DR3 1005873614080407296,,12.296865,13.905001,11.0301895,11.238634831279876,0.0018867596175811,12.846770831279873,0.0018867596175811,9.971959331279873,0.0018867596175811,2.8748115,1.2666755,1.608136
Gaia DR3 1010729194865571456,,11.792696,13.608401,10.506265,11.774487038742835,0.0007808030043481,13.590192038742838,0.0007808030043481,10.488056038742837,0.0007808030043472,3.102136,1.286431,1.815705
Gaia DR3 1014058103758571520,,3.120973,3.4182682,2.91068,2.283549474413565,0.013486269607764,2.580844674413566,0.013486269607764,2.073256474413566,0.013486269607764,0.5075882,0.210293,0.2972952
Gaia DR3 1015570963037979264,,12.89207,14.399192,11.696575,11.433482370276696,0.0013483571397063,12.940604370276697,0.0013483571397063,10.237987370276697,0.0013483571397063,2.702617,1.195495,1.507122
Gaia DR3 1016186483391641216,,19.737457,21.624361,18.103348,19.647207267435668,0.0124347333340448,21.53411126743567,0.0124347333340448,18.01309826743567,0.0124347333340466,3.521013,1.634109,1.886904
Gaia DR3 1016640817918422272,,11.779119,13.255323,10.586284,10.42733766220336,0.0011506767772244,11.90354166220336,0.0011506767772244,9.234502662203358,0.0011506767772244,2.669039,1.192835,1.476204
Gaia DR3 1017783146073299328,,12.093691,13.501998,10.691236,10.82428444722728,0.0163726494025411,12.232591447227282,0.0163726494025411,9.421829447227282,0.0163726494025411,2.810762,1.402455,1.408307
Gaia DR3 1018776176872261248,HD 82328,3.0717425,3.5151834,2.686608,2.4128597263508844,0.0060189751761976,2.856300626350885,0.0060189751761976,2.027725226350885,0.0060189751761976,0.8285754,0.3851345,0.4434409
Gaia DR3 102162639019033600,,11.529306,13.241863,10.273463,11.532485849254838,0.0009309723848023,13.24504284925484,0.0009309723848023,10.27664284925484,0.0009309723848023,2.9684,1.255843,1.712557
Gaia DR3 1022122334352145280,,11.263366,12.779421,10.047777,10.172441855060605,0.0010188879917203,11.688496855060604,0.0010188879917203,8.956852855060603,0.0010188879917203,2.731644,1.215589,1.516055
Gaia DR3 1022456104850892928,HD 79211,7.054455,7.9594064,6.1129565,8.046124851151164,0.0002906856594675,8.951076251151164,0.0002906856594684,7.104626351151163,0.0002906856594679,1.8464499,0.9414985,0.9049514
Gaia DR3 1022456139210632064,HD 79210,6.976026,7.8634076,6.046104,7.9677706653578,0.0002702903686784,8.855152265357802,0.0002702903686779,7.0378486653578,0.0002702903686784,1.8173036,0.929922,0.8873816
Gaia DR3 1022780838739029120,,13.782189,13.928776,13.513198,13.723756555758204,0.0004852114955182,13.870343555758204,0.0004852114955182,13.454765555758204,0.0004852114955182,0.415578,0.268991,0.146587
Gaia DR3 1037131492704550656,,20.425196,21.483158,18.770071,19.733457038603103,0.02179075811582,20.791419038603102,0.02179075811582,18.078332038603104,0.02179075811582,2.713087,1.655125,1.057962
Gaia DR3 1038195201485531776,,13.494663,15.466398,12.185511,12.533601465183878,0.000688037616273,14.50533646518388,0.000688037616273,11.22444946518388,0.000688037616273,3.280887,1.309152,1.971735
Gaia DR3 1040827088726734976,,13.082282,15.383262,11.712082,13.19428993033664,0.0006452213013607,15.49526993033664,0.0006452213013607,11.82408993033664,0.0006452213013607,3.67118,1.3702,2.30098
Gaia DR3 1041395708035677312,,13.642239,15.442315,12.374018,12.408956344158632,0.0006562450475335,14.209032344158633,0.0006562450475335,11.140735344158632,0.0006562450475335,3.068297,1.268221,1.800076
Gaia DR3 1045525233191254784,,10.524281,11.981507,9.335442,10.514671982581588,0.0008219248248266,11.971897982581588,0.0008219248248266,9.325832982581588,0.0008219248248266,2.646065,1.188839,1.457226
Gaia DR3 1047188004010109440,,18.264547,21.144558,16.714872,16.925137627327288,0.0063473838715726,19.805148627327284,0.0063473838715726,15.375462627327286,0.0063473838715726,4.429686,1.549675,2.880011
Gaia DR3 1050678712910407424,,11.781209,12.979146,10.694644,10.354808712177356,0.0008799316430589,11.552745712177355,0.0008799316430589,9.268243712177355,0.0008799316430589,2.284502,1.086565,1.197937
Gaia DR3 1051547052218220160,,8.231167,9.188957,7.261147,8.120875355389243,0.0003584933655451,9.078665355389244,0.0003584933655451,7.150855355389243,0.0003584933655451,1.92781,0.97002,0.95779
Gaia DR3 1052520154368111872,,14.59287,14.795179,14.235705,13.580330268096368,0.0006074341849506,13.782639268096368,0.0006074341849506,13.223165268096366,0.0006074341849506,0.559474,0.357165,0.202309
Gaia DR3 1056860923195191936,,13.395333,15.291466,12.100451,12.175471666714316,0.0007840322861838,14.071604666714316,0.0007840322861838,10.880589666714314,0.0007840322861838,3.191015,1.294882,1.896133
Gaia DR3 1057318835428596096,,8.527628,9.497674,7.546079,8.739137603969994,0.0003276576183495,9.709183603969992,0.0003276576183495,7.757588603969994,0.0003276576183495,1.951595,0.981549,0.970046
Gaia DR3 1058284412796260480,,15.127092,15.340309,14.7589855,13.963355327721766,0.0008101646147444,14.176572327721766,0.0008101646147444,13.595248827721766,0.0008101646147444,0.5813235,0.3681065,0.213217
Gaia DR3 1060313492785021312,,18.119125,21.243092,16.546648,17.074301050067984,0.0046413654140096,20.198268050067984,0.0046413654140096,15.501824050067984,0.0046413654140096,4.696444,1.572477,3.123967
