identifier                    ra                          dec                          G           Bp_Rp       MG                   mag object       comment   
HD 39060                      05:47:17.096284821858774    -51:03:58.090528164042325    03.8232422  00.2614324  02.3581400266155486  G   nearby_star  star      
HD 58946                      07:29:06.909559002945045    +31:47:07.567604519217184    04.094832   00.4802937  02.840100234263357   G   nearby_star  star      
HD 105211                     12:06:52.98340942635292     -64:36:50.02096219744999     04.0608897  00.4940494  02.589862990146674   G   nearby_star  star      
HD 105452                     12:08:24.93116062888035     -24:43:44.592511896763426    03.946629   00.4981413  03.0695237986128827  G   nearby_star  star      
Gaia DR3 1014058103758571520  08:59:11.751439632356977    +48:02:27.13729597989129     03.120973   00.5075882  02.283549474413565   G   nearby_star  star      
HD 90589                      10:24:23.645821872673025    -74:01:54.25482959220403     03.9097652  00.5174203  02.8518150441326586  G   nearby_star  star      
HD 109085                     12:32:03.754781480091225    -16:11:46.55050597498962     04.2095566  00.5264556  02.903993173143239   G   nearby_star  star      
HD 119756                     13:45:40.65581954043367     -33:02:39.7253989723356      04.144167   00.537443   02.720312579105448   G   nearby_star  star      
HD 40136                      05:56:24.247863630402833    -14:10:01.4907914797078092   03.635856   00.5394423  02.7616013924366145  G   nearby_star  star      
HD 128167                     14:34:41.04905753635876     +29:44:44.56296249409115     04.341964   00.5400154  03.3547335070518844  G   nearby_star  star      
HD 128898                     14:42:29.933557591812416    -64:58:34.23861176534729     03.1673613  00.5401855  02.093759682638921   G   nearby_star  star      
HD 156897                     17:21:00.6781485989259295   -21:06:49.81237735649216     04.290967   00.5442945  03.073463932549319   G   nearby_star  star      
HD 185395                     19:36:26.523311722777407    +50:13:20.183570578460035    04.371612   00.5560626  03.0444207118180344  G   nearby_star  star      
HD 56986                      07:20:07.342677371991968    +21:58:56.05934683999567     03.4571264  00.5633158  02.109794427832975   G   nearby_star  star      
HD 139664                     15:41:11.123207087418194    -44:39:44.60397717671549     04.5205355  00.5714973  03.3179629060063114  G   nearby_star  star      
HD 71243                      08:18:32.0733434646084      -76:55:09.292653817681185    03.949889   00.587096   02.5012026920974346  G   nearby_star  star      
HD 43386                      06:16:26.70946574827525     +12:16:22.771350645698703    04.9164104  00.5920458  03.45646644531484    G   nearby_star  star      
HD 23754                      03:46:50.7016607303845      -23:15:07.47644037027726     04.1130624  00.5943932  02.8628294838397235  G   nearby_star  star      
HD 197692                     20:46:05.6710016091437865   -25:16:17.744446422563897    04.030625   00.5945807  03.2039053776687147  G   nearby_star  star      
HD 134083                     15:07:18.283100914421198    +24:52:06.470951047499966    04.802299   00.5950155  03.348119483024373   G   nearby_star  star      
HD 110379J                    12:41:38.98250114547196     -01:26:56.48302518833111     03.4332993  00.5985463  03.0337456921937953  G   nearby_star  star      
HD 64379A                     07:52:15.405935137924018    -34:42:15.762732692643112    04.940166   00.598721   03.624661164875512   G   nearby_star  star      
HD 129502                     14:43:03.7418969811459135   -05:39:34.58318525304276     03.7671251  00.6009975  02.3547081637065137  G   nearby_star  star      
