designation,HIP,simbad_HIP,simbad_HD,in_Simbad,right_ascension,declination,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper
Gaia DR3 1099288637370627072,\N,\N,\N,1,104.49025985938316,62.31958026409372,87.24166697188599,0.13359119,573.1035,320.6363487935513,-475.0157378975831,1.3396655,13.639243000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 1310513342280949376,\N,\N,\N,1,255.9714298650329,32.19621894378188,54.569915293710295,0.074405394,185.91763,170.8955220505247,73.21259911050043,2.1010897,12.822794000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 133359735268433024,\N,\N,\N,1,39.197658920120695,32.07221802870924,51.265098460703626,0.065807566,338.06256,-325.2703022428088,-92.1169019175888,1.1042223,12.650045000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 1586968533013974528,\N,\N,\N,1,225.23315891676825,45.42719495066728,85.42722129196979,0.06552934,409.01892,258.24744856447086,317.18247525198007,1.7401166,11.717453000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 1669449084967072000,\N,\N,\N,1,220.58818818669567,66.0555785489988,91.35668867831824,0.09077034,337.3069,-336.2959597766662,26.09528250714183,0.7411922,15.768858000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 1807953087254264064,\N,\N,HD 190067B,1,300.64249299324354,15.589658963597556,51.874377452136166,0.05598409,594.32715,-145.69761856978803,-576.1917690275088,3.481979,12.654424000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 1821614828476009344,\N,\N,\N,0,298.52862832791914,18.818112679551167,54.73497642459929,3.2616632,11.715346,0.8793541592269085,-11.682297999953317,1.6256008,20.418549000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 1825712158557604352,\N,\N,\N,0,295.7648427250556,20.28011958895752,61.93897719476354,2.7870162,30.152554,1.945463626504475,-30.089726270893458,1.0758625,20.710290000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 1827996187813279360,\N,\N,\N,0,297.7898608941253,22.759921619451,58.82913504124001,1.9791915,17.777634,-16.609601586643517,6.337619049128803,1.3070513,20.568031000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
Gaia DR3 1892539307048909184,\N,\N,\N,1,333.63077733160594,27.8575453431816,50.774529767698425,0.10101901,580.6293,-205.3580195536977,543.1007840985111,0.87800914,15.510378000000000000000000000000,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
