identifier                    ra           dec           G      Bp_Rp  MG     mag object       comment   
HD 39060                      05:47:17.10  -51:03:58.09  03.82  00.26  02.36  G   nearby_star  star      
HD 58946                      07:29:06.91  +31:47:07.57  04.09  00.48  02.84  G   nearby_star  star      
HD 105211                     12:06:52.98  -64:36:50.02  04.06  00.49  02.59  G   nearby_star  star      
HD 105452                     12:08:24.93  -24:43:44.59  03.95  00.50  03.07  G   nearby_star  star      
Gaia DR3 1014058103758571520  08:59:11.75  +48:02:27.14  03.12  00.51  02.28  G   nearby_star  star      
HD 90589                      10:24:23.65  -74:01:54.25  03.91  00.52  02.85  G   nearby_star  star      
HD 109085                     12:32:03.75  -16:11:46.55  04.21  00.53  02.90  G   nearby_star  star      
HD 119756                     13:45:40.66  -33:02:39.73  04.14  00.54  02.72  G   nearby_star  star      
HD 40136                      05:56:24.25  -14:10:01.49  03.64  00.54  02.76  G   nearby_star  star      
HD 128167                     14:34:41.05  +29:44:44.56  04.34  00.54  03.35  G   nearby_star  star      
HD 128898                     14:42:29.93  -64:58:34.24  03.17  00.54  02.09  G   nearby_star  star      
HD 156897                     17:21:00.68  -21:06:49.81  04.29  00.54  03.07  G   nearby_star  star      
HD 185395                     19:36:26.52  +50:13:20.18  04.37  00.56  03.04  G   nearby_star  star      
HD 56986                      07:20:07.34  +21:58:56.06  03.46  00.56  02.11  G   nearby_star  star      
HD 139664                     15:41:11.12  -44:39:44.60  04.52  00.57  03.32  G   nearby_star  star      
HD 71243                      08:18:32.07  -76:55:09.29  03.95  00.59  02.50  G   nearby_star  star      
HD 43386                      06:16:26.71  +12:16:22.77  04.92  00.59  03.46  G   nearby_star  star      
HD 23754                      03:46:50.70  -23:15:07.48  04.11  00.59  02.86  G   nearby_star  star      
HD 197692                     20:46:05.67  -25:16:17.74  04.03  00.59  03.20  G   nearby_star  star      
HD 134083                     15:07:18.28  +24:52:06.47  04.80  00.60  03.35  G   nearby_star  star      
HD 110379J                    12:41:38.98  -01:26:56.48  03.43  00.60  03.03  G   nearby_star  star      
HD 64379A                     07:52:15.41  -34:42:15.76  04.94  00.60  03.62  G   nearby_star  star      
HD 129502                     14:43:03.74  -05:39:34.58  03.77  00.60  02.35  G   nearby_star  star      
HD 76943                      09:00:37.77  +41:46:54.32  03.96  00.61  02.60  G   nearby_star  star      
HD 81997                      09:29:09.06  -02:46:08.68  04.47  00.62  03.16  G   nearby_star  star      
HD 141891                     15:55:08.11  -63:25:57.04  02.78  00.63  02.31  G   nearby_star  star      
HD 160915                     17:43:25.68  -21:41:00.21  04.73  00.63  03.56  G   nearby_star  star      
HD 173667                     18:45:39.72  +20:32:41.34  04.08  00.64  02.65  G   nearby_star  star      
HD 210302                     22:10:09.32  -32:32:54.05  04.80  00.64  03.47  G   nearby_star  star      
HD 120136                     13:47:15.21  +17:27:25.83  04.36  00.64  03.39  G   nearby_star  star      
HD 17206                      02:45:06.56  -18:34:20.67  04.33  00.65  03.56  G   nearby_star  star      
HD 114837                     13:14:14.63  -59:06:14.10  04.79  00.65  03.48  G   nearby_star  star      
HD 69897                      08:20:03.84  +27:12:57.71  04.99  00.66  03.69  G   nearby_star  star      
HD 153597                     16:56:02.29  +65:08:06.08  04.75  00.68  03.83  G   nearby_star  star      
HD 693                        00:11:15.77  -15:28:09.03  04.76  00.68  03.38  G   nearby_star  star      
HD 25457                      04:02:36.90  -00:16:12.15  05.25  00.68  03.89  G   nearby_star  star      
HD 210027                     22:07:01.01  +25:20:42.80  03.66  00.68  03.29  G   nearby_star  star      
HD 207098                     21:47:02.73  -16:07:42.99  02.84  00.69  02.51  G   nearby_star  star      
HD 16895                      02:44:12.53  +49:13:40.99  03.98  00.69  03.75  G   nearby_star  star      
HD 48737                      06:45:17.24  +12:53:41.08  03.25  00.69  01.92  G   nearby_star  star      
HD 126660                     14:25:11.39  +51:50:56.28  03.92  00.70  03.11  G   nearby_star  star      
HD 215648                     22:46:41.83  +12:10:14.50  04.07  00.70  02.99  G   nearby_star  star      
