simbad_DR3,GaiaDR3_parallax,GaiaDR3_parallax_error,HD,HIP
Gaia DR3 2246581329639103872,57.204052173056120000000000000000,0.020761400000000000000000000000,HD 193664,HIP 100017
Gaia DR3 6796392812250051712,51.798854110220354000000000000000,0.019205278000000000000000000000,HD 194640,HIP 100925
Gaia DR3 4937000898856156288,92.925140442303250000000000000000,0.046079320000000000000000000000,HD 13445,HIP 10138
Gaia DR3 6854626246593473792,68.155746589583470000000000000000,0.030011822000000000000000000000,HD 196761,HIP 101997
Gaia DR3 2163558855915068416,51.393549144338900000000000000000,0.017986550000000000000000000000,HD 200560,HIP 103859
Gaia DR3 6885342959337741184,57.524001324810676000000000000000,0.020903895000000000000000000000,HD 200968,HIP 104239
Gaia DR3 6371557530914670976,46.993019936270365000000000000000,0.875067000000000000000000000000,HD 200525,HIP 104440
Gaia DR3 6791154257817212672,54.028804621962250000000000000000,0.292724640000000000000000000000,HD 202940,HIP 105312
Gaia DR3 326173044957518080,91.650355947064400000000000000000,0.427053960000000000000000000000,HD 13974,HIP 10644
Gaia DR3 6465749496610128512,67.500169531118430000000000000000,0.017507050000000000000000000000,HD 205390,HIP 106696
Gaia DR3 1772187382746856320,55.147999552736450000000000000000,0.034822880000000000000000000000,HD 206860,HIP 107350
Gaia DR3 6564091190988411520,64.271660551302060000000000000000,0.042974066000000000000000000000,HD 207129,HIP 107649
Gaia DR3 5117974602912370432,77.914019130437070000000000000000,0.029494971000000000000000000000,HD 14412,HIP 10798
Gaia DR3 6508776375901968640,71.093846144549870000000000000000,0.055435102000000000000000000000,HD 211415,HIP 110109
Gaia DR3 2299942278201276288,51.156088144995465000000000000000,0.018420473000000000000000000000,HD 216520,HIP 112527
Gaia DR3 2835207319109249920,64.404772191794820000000000000000,0.077093890000000000000000000000,HD 217014,HIP 113357
Gaia DR3 2648914040357320576,49.784619496207476000000000000000,0.026320018000000000000000000000,HD 217107,HIP 113421
Gaia DR3 2636589099125426816,61.834078502615135000000000000000,0.486283600000000000000000000000,HD 217580,HIP 113718
Gaia DR3 2009481748875806976,152.864003897324270000000000000000,0.049440492000000000000000000000,HD 219134,HIP 114622
Gaia DR3 2282846074981010688,52.783813089954265000000000000000,0.013734574000000000000000000000,HD 220140,HIP 115147
Gaia DR3 2436812303124645504,52.164287919347096000000000000000,0.027512643000000000000000000000,HD 220339,HIP 115445
Gaia DR3 2011251030583236352,59.366966298268160000000000000000,0.016880276000000000000000000000,HD 221354,HIP 116085
Gaia DR3 2324785228033780608,54.719337186369920000000000000000,0.025376152000000000000000000000,HD 222335,HIP 116763
Gaia DR3 2232348941893483520,91.772236820601500000000000000000,0.042484567000000000000000000000,HD 223778,HIP 117712
Gaia DR3 4745373133284418816,57.613144345224306000000000000000,0.038276210000000000000000000000,HD 17051,HIP 12653
Gaia DR3 4634528720388462592,56.964428177921210000000000000000,0.019215303000000000000000000000,HD 1237,HIP 1292
Gaia DR3 5160075762132996992,96.520041361438860000000000000000,0.025844626000000000000000000000,HD 17925,HIP 13402
Gaia DR3 4722111590409480064,83.023970182438570000000000000000,0.043765128000000000000000000000,HD 20766,HIP 15330
Gaia DR3 4722135642226902656,83.060646643549820000000000000000,0.060815644000000000000000000000,HD 20807,HIP 15371
Gaia DR3 3269362645115584640,107.802339388099300000000000000000,0.183759800000000000000000000000,HD 20630,HIP 15457
Gaia DR3 4847957293278177024,165.524209557557300000000000000000,0.078361730000000000000000000000,HD 20794,HIP 15510
Gaia DR3 4852870701505115904,56.556967342552554000000000000000,0.027008036000000000000000000000,HD 21175,HIP 15799
Gaia DR3 4900108950849461248,116.182578540981050000000000000000,0.133361710000000000000000000000,HD 1581,HIP 1599
Gaia DR3 5164707970261890560,310.577292800582100000000000000000,0.135499150000000000000000000000,HD 22049,HIP 16537
Gaia DR3 2853900872207888768,81.179035373773520000000000000000,0.448958500000000000000000000000,HD 224930,HIP 171
Gaia DR3 5107106033552702208,71.750527919226630000000000000000,0.021045957000000000000000000000,HD 23356,HIP 17420
Gaia DR3 4856592239127350400,61.844397847782254000000000000000,0.015384562000000000000000000000,HD 23484,HIP 17439
Gaia DR3 53112944270520832,59.472793108702625000000000000000,0.036096618000000000000000000000,HD 25680,HIP 19076
Gaia DR3 493935296471302784,53.256199589545524000000000000000,0.017029082000000000000000000000,HD 25665,HIP 19422
Gaia DR3 3195919528989223040,199.608012418133800000000000000000,0.120830280000000000000000000000,HD 26965,HIP 19849
Gaia DR3 2980492387558410112,75.528899441156440000000000000000,0.053909987000000000000000000000,HD 30495,HIP 22263
Gaia DR3 4866978844438656768,56.537430315579140000000000000000,0.014430951000000000000000000000,HD 30876,HIP 22451
Gaia DR3 3211461469444773376,113.071459124787610000000000000000,0.022238580000000000000000000000,HD 32147,HIP 23311
Gaia DR3 4763906879239461632,85.523293119050110000000000000000,0.075535040000000000000000000000,HD 33262,HIP 23693
Gaia DR3 188771135583573504,79.602108333579500000000000000000,0.100451930000000000000000000000,HD 34411,HIP 24813
Gaia DR3 3234412606443085824,50.517110719046066000000000000000,0.036810786000000000000000000000,HD 35112,HIP 25119
Gaia DR3 3400292798990117888,68.590759637958570000000000000000,0.103951480000000000000000000000,HD 35296,HIP 25278
Gaia DR3 2904830113367963264,55.985817139236424000000000000000,0.016548838000000000000000000000,HD 35854,HIP 25421
Gaia DR3 4759543295545939840,51.337082937260090000000000000000,0.017541526000000000000000000000,HD 36435,HIP 25544
Gaia DR3 4660766641264343680,67.333082903570630000000000000000,0.441431700000000000000000000000,HD 36705,HIP 25647
Gaia DR3 4623036865373793408,54.682509087903306000000000000000,0.035442430000000000000000000000,HD 39091,HIP 26394
Gaia DR3 263916708025623680,81.498713311906800000000000000000,0.025277000000000000000000000000,HD 37394,HIP 26779
Gaia DR3 3023711269067191296,65.744595085070270000000000000000,0.030716265000000000000000000000,HD 38858,HIP 27435
Gaia DR3 3399063235755057792,114.949660747791070000000000000000,0.527979300000000000000000000000,HD 39587,HIP 27913
Gaia DR3 3345968334645285376,63.406545041075034000000000000000,0.026900956000000000000000000000,HD 41593,HIP 28954
Gaia DR3 5264749303462961280,97.915794006088300000000000000000,0.057268422000000000000000000000,HD 43834,HIP 29271
\N,\N,\N,HD 3443,HIP 2941
Gaia DR3 3330062833797919744,53.765261897068870000000000000000,0.031733837000000000000000000000,HD 42807,HIP 29525
Gaia DR3 2913411183149615744,59.884974594804035000000000000000,0.019180829000000000000000000000,HD 43162,HIP 29568
Gaia DR3 3317901165746471552,51.616474061607220000000000000000,0.123500295000000000000000000000,HD 43587,HIP 29860
Gaia DR3 3372159045216183552,68.414191111445800000000000000000,0.098331520000000000000000000000,HD 45088,HIP 30630
Gaia DR3 2802397960855105920,90.024816485830290000000000000000,0.048158985000000000000000000000,HD 3651,HIP 3093
Gaia DR3 369092520004831232,55.841221265503140000000000000000,0.023473830000000000000000000000,HD 3765,HIP 3206
