designation,right_ascension,declination,phot_g_mean_mag,MG,Bp_Rp,simbad_HD
Gaia DR3 1092545710514654464,129.79848216263676,65.02129699890843,5.4989767,4.701313875303876,0.804358,HD 72905
Gaia DR3 1139252071109797760,119.05927122870598,80.2659395750231,6.3770027,5.205043751758566,0.8904173,HD 62613
Gaia DR3 1141280704422528128,101.55652486903516,79.56212608725718,5.3004165,3.9997790860929774,0.6893875,HD 46588
Gaia DR3 1176209886733406592,219.00325809668965,9.745402017160048,7.1806984,6.117264877812508,1.1638427,HD 128311
Gaia DR3 1185619988280226944,221.34970154757104,13.845312200298968,7.5966625,6.2246156705188165,1.119264,HD 130004
Gaia DR3 1191518146611956096,238.2997173359609,13.194131836047603,5.9265714,4.676816599187549,0.7916067,HD 142267
Gaia DR3 1236929488664453376,223.34694623244292,19.153760857444336,5.7661414,5.438462940516405,1.0409293,HD 131511
Gaia DR3 1265976524286377856,222.5665811155293,23.911983556033192,5.729347,4.4291937301720825,0.7586897,HD 130948
Gaia DR3 1323427759184545536,240.26003097651244,33.300078768999235,5.2328,4.016271138626816,0.7989554,HD 143761
Gaia DR3 1333760419707327744,260.16557980211155,32.46311742250856,5.2098746,4.390150763436368,0.8206106,HD 157214
Gaia DR3 1359938520253565952,255.65248712127016,47.08567289069349,6.5836673,5.275028521399888,0.9049976,HD 154345
Gaia DR3 1379500756257031808,241.23336805671383,39.156743577014105,6.461159,5.675469807676775,0.944855,HD 144579
Gaia DR3 1385293808145621504,242.6021268117605,43.816320837268925,6.39524,5.130966878846815,1.002047,HD 145675
Gaia DR3 1408029509584967168,254.4706217667203,47.367893574832394,7.5214434,6.252697072330232,1.1745097,HD 153557
Gaia DR3 1439121018358632832,263.75066378504704,61.8724400363562,5.069048,4.272188130302835,0.8121557,HD 160269
Gaia DR3 1460229442589223424,197.9642816133702,27.882105372524595,4.093279,4.2749262655355205,0.7620586,HD 114710
Gaia DR3 1521686782461765888,191.2454554246112,39.279534014988734,5.8030252,4.5808279398020835,0.7564149,HD 110897
