HD     simbad_parallax simbad_parallax_source MV     B_V   simbad_SpType
761    08.34           2007A&A...474..653V    +01.42 +0.25 A7Vn+F2V
1223   07.91           2007A&A...474..653V    +01.48 +0.05 A0
1317   15.31           1997A&A...323L..49P    +02.58 +0.60 G0:III+F2V+F8V
1641   14.72           2007A&A...474..653V    +02.69 +0.45 F5
3074   30.20           2007A&A...474..653V    +03.81 +0.62 F8/G0V
5659   16.82           2007A&A...474..653V    +03.21 +0.46 A/F+F/K
6334   12.45           2007A&A...474..653V    +02.31 +0.47 F5
6869   12.15           2007A&A...474..653V    +02.31 +0.29 F0V
6918   15.24           2018yCat.1345....0G    +02.77 +0.44 F5V
7471   06.10           2018yCat.1345....0G    +00.58 +0.03 F0
8224   20.29           2007A&A...474..653V    +03.54 +0.54 F7V
8487   12.37           2007A&A...474..653V    +02.11 +0.24 A9V
9733   08.20           2007A&A...474..653V    +01.48 +0.90 G8IV
14882  25.63           2007A&A...474..653V    +03.99 +0.56 G0V
17332  29.80           2007A&A...474..653V    +04.24 +0.69 G1V+G5V
17505  01.14           2007A&A...474..653V    -02.65 +0.40 O6.5III((f))n+O8V
25535  19.35           2007A&A...474..653V    +03.17 +0.62 G1/2V
25833  00.05           2018yCat.1345....0G    -10.02 +0.04 B3Vn
27691  22.92           2007A&A...474..653V    +03.80 +0.56 G0V
31306  06.89           2007A&A...474..653V    +01.13 +0.15 A0
35673  06.86           2007A&A...474..653V    +00.71 +0.00 B9V
37321  01.56           2007A&A...474..653V    -01.94 -0.08 B5III
37370  03.72           2007A&A...474..653V    -00.22 +0.01 B8V
44496  03.07           2007A&A...474..653V    -00.65 +0.02 A0
46288  00.53           2007A&A...474..653V    -04.70 -0.12 B3IV
46780  27.18           2018yCat.1345....0G    +04.06 +0.65 G0
49294  05.34           2007A&A...474..653V    +00.64 +0.16 A5III
52694  03.46           2018yCat.1345....0G    -00.72 +0.73 K1(III)+F(5)
53367  07.77           2018yCat.1345....0G    +01.41 +0.44 B0IV/Ve
58038  16.54           2007A&A...474..653V    +03.18 +0.51 F/G
