designation, HIP, HD, ra, declination, parallax, parallax_error, pm, pmra, pmdec, ruwe, phot_g_mean_mag, phot_bp_mean_mag, phot_rp_mean_mag, teff_gspphot, teff_gspphot_lower, teff_gspphot_upper, logg_gspphot, logg_gspphot_lower, logg_gspphot_upper, mh_gspphot, mh_gspphot_lower, mh_gspphot_upper, distance_gspphot, distance_gspphot_lower, distance_gspphot_upper, Mg, Mg_error, MRp, MRp_error, Bp_minus_Rp
"Gaia DR3 1010729194865571456",\N,\N,135.1322606052177,46.5840885943522,99.16495239927531,0.035657045,705.4893,-472.83456787891043,-523.5863088500195,1.2675668,11.792696,13.608401,10.506265,3001.3564,3000.3252,3006.4438,4.6999,4.6816,4.7122,-0.5058,-0.5262,-0.5005,10.0586,9.9734,10.2685,11.774487038742837,0.0007808030043481295,10.488056038742837,0.0007808030043472414,3.102136
"Gaia DR3 1014058103758571520",\N,\N,134.7989643318015,48.040871471105525,68.00099930164292,0.42232543,489.16425,-439.83552453066625,-214.0709500414631,4.8404894,3.120973,3.4182682,2.91068,7498.3286,7493.946,7502.5083,3.9261,3.9199,3.9317,-1.7544,-1.7828,-1.7181,14.7754,14.6842,14.8803,2.283549474413565,0.013486269607764001,2.073256474413566,0.013486269607764001,0.5075882
"Gaia DR3 1015570963037979264",\N,\N,135.2152883154428,48.418919989426016,51.08371509249398,0.03171999,1069.5675,-254.24945222864676,-1038.9090299259833,1.5035322,12.89207,14.399192,11.696575,3063.442,3052.5684,3162.1335,4.5907,4.5555,4.9174,-0.7699,-0.8119,-0.3916,19.5219,19.3913,19.6883,11.433482370276696,0.0013483571397063798,10.237987370276695,0.0013483571397063798,2.702617
"Gaia DR3 102162639019033600",\N,\N,38.40513666109431,24.92413187711575,100.14654474186186,0.042935688,677.5201,48.39169781028855,-675.7897086061098,1.423382,11.529306,13.241863,10.273463,3089.2524,3064.308,3101.007,4.8588,4.6585,4.9427,-0.3066,-0.6803,-0.1262,9.973,9.8961,10.0642,11.532485849254838,0.000930972384802331,10.27664284925484,0.000930972384802331,2.9684
"Gaia DR3 1022456139210632064",45343,"79210",138.5835616152243,52.68408016691263,157.88793077923938,0.019652834,1647.2037,-1545.7874520604669,-569.052823523412,1.0839477,6.976026,7.8634076,6.046104,3745.384,3729.2944,3786.4963,4.5113,4.4799,4.5419,-0.5138,-0.5891,-0.3585,6.3395,6.321,6.3581,7.9677706653578,0.0002702903686784275,7.0378486653578,0.0002702903686784275,1.8173036
"Gaia DR3 102535064223209216",\N,\N,34.76113958387104,23.8815864192938,44.22138478220736,0.029095763,307.1293,296.8686717893723,-78.72352787813568,1.4854275,12.711509,14.312132,11.485372,3000.065,3000.0154,3000.1917,4.3055,4.3047,4.3064,-0.7296,-0.7309,-0.7283,22.6032,22.5876,22.6204,10.9396706914232,0.0014287353509310208,9.713533691423201,0.0014287353509310208,2.82676
"Gaia DR3 1040054235130174080",45333,"79028",138.58551910281656,61.42317881514599,49.4144677042924,0.1543677,32.05359,-7.826225560388236,-31.083479545225025,1.9982607,5.021104,5.3353024,4.5493364,5763.827,5762.957,5764.881,4.1064,4.1043,4.113,-0.3799,-0.3873,-0.372,20.1511,19.9241,20.2361,3.490374607395302,0.006783565774777234,3.0186070073953024,0.006783565774777234,0.785966
"Gaia DR3 1050678712910407424",\N,\N,146.99374866155557,60.2559353908449,51.84655952630618,0.021009443,896.54596,-870.9676476674049,-212.62643252173643,1.4036717,11.781209,12.979146,10.694644,3322.207,3321.9333,3323.608,4.3871,4.3853,4.3885,-1.2921,-1.2926,-1.29,19.2897,19.2646,19.3619,10.354808712177356,0.0008799316430589954,9.268243712177355,0.0008799316430589954,2.284502
"Gaia DR3 1051547052218220160",48714,\N,149.0331749118223,62.78586947842925,95.04771290601064,0.015691645,657.8291,-303.9218502410663,-583.4128868434314,0.98848855,8.231167,9.188957,7.261147,3761.3489,3750.573,3782.9622,4.5757,4.5591,4.5964,-0.3153,-0.4168,-0.126,10.5193,10.4967,10.5531,8.120875355389243,0.000358493365545165,7.150855355389243,0.000358493365545165,1.92781
"Gaia DR3 1056860923195191936",\N,\N,179.45874784377168,66.56193013560468,57.02006832111263,0.020587677,128.61252,109.33216829658735,-67.73223096585087,1.4251425,13.395333,15.291466,12.100451,3034.29,3033.6638,3035.0298,5.0589,5.0572,5.0595,-0.1411,-0.1436,-0.1356,17.4695,17.4524,17.5194,12.175471666714316,0.0007840322861838445,10.880589666714314,0.0007840322861838445,3.191015
