designation, HIP, HD, ra, declination, parallax, parallax_error, pm, pmra, pmdec, ruwe, phot_g_mean_mag, phot_bp_mean_mag, phot_rp_mean_mag, teff_gspphot, teff_gspphot_lower, teff_gspphot_upper, logg_gspphot, logg_gspphot_lower, logg_gspphot_upper, mh_gspphot, mh_gspphot_lower, mh_gspphot_upper, distance_gspphot, distance_gspphot_lower, distance_gspphot_upper, Mg, Mg_error, MRp, MRp_error, Bp_minus_Rp, Vmag, RAdeg, DEdeg, RAhms, DEdms, Plx, e_Plx, distance_Plx, pmRA, pmDE, BTmag, VTmag, MV, MV_error, MVt, MVt_error, B_minus_V, BT_minus_VT
"Gaia DR3 1022456139210632064",45343,"79210",138.5835616152243,52.68408016691263,157.88793077923938,0.019652834,1647.2037,-1545.7874520604669,-569.052823523412,1.0839477,6.976026,7.8634076,6.046104,3745.384,3729.2944,3786.4963,4.5113,4.4799,4.5419,-0.5138,-0.5891,-0.3585,6.3395,6.321,6.3581,7.9677706653578,0.0002702903686784275,7.0378486653578,0.0002702903686784275,1.8173036,7.64,138.60112218,52.6879927,9,52,161.59,5.23,6.1885,-1533.58,-562.8,9.388,7.791,8.68207240474241,0.07030613774680639,8.83307240474241,0.07030613774680639,1.41,1.597
"Gaia DR3 1040054235130174080",45333,"79028",138.58551910281656,61.42317881514599,49.4144677042924,0.1543677,32.05359,-7.826225560388236,-31.083479545225025,1.9982607,5.021104,5.3353024,4.5493364,5763.827,5762.957,5764.881,4.1064,4.1043,4.113,-0.3799,-0.3873,-0.372,20.1511,19.9241,20.2361,3.490374607395302,0.006783565774777234,3.0186070073953024,0.006783565774777234,0.785966,5.18,138.58562984,61.42339501,9,61,51.12,0.72,19.5618,-8.67,-31.84,5.919,5.255,3.7229542257517183,0.03058614104252877,3.7979542257517194,0.03058614104252877,0.605,0.664
"Gaia DR3 1051547052218220160",48714,\N,149.0331749118223,62.78586947842925,95.04771290601064,0.015691645,657.8291,-303.9218502410663,-583.4128868434314,0.98848855,8.231167,9.188957,7.261147,3761.3489,3750.573,3782.9622,4.5757,4.5591,4.5964,-0.3153,-0.4168,-0.126,10.5193,10.4967,10.5531,8.120875355389243,0.000358493365545165,7.150855355389243,0.000358493365545165,1.92781,8.99,149.03774424,62.78988049,9,62,95.4,1.2,10.4822,-304.56,-583.14,10.83,9.145,8.887741873520476,0.027315559056540373,9.042741873520475,0.027315559056540373,1.438,1.685
"Gaia DR3 1057318835428596096",55360,\N,169.9881036824331,65.84729793562252,110.23053640673568,0.016632896,2952.3298,-2946.717969616033,181.94739529449873,1.0957419,8.527628,9.497674,7.546079,3550.6685,3518.1956,3555.545,4.4305,4.3215,4.4482,-0.8166,-0.9418,-0.793,9.0828,9.0703,9.1182,8.739137603969994,0.00032765761834951945,7.757588603969994,0.00032765761834951945,1.951595,9.31,170.03762202,65.84603892,11,65,109.95,1.11,9.095,-2946.7,184.52,11.032,9.462,9.515976168484048,0.021922840072068794,9.667976168484046,0.021922840072069683,1.412,1.57
"Gaia DR3 1071194431653425280",47620,\N,145.63642599574993,70.0326740617471,84.32808364905566,0.017220698,724.43524,-671.7748027721867,-271.15503131945144,1.1861464,9.574072,10.847705,8.452195,3211.2566,3210.3716,3216.6855,4.0327,4.0294,4.0551,-0.8339,-0.8374,-0.8087,11.852,11.8227,11.8576,9.203933155608183,0.00044343793290835265,8.082056155608184,0.00044343793290746447,2.39551,10.56,145.64995255,70.03453903,9,70,85.14,3.18,11.7454,-670.68,-268.66,12.322,10.725,10.210668229205588,0.08114277663991576,10.375668229205587,0.08114277663991576,1.463,1.597
"Gaia DR3 1078773262224027520",54952,"97584",168.79329264913866,73.47570460715328,69.136383508707,0.015073201,418.8024,-403.4357801928887,112.40562503169723,1.0117257,7.311935,7.8670254,6.6099033,4573.935,4570.0625,4575.9546,4.5349,4.5318,4.537,-0.2501,-0.2813,-0.228,14.4547,14.4014,14.4623,6.510468290315211,0.0004734271443203042,5.80843659031521,0.0004734271443203042,1.2571221,7.68,168.80304208,73.47493336,11,73,68.13,1.18,14.6778,-403.84,112.05,8.965,7.751,6.846691944696988,0.037613293747664756,6.917691944696988,0.037613293747664756,1.043,1.214
"Gaia DR3 1092545710514654464",42438,"72905",129.79848216263676,65.02129699890843,69.2575995687921,0.048491586,92.01596,-27.274471017671917,87.88083046986,1.1658813,5.4989767,5.817055,5.012697,5710.941,5709.386,5712.0947,4.3942,4.3909,4.3955,-0.459,-0.467,-0.4498,14.4485,14.4292,14.5337,4.701313875303876,0.001520384173794298,4.215034175303876,0.001520384173794298,0.804358,5.63,129.79892615,65.02069298,8,65,70.07,0.71,14.2714,-27.73,87.9,6.389,5.706,4.857660587467878,0.022003684583354666,4.933660587467877,0.022003684583354666,0.618,0.683
"Gaia DR3 1092897519875582592",43534,\N,133.00249181194692,66.13193849158426,60.61406161968998,0.014314394,137.4185,94.8469309783903,99.43795136294996,1.1214712,8.685255,9.473858,7.81896,3968.3408,3956.581,3980.354,4.4725,4.432,4.5027,-1.0084,-1.1291,-0.9029,16.4808,16.4343,16.5031,7.598121930685155,0.0005128069523343548,6.7318269306851555,0.0005128069523343548,1.654898,9.26,133.00088105,66.13125503,8,66,60.63,1.41,16.4935,91.83,97.56,11.005,9.424,8.173437841174833,0.050508465220717724,8.337437841174832,0.050508465220716836,1.319,1.581
"Gaia DR3 1103079616027292416",34115,\N,106.11224825269632,68.28901639536176,61.14318891505325,0.019764476,349.8263,346.1836139003026,50.35217922966151,1.2830627,10.8454,12.2086115,9.691687,3147.6594,3146.692,3160.1362,4.129,4.1255,4.1701,-0.8097,-0.8145,-0.761,16.3859,16.3468,16.4149,9.777140427764456,0.0007019263564593814,8.623427427764456,0.0007019263564593814,2.5169245,11.95,106.10581565,68.28866968,7,68,65.44,2.88,15.2812,346.92,54.34,\N,\N,11.029216453316334,0.09562779407289224,\N,\N,1.527,\N
"Gaia DR3 111379432679196672",15332,\N,49.442359174881396,25.25015392509532,46.06079767926949,0.020293385,865.98773,786.5359285178403,-362.3478232742765,1.125629,10.901909,12.024303,9.842851,3577.252,3574.8215,3577.743,4.7973,4.7928,4.7979,-0.1071,-0.1321,-0.1035,21.6509,21.6375,21.6658,9.218566273949284,0.0009567035460671391,8.159508273949283,0.0009567035460671391,2.181452,11.84,49.43638216,25.25264566,3,25,47.29,3.44,21.1461,784.25,-364,\N,\N,10.213846570077132,0.15823816153836212,\N,\N,1.46,\N
