designation, HIP, HD, ra, declination, parallax, parallax_error, pm, pmra, pmdec, ruwe, phot_g_mean_mag, phot_bp_mean_mag, phot_rp_mean_mag, teff_gspphot, teff_gspphot_lower, teff_gspphot_upper, logg_gspphot, logg_gspphot_lower, logg_gspphot_upper, mh_gspphot, mh_gspphot_lower, mh_gspphot_upper, distance_gspphot, distance_gspphot_lower, distance_gspphot_upper, Mg, Mg_error, MRp, MRp_error, Bp_minus_Rp, Vmag, RAdeg, DEdeg, RAhms, DEdms, Plx, e_Plx, distance_Plx, pmRA, pmDE, BTmag, VTmag, MV, MV_error, MVt, MVt_error, B_minus_V, BT_minus_VT
"Gaia DR3 1103079616027292416",34115,\N,106.11224825269632,68.28901639536176,61.14318891505325,0.019764476,349.8263,346.1836139003026,50.35217922966151,1.2830627,10.8454,12.2086115,9.691687,3147.6594,3146.692,3160.1362,4.129,4.1255,4.1701,-0.8097,-0.8145,-0.761,16.3859,16.3468,16.4149,9.777140427764456,0.0007019263564593814,8.623427427764456,0.0007019263564593814,2.5169245,11.95,106.10581565,68.28866968,7,68,65.44,2.88,15.2812,346.92,54.34,\N,\N,11.029216453316334,0.09562779407289224,\N,\N,1.527,\N
"Gaia DR3 111379432679196672",15332,\N,49.442359174881396,25.25015392509532,46.06079767926949,0.020293385,865.98773,786.5359285178403,-362.3478232742765,1.125629,10.901909,12.024303,9.842851,3577.252,3574.8215,3577.743,4.7973,4.7928,4.7979,-0.1071,-0.1321,-0.1035,21.6509,21.6375,21.6658,9.218566273949284,0.0009567035460671391,8.159508273949283,0.0009567035460671391,2.181452,11.84,49.43638216,25.25264566,3,25,47.29,3.44,21.1461,784.25,-364,\N,\N,10.213846570077132,0.15823816153836212,\N,\N,1.46,\N
"Gaia DR3 114207651462714880",12781,\N,41.068881780380345,25.52175109435131,130.19563405443222,0.028051848,937.71783,864.5251260254983,-363.19555086835487,1.080172,9.467294,10.816531,8.316322,3179.169,3157.587,3238.1348,4.318,4.2492,4.524,-0.7115,-0.7846,-0.4589,7.6778,7.6447,7.6891,10.040276104806804,0.00046786372947860144,8.889304104806804,0.00046786372947860144,2.500209,10.55,41.06229453,25.52424901,2,25,132.42,2.48,7.5517,864.77,-367.17,\N,\N,11.159767917726494,0.04067271810638573,\N,\N,1.53,\N
"Gaia DR3 1155276250492687616",74190,\N,227.39562087412435,3.1689590731574753,68.45044122753534,0.019924864,770.80707,-602.1219360871316,481.24076352495507,1.0353637,10.37806,11.712266,9.23603,3166.075,3164.047,3177.0474,4.0886,4.082,4.1227,-0.8098,-0.8169,-0.7711,14.6035,14.5896,14.6199,9.554941259579135,0.0006320820273097993,8.412911259579136,0.0006320820273097993,2.476236,11.46,227.39976594,3.1656499,15,3,68.99,2.63,14.4949,-601.06,482.52,\N,\N,10.653930724732973,0.08281984830890288,\N,\N,1.511,\N
"Gaia DR3 1175938925836488448",70475,\N,216.23573184749154,8.888339518893313,76.78255940783944,0.04487608,570.87573,547.7841798597909,160.72202829528786,1.6540773,11.102701,12.4818735,9.946034,3125.8486,3114.6067,3280.0005,4.3363,4.2769,4.7998,-0.8357,-0.9159,-0.3114,13.0434,12.8768,13.1407,10.529013922221328,0.001269131706658655,9.372346922221325,0.001269131706658655,2.5358395,12.23,216.23192023,8.88723465,14,8,69.73,4.28,14.341,546.31,158.16,\N,\N,11.447098326024593,0.13345188330655944,\N,\N,1.613,\N
"Gaia DR3 1193030490492925824",78072,"142860",239.11469743534354,15.655912590196278,89.56466413447797,0.18347327,1319.9719,311.18254717012934,-1282.7670369101927,1.5415206,3.694426,3.9963472,3.2928677,6182.6055,6180.3726,6184.639,4.079,4.0755,4.0825,-0.3494,-0.3679,-0.3321,11.167,11.1432,11.1929,3.4551095082287633,0.0044482687991531655,3.0535512082287637,0.0044482687991531655,0.7034795,3.85,239.11247598,15.66473327,15,15,89.92,0.72,11.121,311.2,-1282.17,\N,\N,3.619281491124929,0.01738760619804447,\N,\N,0.478,\N
"Gaia DR3 1229089524081628416",70865,\N,217.36887348196421,15.538414038335086,70.32487493126503,0.021143159,1673.5492,-1054.7757849507702,1299.3132065676791,1.2632816,9.732934,10.90645,8.651203,3343.8218,3343.596,3344.3616,3.9396,3.9394,3.9405,-1.2692,-1.2698,-1.2683,14.1729,14.167,14.1803,8.96847884235116,0.0006528527472919876,7.886747842351161,0.0006528527472919876,2.255247,10.67,217.37640041,15.52948103,14,15,70.06,2.25,14.2735,-1053.37,1300.01,\N,\N,9.89735066490837,0.06976154289216918,\N,\N,1.471,\N
"Gaia DR3 1244644727396803584",67090,\N,206.27327486352382,17.777287971454683,77.44122245908348,0.017091446,1887.907,450.9738430630764,-1833.2526914896066,1.0069798,9.108179,10.003153,8.1753845,3846.104,3845.6584,3847.2422,4.7656,4.7641,4.7677,-0.3924,-0.3943,-0.3881,12.8899,12.8824,12.8991,8.553039999849048,0.00047924868502580154,7.620245499849048,0.00047924868502580154,1.8277685,9.79,206.27001884,17.78989211,13,17,76.7,1.46,13.0378,451.03,-1831.59,\N,\N,9.213976819744905,0.04133940958093785,\N,\N,1.42,\N
"Gaia DR3 1341113541156480768",84099,\N,257.89598966788463,38.44254560681901,83.06866367689253,0.01781857,217.8079,212.68792342388429,-46.94817915362118,1.0543015,10.420489,11.85787,9.238903,3197.2703,3177.3823,3299.817,4.1525,4.0982,4.7521,-1.0463,-1.1091,-0.0903,12.0478,12.0147,12.1694,10.01767512019547,0.00046578976972533326,8.83608912019547,0.00046578976972533326,2.618967,11.54,257.89412267,38.44286912,17,38,83.13,2.13,12.0294,211.77,-44.85,\N,\N,11.13878890250947,0.05565077358115911,\N,\N,\N,\N
"Gaia DR3 1350714133093019904",87938,\N,269.4622611288724,46.59121608783237,71.49516298997698,0.015178036,578.33594,-15.069704345036971,578.139595462519,1.1434925,10.570074,11.951392,9.411464,3145.5625,3136.4148,3276.3958,4.1782,4.1437,4.5533,-0.7534,-0.7884,-0.3165,13.9707,13.8972,14.0024,9.84145730286405,0.0004609918422655568,8.682847302864051,0.0004609918422655568,2.539928,11.79,269.46241105,46.58724154,17,46,73.75,1.84,13.5593,-17.74,575.75,\N,\N,11.128810123251004,0.05418764147038235,\N,\N,1.56,\N
