designation, HIP, HD, ra, declination, parallax, parallax_error, pm, pmra, pmdec, ruwe, phot_g_mean_mag, phot_bp_mean_mag, phot_rp_mean_mag, teff_gspphot, teff_gspphot_lower, teff_gspphot_upper, logg_gspphot, logg_gspphot_lower, logg_gspphot_upper, mh_gspphot, mh_gspphot_lower, mh_gspphot_upper, distance_gspphot, distance_gspphot_lower, distance_gspphot_upper, Mg, Mg_error, MRp, MRp_error, Bp_minus_Rp, Vmag, RAdeg, DEdeg, RAhms, DEdms, Plx, e_Plx, distance_Plx, pmRA, pmDE, BTmag, VTmag, MV, MV_error, MVt, MVt_error, B_minus_V, BT_minus_VT
"Gaia DR3 1022456139210632064",45343,"79210",138.5835616152243,52.68408016691263,157.88793077923938,0.019652834,1647.2037,-1545.7874520604669,-569.052823523412,1.0839477,6.976026,7.8634076,6.046104,3745.384,3729.2944,3786.4963,4.5113,4.4799,4.5419,-0.5138,-0.5891,-0.3585,6.3395,6.321,6.3581,7.9677706653578,0.0002702903686784275,7.0378486653578,0.0002702903686784275,1.8173036,7.64,138.60112218,52.6879927,"09 14 24.27","+52 41 16.8",161.59,5.23,6.1885,-1533.58,-562.8,9.388,7.791,8.68207240474241,0.07030613774680639,8.83307240474241,0.07030613774680639,1.41,1.597
"Gaia DR3 1040054235130174080",45333,"79028",138.58551910281656,61.42317881514599,49.4144677042924,0.1543677,32.05359,-7.826225560388236,-31.083479545225025,1.9982607,5.021104,5.3353024,4.5493364,5763.827,5762.957,5764.881,4.1064,4.1043,4.113,-0.3799,-0.3873,-0.372,20.1511,19.9241,20.2361,3.490374607395302,0.006783565774777234,3.0186070073953024,0.006783565774777234,0.785966,5.18,138.58562984,61.42339501,"09 14 20.55","+61 25 24.2",51.12,0.72,19.5618,-8.67,-31.84,5.919,5.255,3.7229542257517183,0.03058614104252877,3.7979542257517194,0.03058614104252877,0.605,0.664
"Gaia DR3 1051547052218220160",48714,\N,149.0331749118223,62.78586947842925,95.04771290601064,0.015691645,657.8291,-303.9218502410663,-583.4128868434314,0.98848855,8.231167,9.188957,7.261147,3761.3489,3750.573,3782.9622,4.5757,4.5591,4.5964,-0.3153,-0.4168,-0.126,10.5193,10.4967,10.5531,8.120875355389243,0.000358493365545165,7.150855355389243,0.000358493365545165,1.92781,8.99,149.03774424,62.78988049,"09 56 09.06","+62 47 23.6",95.4,1.2,10.4822,-304.56,-583.14,10.83,9.145,8.887741873520476,0.027315559056540373,9.042741873520475,0.027315559056540373,1.438,1.685
"Gaia DR3 1057318835428596096",55360,\N,169.9881036824331,65.84729793562252,110.23053640673568,0.016632896,2952.3298,-2946.717969616033,181.94739529449873,1.0957419,8.527628,9.497674,7.546079,3550.6685,3518.1956,3555.545,4.4305,4.3215,4.4482,-0.8166,-0.9418,-0.793,9.0828,9.0703,9.1182,8.739137603969994,0.00032765761834951945,7.757588603969994,0.00032765761834951945,1.951595,9.31,170.03762202,65.84603892,"11 20 09.03","+65 50 45.7",109.95,1.11,9.095,-2946.7,184.52,11.032,9.462,9.515976168484048,0.021922840072068794,9.667976168484046,0.021922840072069683,1.412,1.57
"Gaia DR3 1071194431653425280",47620,\N,145.63642599574993,70.0326740617471,84.32808364905566,0.017220698,724.43524,-671.7748027721867,-271.15503131945144,1.1861464,9.574072,10.847705,8.452195,3211.2566,3210.3716,3216.6855,4.0327,4.0294,4.0551,-0.8339,-0.8374,-0.8087,11.852,11.8227,11.8576,9.203933155608183,0.00044343793290835265,8.082056155608184,0.00044343793290746447,2.39551,10.56,145.64995255,70.03453903,"09 42 35.99","+70 02 04.3",85.14,3.18,11.7454,-670.68,-268.66,12.322,10.725,10.210668229205588,0.08114277663991576,10.375668229205587,0.08114277663991576,1.463,1.597
"Gaia DR3 1078773262224027520",54952,"97584",168.79329264913866,73.47570460715328,69.136383508707,0.015073201,418.8024,-403.4357801928887,112.40562503169723,1.0117257,7.311935,7.8670254,6.6099033,4573.935,4570.0625,4575.9546,4.5349,4.5318,4.537,-0.2501,-0.2813,-0.228,14.4547,14.4014,14.4623,6.510468290315211,0.0004734271443203042,5.80843659031521,0.0004734271443203042,1.2571221,7.68,168.80304208,73.47493336,"11 15 12.73","+73 28 29.8",68.13,1.18,14.6778,-403.84,112.05,8.965,7.751,6.846691944696988,0.037613293747664756,6.917691944696988,0.037613293747664756,1.043,1.214
"Gaia DR3 1092545710514654464",42438,"72905",129.79848216263676,65.02129699890843,69.2575995687921,0.048491586,92.01596,-27.274471017671917,87.88083046986,1.1658813,5.4989767,5.817055,5.012697,5710.941,5709.386,5712.0947,4.3942,4.3909,4.3955,-0.459,-0.467,-0.4498,14.4485,14.4292,14.5337,4.701313875303876,0.001520384173794298,4.215034175303876,0.001520384173794298,0.804358,5.63,129.79892615,65.02069298,"08 39 11.74","+65 01 14.5",70.07,0.71,14.2714,-27.73,87.9,6.389,5.706,4.857660587467878,0.022003684583354666,4.933660587467877,0.022003684583354666,0.618,0.683
"Gaia DR3 1092897519875582592",43534,\N,133.00249181194692,66.13193849158426,60.61406161968998,0.014314394,137.4185,94.8469309783903,99.43795136294996,1.1214712,8.685255,9.473858,7.81896,3968.3408,3956.581,3980.354,4.4725,4.432,4.5027,-1.0084,-1.1291,-0.9029,16.4808,16.4343,16.5031,7.598121930685155,0.0005128069523343548,6.7318269306851555,0.0005128069523343548,1.654898,9.26,133.00088105,66.13125503,"08 52 00.21","+66 07 52.5",60.63,1.41,16.4935,91.83,97.56,11.005,9.424,8.173437841174833,0.050508465220717724,8.337437841174832,0.050508465220716836,1.319,1.581
"Gaia DR3 1124490096714712960",46343,"80768",141.71504784694056,75.93383783985591,47.83514271573157,0.014740146,358.78705,-345.9100658576638,-95.25953230621836,0.96429324,8.568129,9.237542,7.7810407,4300.9624,4294.8633,4302.5425,4.5506,4.5356,4.5533,-0.0231,-0.1488,0,20.9131,20.8768,21.023,6.966864370071884,0.0006691277489130343,6.179776070071884,0.0006691277489130343,1.4565013,9.02,141.72483448,75.93449215,"09 26 53.96","+75 56 04.2",49.84,1.04,20.0642,-347.05,-95.7,10.554,9.151,7.507890168255566,0.045318201594116925,7.638890168255566,0.045318201594116925,1.203,1.403
"Gaia DR3 1128210122507896832",53327,\N,163.60246869511477,76.06638564220438,43.58035019643688,0.012356008,455.51196,-432.6488713152799,142.49951826618405,0.9331988,9.054224,9.692552,8.28566,4330.224,4329.1353,4331.2676,4.6222,4.6216,4.6227,-0.4088,-0.4122,-0.4056,22.9334,22.9269,22.9395,7.2506775788133515,0.0006156612111136717,6.482113578813352,0.0006156612111136717,1.406892,9.48,163.61482212,76.06540631,"10 54 27.56","+76 03 55.5",44.92,1.04,22.2618,-432.44,141.84,10.893,9.601,7.742198737947103,0.050283502783934786,7.863198737947103,0.050283502783934786,1.097,1.292
"Gaia DR3 1129149723913123456",57544,\N,176.9394079814786,78.69329745305299,190.32514271529305,0.019362431,889.55194,748.4182886031707,480.80430000482306,1.284949,9.551337,11.049281,8.347287,3056.1953,3054.8835,3056.999,4.4017,4.3973,4.4049,-0.7508,-0.7564,-0.7472,5.2528,5.2484,5.2538,10.94881782060577,0.00022091135329205258,9.74476782060577,0.00022091135329205258,2.701994,10.8,176.91319098,78.68999275,"11 47 39.17","+78 41 24.0",185.48,1.43,5.3914,743.21,480.4,12.741,10.92,12.141485436118835,0.016741789261093487,12.261485436118834,0.016741789261093487,1.572,1.821
"Gaia DR3 1130450270073924608",47981,\N,146.70363523803653,76.03947042549247,63.325063023847214,0.01529024,1004.24786,87.3667512611242,-1000.440301995851,1.0442513,9.792734,10.867223,8.757159,3532.1582,3510.8792,3576.4312,4.5683,4.5345,4.6196,-0.4036,-0.4457,-0.3158,15.7892,15.7382,15.845,8.800612153457458,0.0005243158609671283,7.765037153457457,0.0005243158609666843,2.110064,10.64,146.70114708,76.04634854,"09 46 48.28","+76 02 46.9",62.85,1.53,15.9109,88.25,-997.27,11.925,10.764,9.631526410109885,0.05287206541814271,9.755526410109884,0.05287206541814271,1.382,1.161
"Gaia DR3 1139252071109797760",38784,"62613",119.05927122870598,80.26593957502311,58.291899886624634,0.019578947,484.46622,-476.1593730046099,89.32955805147142,1.1370121,6.3770027,6.7352443,5.844827,5453.257,5452.23,5454.3584,4.4667,4.4662,4.4672,-0.5015,-0.5065,-0.4978,17.1482,17.1419,17.1539,5.205043751758566,0.0007293491016646669,4.672868051758567,0.0007293491016646669,0.8904173,6.55,119.07863116,80.26532526,"07 56 18.87","+80 15 55.2",58.67,0.57,17.0445,-475.7,89.35,7.46,6.629,5.39208044108166,0.021097293647100557,5.471080441081659,0.021097293647100557,0.719,0.831
"Gaia DR3 1141280704422528128",32439,"46588",101.55652486903517,79.56212608725718,54.93795853293205,0.059513412,612.12775,-99.16304484778603,-604.042255390708,0.98378754,5.3004165,5.569801,4.8804135,6105.6284,6104.529,6107.056,4.1922,4.1893,4.195,-0.5909,-0.6071,-0.5757,18.1976,18.1759,18.2171,3.9997790860929783,0.002352322258718509,3.579776086092977,0.002352322258718509,0.6893875,5.44,101.56028979,79.56627808,"06 46 14.47","+79 33 58.6",56.02,0.53,17.8508,-99.03,-603.61,6.057,5.502,4.181715522437747,0.02054471111827061,4.243715522437748,0.02054471111827061,0.525,0.555
"Gaia DR3 1143321672882274560",29277,\N,92.58432174711153,82.10081629100655,105.69034761779739,0.014169129,1337.1912,50.26318128303255,-1336.2461565890833,1.0745975,9.470075,10.719857,8.35686,3250.4275,3230.9077,3340.0625,4.2872,4.2059,4.5397,-0.713,-0.8147,-0.432,9.4696,9.4348,9.4916,9.590251631535132,0.0002911133662459875,8.477036631535132,0.0002911133662459875,2.362997,10.48,92.58180602,82.11000311,"06 10 19.63","+82 06 36.0",106.43,1.44,9.3958,50.26,-1336.86,12.214,10.577,10.615320310755227,0.02938185752920397,10.712320310755228,0.02938185752920308,1.514,1.637
"Gaia DR3 1147862174868109184",51819,"90343",158.79785566738158,84.3995344558437,47.38788704768253,0.013796714,51.88374,19.761016199076735,47.973164996132574,0.92303175,7.0809174,7.4883466,6.5041924,5218.4893,5214.6377,5220.412,4.4785,4.4771,4.4812,0.1141,0.104,0.1173,21.0379,21.006,21.0569,5.459254123071827,0.0006322118690231804,4.882529123071827,0.0006322118690231804,0.9841542,7.29,158.7964664,84.39920504,"10 35 11.15","+84 23 57.1",47.55,0.6,21.0305,18.97,48.01,8.318,7.378,5.675752606367163,0.02740173714605909,5.763752606367164,0.02740173714605909,0.819,0.94
"Gaia DR3 114832620743735808",13081,"17382",42.03952436381632,27.068111757001752,43.57040806887107,0.05413001,302.9037,278.46940568310737,-119.18652109895271,2.2394505,7.3799114,7.794708,6.791135,5111.457,5108.0854,5139.6064,4.4809,4.4775,4.5141,-0.2815,-0.2964,-0.146,22.8463,22.2315,22.9344,5.575869537207921,0.002697745761973458,4.987093137207922,0.002697745761973458,1.003573,7.56,42.03737461,27.06894254,"02 48 08.97","+27 04 08.2",44.71,1.15,22.3664,264.17,-127.75,8.613,7.652,5.81202334934016,0.055865448275456586,5.904023349340159,0.055865448275456586,0.82,0.961
"Gaia DR3 115311458058061440",14150,"18803",45.60960164514362,26.608490327814263,47.181000059147735,0.021921754,287.56955,233.0667803130318,-168.45212977584015,0.8499111,6.4558463,6.7972026,5.9398403,5435.6226,5433.239,5438.001,4.3607,4.3594,4.3619,-0.4832,-0.4951,-0.4728,21.175,21.1644,21.1855,4.824682010255984,0.0010089334127085792,4.308676010255985,0.0010089334127085792,0.8573623,6.62,45.60780944,26.60964871,"03 02 25.87","+26 36 34.7",47.25,0.89,21.164,234.19,-168.25,7.506,6.697,4.9920090642264086,0.04090664661863208,5.0690090642264085,0.04090664661863208,0.696,0.809
