designation, HD, HIP, ra, declination, parallax, parallax_error, pm, pmra, pmdec, ruwe, phot_g_mean_mag, phot_bp_mean_mag, phot_rp_mean_mag, teff_gspphot, teff_gspphot_lower, teff_gspphot_upper, logg_gspphot, logg_gspphot_lower, logg_gspphot_upper, mh_gspphot, mh_gspphot_lower, mh_gspphot_upper, distance_gspphot, distance_gspphot_lower, distance_gspphot_upper, Mg, Mg_error, MRp, MRp_error, Bp_minus_Rp
"Gaia DR3 6120654200137332480",\N,\N,211.85343236302222,-36.729806094168744,48.30970163837017,0.016199531,416.79718,329.91540425439376,-254.70709396328954,1.0913342,9.101848,9.87773,8.243611,4095.8567,4094.3594,4096.527,4.6019,4.6004,4.6024,-0.0015,-0.01,-0.0002,20.6856,20.6749,20.7091,7.522019776419396,0.0007281526223330559,6.663782776419395,0.0007281526223330559,1.634119
"Gaia DR3 610304720935037184","77175B",\N,135.32226274260103,15.262939477049024,54.166710763968446,0.02501087,333.22906,-110.79706271570156,-314.26998487828257,1.0685779,8.9143305,9.700054,8.050136,3989.9343,3980.8347,3998.2007,4.5024,4.4809,4.5167,-0.9151,-0.996,-0.8158,18.4693,18.4253,18.5702,7.5829928207798805,0.0010026530545554913,6.7187983207798805,0.0010026530545554913,1.649918
"Gaia DR3 694917878769233408",\N,\N,139.58865228454928,27.310833670936205,47.71801824368546,0.021747772,262.59003,-204.47050635780846,-164.7583876408575,1.0524588,8.960779,9.747764,8.096489,3931.0183,3917.4182,3942.3298,4.4423,4.414,4.4645,-0.592,-0.6719,-0.5096,20.9784,20.9331,21.313,7.354190994385529,0.000989661596905389,6.489900994385528,0.000989661596905389,1.651275
"Gaia DR3 3943232534138172672",\N,\N,196.56388745169696,20.729669941506916,50.80727454464759,0.022588037,109.91239,-56.04058526477058,94.55256119805307,1.0855933,8.973733,9.6849985,8.016293,4006.3718,3998.8965,4019.1687,4.4744,4.4573,4.4875,-0.9633,-1.0454,-0.9067,19.6804,19.6436,20.1034,7.503362493350244,0.000965399203201045,6.545922493350244,0.000965399203201045,1.6687055
"Gaia DR3 3057712188691831936","61606B",\N,115.01238286998716,-3.604949403710938,70.99235553163828,0.025244514,294.20605,66.0077039531492,-286.7057631062172,1.0220673,8.334735,9.149768,7.4525676,3874.2908,3864.301,3886.988,4.4708,4.4514,4.4935,-0.6288,-0.6836,-0.5523,14.1086,14.0858,14.2309,7.590792931682239,0.0007721643766100961,6.708625531682239,0.0007721643766100961,1.6972004
"Gaia DR3 6171492113110925312","120036B",\N,206.92897157434948,-32.431131168201624,68.58196057048296,0.028191488,105.56267,84.94491059790595,-62.67247731210655,1.0949101,8.416762,9.238193,7.5313497,3826.127,3813.7961,3830.448,4.393,4.3538,4.4057,-0.7982,-0.8382,-0.7719,14.6001,14.5648,14.9251,7.597811481232881,0.0008926114289242726,6.712399181232881,0.0008926114289242726,1.7068433
"Gaia DR3 1118916397393675648","75632B",\N,133.83554432436412,70.79208043103725,86.30367448068573,0.039040413,1417.0475,-1353.9848522383277,-418.02948642361736,2.2001705,8.067136,8.887245,7.169298,3950.3955,3934.4316,3960.4429,4.5739,4.5596,4.58,-0.3926,-0.5385,-0.2996,11.5701,11.528,11.6883,7.747282433542069,0.0009822894097877288,6.849444433542069,0.0009822894097877288,1.717947
"Gaia DR3 4764556617980377856",\N,\N,75.59361064924794,-56.095187764521555,45.048700628755284,0.01014471,723.5543,-54.90248719211675,721.4683244862313,0.9783102,9.901522,10.747698,9.002545,3961.393,3960.13,3963.0266,4.7241,4.7204,4.7257,-0.3065,-0.3179,-0.2924,22.176,22.1579,22.205,8.16993334417809,0.0004890031883819645,7.270956344178091,0.0004890031883819645,1.745153
"Gaia DR3 4871223131120838912",\N,\N,69.10779075828506,-33.746154824762456,48.3966777662938,0.0115399845,290.84192,275.8627226089061,92.13455702476656,0.961575,9.698339,10.545353,8.796233,3962.9504,3961.9934,3964.0798,4.7142,4.7105,4.7154,-0.2415,-0.2625,-0.2277,20.635,20.6161,20.66,8.122416750651075,0.0005177784835552757,7.220310750651075,0.0005177784835548316,1.74912
"Gaia DR3 4557198933740208128",\N,\N,264.45198486411437,22.95376522107837,43.87582051407181,0.014840823,216.3184,-162.01661281500628,-143.33272671140477,1.0890702,9.567993,10.415929,8.658827,3889.9788,3882.3198,3903.3015,4.5138,4.5002,4.5379,-0.742,-0.795,-0.6361,22.769,22.7154,22.8315,7.779119256076152,0.0007344919942333661,6.869953256076153,0.0007344919942333661,1.757102
