designation, HD, HIP, ra, declination, parallax, parallax_error, pm, pmra, pmdec, ruwe, phot_g_mean_mag, phot_bp_mean_mag, phot_rp_mean_mag, teff_gspphot, teff_gspphot_lower, teff_gspphot_upper, logg_gspphot, logg_gspphot_lower, logg_gspphot_upper, mh_gspphot, mh_gspphot_lower, mh_gspphot_upper, distance_gspphot, distance_gspphot_lower, distance_gspphot_upper, Mg, Mg_error, MRp, MRp_error, Bp_minus_Rp
"Gaia DR3 1237090738916392832","131156B",\N,222.8466426652314,19.101104107947574,148.17931678941665,0.054625016,225.68721,133.37604517724114,-182.0591844077652,1.5099552,6.4300914,7.133002,5.615121,4244.478,4242.5444,4246.52,4.6362,4.6315,4.6402,0.1444,0.1346,0.1581,6.7397,6.7345,6.7454,7.284029340244161,0.0008004944485957566,6.469058940244161,0.0008004944485957566,1.517881
"Gaia DR3 5970189332424492160","152705",\N,254.17809476004484,-39.13735925768554,63.726103624238334,0.020357424,120.17362,51.246701375290556,-108.69900923285306,0.92365205,8.07022,8.737367,7.2849135,4334.8286,4331.1562,4341.3306,4.6294,4.6236,4.6365,0.1964,0.1735,0.2399,15.6681,15.654,15.6943,7.0918068271221,0.0006936809805484501,6.306500327122099,0.0006936809805484501,1.4524535
"Gaia DR3 2807687883095124992",\N,\N,9.241631892644449,26.182032848508854,43.61362628522221,0.022524148,86.97385,76.16282140241587,41.99612241810282,1.0758655,8.603375,9.262847,7.8259115,4367.2637,4363.13,4368.211,4.5653,4.5607,4.5666,0.2452,0.2228,0.2498,22.9538,22.9237,23.0078,6.801485989453802,0.0011214515839252925,6.024022489453802,0.0011214515839252925,1.4369355
"Gaia DR3 4610267648427698816",\N,\N,271.9355112378078,39.07288752305053,44.10871283656803,0.014426127,288.25684,54.53577618013374,-283.0509637229036,1.0238867,8.514702,9.172328,7.7388325,4354.2,4345.458,4359.07,4.5392,4.5295,4.543,0.1463,0.09,0.1743,22.6802,22.6576,22.749,6.737323922746933,0.0007101984133992545,5.961454422746932,0.0007101984133992545,1.4334955
"Gaia DR3 3996306127914172928","95174B",\N,164.91023392506725,25.436789843273214,46.98985869140512,0.019973835,204.85986,-188.8336354485916,-79.43185825807444,0.9593516,8.592157,9.245403,7.817886,4380.0493,4379.0156,4382.147,4.5984,4.5967,4.6016,0.2504,0.249,0.2566,21.264,21.2486,21.2767,6.9521776950407785,0.0009230211674355893,6.177906695040778,0.0009230211674355893,1.427517
"Gaia DR3 1875076004382831616",\N,\N,336.188857213385,22.550795982080913,47.92257888430325,0.023322742,198.85948,-183.49048761484397,-76.65725467095271,1.1335062,8.493871,9.138937,7.7157483,4395.6416,4394.3535,4398.71,4.5916,4.5899,4.5969,0.307,0.3006,0.3242,20.8388,20.8133,20.8576,6.896571904699093,0.0010568023663330983,6.118449204699092,0.0010568023663330983,1.4231887
"Gaia DR3 60186343087140096",\N,\N,45.9545660251255,20.11057925630227,46.760142685293424,0.023340123,72.07023,31.27611664693113,-64.93013638783809,0.9655377,8.245732,8.843672,7.5092006,4579.2236,4575.952,4581.467,4.5706,4.563,4.5853,0.0941,0.045,0.1934,21.3556,21.2318,21.3877,6.5951111385547705,0.0010838811523621317,5.85857973855477,0.0010838811523621317,1.3344714
"Gaia DR3 1068982214258617856",\N,\N,137.597576949849,67.13483839139721,48.63356320236432,0.025120966,62.74969,-18.86886836361252,-59.845545867929175,1.2245616,8.302411,8.820843,7.503895,4408.2466,4404.2095,4413.077,4.5407,4.5324,4.5484,-0.0603,-0.1108,-0.0203,20.5761,20.5501,20.6113,6.737091449468924,0.0011216428702507386,5.9385754494689245,0.0011216428702507386,1.316948
"Gaia DR3 1451450048399808384","120476A",\N,207.26459525552625,26.979435072906163,74.09367050330306,0.037023433,431.85132,-417.13971253022316,-111.75877642639064,1.4109154,7.203598,7.772411,6.4687204,4524.2183,4520.924,4525.838,4.5388,4.5355,4.5404,-0.1348,-0.1829,-0.1248,13.4464,13.3266,13.4841,6.552503548473084,0.0010850504423669527,5.817625948473085,0.0010850504423669527,1.3036906
"Gaia DR3 2035035258143206016","225732",\N,296.61489324314385,33.72829679392363,47.737949047382585,0.018502941,439.25845,21.54722397088895,-438.7296429265068,0.9404777,8.223257,8.783411,7.5134387,4565.4785,4564.18,4566.368,4.5652,4.5642,4.5663,-0.1315,-0.1403,-0.1267,20.922,20.8965,20.936,6.617575782974758,0.0008416496454124456,5.907757482974758,0.0008416496454124456,1.2699723
