HIP, HD, designation, Vmag, RAdeg, DEdeg, RAhms, DEdms, Plx, e_Plx, distance_Plx, pmRA, pmDE, BTmag, VTmag, MV, MV_error, MVt, MVt_error, B_minus_V, BT_minus_VT
3937,\N,\N,12.01,12.63797991,24.81682158,0,24,83.2,9.08,12.0192,198.46,-41.74,\N,\N,11.610616631453622,0.2379304380054883,\N,\N,\N,\N
7765,"10182",\N,8.68,24.98327133,15.25944524,1,15,61.3,36.67,16.3132,125.98,-35.92,10.508,9.124,7.617302372592076,1.4990717405244602,8.061302372592078,1.4990717405244602,\N,1.384
12261,\N,"Gaia DR3 4726357491998516480",12.36,39.46958019,-58.75358168,2,-58,67.2,3.03,14.881,78.97,206.57,\N,\N,11.496846365269127,0.09797657281274219,\N,\N,\N,\N
12886,\N,\N,10.8,41.41391698,44.94906212,2,44,42.59,2.21,23.4797,409.77,-125.87,\N,\N,8.946538200368746,0.1127792484763086,\N,\N,\N,\N
14101,\N,\N,10.4,45.46502827,-16.59263281,3,-16,92.97,38.04,10.7562,-361.17,-304.4,\N,\N,10.241714154794728,0.9437371190491088,\N,\N,\N,\N
14555,\N,"Gaia DR3 5059643105878789632",10.21,46.98322257,-28.21943517,3,-28,52.38,5.03,19.0913,-339.14,-119.54,11.971,10.372,8.805827470446069,0.20916890882081773,8.967827470446068,0.20916890882081773,\N,1.599
14559,\N,\N,11.72,46.99144229,-28.22097006,3,-28,114.73,33.98,8.7161,-156.07,-146.48,\N,\N,12.01838496792378,0.6629941065541818,\N,\N,\N,\N
14589,\N,\N,10.86,47.10218246,-24.17280917,3,-24,45.83,11.06,21.8198,7.55,-161.97,\N,\N,9.165749286223935,0.5345781077112832,\N,\N,\N,\N
15689,\N,\N,12.16,50.52321876,-13.27811998,3,-13,227.45,61.79,4.3966,-112.94,-299.04,\N,\N,13.94442970582987,0.6051017395973322,\N,\N,\N,\N
21086,\N,"Gaia DR3 3177407910705445888",11.47,67.7880736,-13.5141006,4,-13,49.73,3.24,20.1086,-161.78,-206.99,\N,\N,9.953092296161124,0.14167606688127599,\N,\N,\N,\N
21492,\N,\N,12.35,69.24295431,59.36696523,4,59,39.88,5.06,25.0752,124.2,-139.2,\N,\N,10.353775748198093,0.2770107532544941,\N,\N,\N,\N
30365,\N,\N,11.21,95.79438197,8.90720423,6,8,48.08,13.63,20.7987,206.42,88.35,\N,\N,9.619822294973417,0.6329158004268542,\N,\N,\N,\N
31292,\N,\N,11.41,98.44808629,-75.62561416,6,-75,119.54,13.42,8.3654,-308.79,256.54,\N,\N,11.797566257488315,0.24480941282435964,\N,\N,\N,\N
31293,\N,"Gaia DR3 5260759175761501696",10.35,98.43325369,-75.63066752,6,-75,114.18,3.18,8.7581,-290.42,278.52,12.29,10.556,10.637950193353321,0.060492805121422855,10.84395019335332,0.060492805121422855,\N,1.734
47395,\N,"Gaia DR3 793785826901083520",11.77,144.85175347,31.75522522,9,31,41.66,3.97,24.0038,-190.3,-207.7,\N,\N,9.868596328058636,0.20756082830763933,\N,\N,\N,\N
54298,\N,\N,11.69,166.62786165,-53.26885914,11,-53,155.28,78.3,6.44,-39.5,272.78,\N,\N,12.645577611901533,1.2051443683580825,\N,\N,\N,\N
55031,\N,\N,12.3,168.98525455,-48.69069347,11,-48,43.57,35.81,22.9516,-69.26,-29.45,\N,\N,10.49593779967877,2.5246234332823905,\N,\N,\N,\N
60444,\N,\N,11.19,185.88679784,67.18861012,12,67,77.01,5.72,12.9853,236.96,-121.73,\N,\N,10.62273561695553,0.16158602403596234,\N,\N,\N,\N
61722,\N,\N,12.13,189.76820008,47.04002676,12,47,39.08,4.64,25.5885,386.77,-121.31,\N,\N,10.089772775233676,0.2590425262401208,\N,\N,\N,\N
62374,\N,\N,11.71,191.75683366,46.62666333,12,46,49.89,2.32,20.0441,-761.46,-297.61,\N,\N,10.20006751969591,0.10105135447703528,\N,\N,\N,\N
62387,\N,\N,12.53,191.79002178,-49.47230003,12,-49,39.48,64.77,25.3293,-13.46,12.45,\N,\N,10.511885719987998,\N,\N,\N,\N,\N
63480,\N,"Gaia DR3 6155259541913716608",10.6,195.10766961,-34.60693447,13,-34,49.95,1.78,20.02,-57.74,77.77,12.379,10.854,9.092677462810006,0.0774145802366224,9.346677462810005,0.07741458023662151,\N,1.525
66182,\N,\N,12.96,203.46586742,-53.43178743,13,-53,59.1,114.46,16.9205,219.59,-150.35,\N,\N,11.817937404406278,\N,\N,\N,\N,\N
67593,\N,\N,13.31,207.75601036,23.76362602,13,23,76.2,107.46,13.1234,2281.92,5369.43,\N,\N,12.719774856698002,\N,\N,\N,\N,\N
69285,\N,"Gaia DR3 6124711741640147712",10.77,212.74033121,-31.29063408,14,-31,58.18,2.14,17.188,-320.7,126.71,\N,\N,9.593868584555203,0.0799080156199512,\N,\N,\N,\N
69578,\N,\N,12.1,213.62812474,-61.79940836,14,-61,64.68,46.97,15.4607,-14.12,-16.11,\N,\N,11.15385005617182,1.999100415543455,\N,\N,\N,\N
72896,\N,\N,11.53,223.46626781,23.55551709,14,23,97.83,5.99,10.2218,-679.64,102.46,\N,\N,11.4823602676281,0.13312287372233023,\N,\N,\N,\N
76362,\N,\N,11.65,233.94850307,-80.20230323,15,-80,99.9,61.26,10.01,-94.7,38.05,\N,\N,11.64782744112991,1.5505503524322108,\N,\N,\N,\N
79551,\N,\N,12.23,243.48522252,33.77361984,16,33,43.82,5.69,22.8206,-263.04,-82.85,\N,\N,10.438361866123433,0.2835653026445337,\N,\N,\N,\N
80468,\N,\N,11.87,246.37191811,43.72996989,16,43,39.35,18.4,25.413,-100.09,119.86,\N,\N,9.844723683475419,1.1009199031546704,\N,\N,\N,\N
81655,\N,\N,11.45,250.20414758,36.31626548,16,36,51.88,4.66,19.2753,-140.17,179.29,\N,\N,10.024999837060212,0.1955745535269804,\N,\N,\N,\N
82725,\N,\N,11.72,253.6339477,-62.40374141,16,-62,203.01,29.27,4.9259,254.79,173.56,\N,\N,13.257587156015656,0.3152800004607963,\N,\N,\N,\N
84084,\N,\N,12.25,257.85253534,-38.40958029,17,-38,54.25,56.24,18.4332,101.97,31.97,\N,\N,10.921998712602836,\N,\N,\N,\N,\N
