HIP, HD, designation, Vmag, RAdeg, DEdeg, RAhms, DEdms, Plx, e_Plx, distance_Plx, pmRA, pmDE, BTmag, VTmag, MV, MV_error, MVt, MVt_error, B_minus_V, BT_minus_VT
169,"224953",\N,9.24,0.53502093,-68.28020594,0,-68,63.03,1.98,15.8655,207.45,-231.8,10.801,9.295,8.237736535628077,0.06823624439644771,8.292736535628077,0.06823624439644771,1.39,1.506
171,"224930",\N,5.8,0.54018776,27.08448905,0,27,80.63,3.03,12.4023,778.59,-918.72,\N,\N,5.332483298996765,0.08164034746605742,\N,\N,0.69,\N
400,"225261",\N,7.82,1.23366004,23.26964739,0,23,39.06,0.93,25.6016,382.15,-7.45,8.763,7.902,5.778661194759178,0.05171149714962775,5.860661194759177,0.05171149714962775,0.755,0.861
428,\N,"Gaia DR3 386655019234959872",9.95,1.29233645,45.78693438,0,45,86.98,1.41,11.4969,869.68,-151.13,11.771,10.131,9.647097016646587,0.03520400477440333,9.828097016646588,0.03520400477440333,1.472,1.64
436,"55","Gaia DR3 4706630501049679744",8.49,1.32445343,-67.8312267,0,-67,62.48,0.82,16.0051,-117.19,-560.77,9.869,8.6,7.4687051043462205,0.028500474067164383,7.57870510434622,0.028500474067164383,1.076,1.269
439,"225213","Gaia DR3 2306965202564744064",8.56,1.33455564,-37.3516811,0,-37,229.33,1.08,4.3605,5634.07,-2337.94,10.374,8.74,10.362304355250892,0.010226344306689228,10.542304355250891,0.010226344306689228,1.462,1.634
473,"38",\N,8.2,1.41782275,45.81245496,0,45,85.1,2.74,11.7509,878.73,-153.87,9.954,8.299,7.8496478004229395,0.06993997290005716,7.94864780042294,0.06993997290005716,1.41,1.655
518,"123",\N,5.98,1.56474395,58.43668966,0,58,49.3,1.05,20.284,247.36,17.77,7.002,6.266,4.44423459638615,0.04625539302456305,4.73023459638615,0.04625539302456305,0.687,0.736
522,"142",\N,5.7,1.5777634,-49.07509405,0,-49,39,0.64,25.641,575.21,-39.94,6.319,5.763,3.655323035132496,0.03563761828652989,3.7183230351324967,0.03563761828652989,0.519,0.556
523,\N,"Gaia DR3 4899957905439568256",12.17,1.5787602,-65.83919547,0,-65,56.92,2.73,17.5685,195.8,-552.5,\N,\N,10.946324457061236,0.10422824248492457,\N,\N,1.55,\N
544,"166","Gaia DR3 2860924621205256704",6.07,1.65221045,29.02193518,0,29,72.98,0.75,13.7024,379.94,-178.34,7.008,6.155,5.386019295143148,0.022316547607016624,5.471019295143147,0.022316547607016624,0.752,0.853
