HIP, HD, RAdeg, DEdeg, RAhms, DEdms, Plx(mas), e_Plx(mas), distance_Plx(pc), Vmag, MV, MV_error, VTmag, MVt, MVt_error, B_menos_V(mag), BT_menos_VT(mag)
522,"142",1.5777634,-49.07509405,0,-49,39,0.64,25.641,5.7,3.655323035132496,0.03563761828652989,5.763,3.7183230351324967,0.03563761828652989,0.519,0.556
48502,\N,148.36739891,-31.75193178,9,-31,39.02,2.52,25.6279,10.19,8.146436325292497,0.14043406935651426,10.358,8.314436325292498,0.14043406935651337,1.375,1.756
60370,"107692",185.68615139,-39.17732244,12,-39,39.02,0.8,25.6279,6.7,4.656436325292496,0.04452643243099175,6.777,4.733436325292496,0.04452643243099175,0.639,0.721
2711,"3158",8.61506261,-52.37318294,0,-52,39.03,0.62,25.6213,5.57,3.526992756406245,0.03449721122111615,5.625,3.581992756406245,0.03449721122111615,0.472,0.503
19333,\N,62.14922867,-59.52653074,4,-59,39.03,0.93,25.6213,9.71,7.666992756406246,0.05175125969581318,9.83,7.786992756406245,0.05175125969581318,1.211,1.328
75686,\N,231.92803486,2.59779906,15,2,39.03,1.7,25.6213,10.2,8.156992756406243,0.09464105039923432,10.515,8.471992756406244,0.09464105039923432,1.334,1.17
81348,"149957",249.20349414,31.09789229,16,31,39.04,1.29,25.6148,9.49,7.447549044973273,0.07177816510602897,9.631,7.588549044973273,0.07177816510602897,1.2,1.407
400,"225261",1.23366004,23.26964739,0,23,39.06,0.93,25.6016,7.82,5.778661194759178,0.05171149714962775,7.902,5.860661194759177,0.05171149714962775,0.755,0.861
6405,"8262",20.57305873,18.68271329,1,18,39.07,0.8,25.5951,6.96,4.919217056123924,0.04446943359473776,7.032,4.991217056123923,0.04446943359473776,0.627,0.693
19930,"26900",64.13613292,36.50237672,4,36,39.08,1.16,25.5885,8.25,6.209772775233677,0.06447410845460588,8.362,6.321772775233677,0.06447410845460588,0.918,1.071
27080,"39194",86.13520683,-70.14658241,5,-70,39.08,0.75,25.5885,8.09,6.049772775233677,0.041678717887439376,\N,\N,\N,0.76,\N
39710,"67458",121.75122909,-29.40207468,8,-29,39.08,0.77,25.5885,6.8,4.759772775233678,0.04279043437263352,6.863,4.822772775233677,0.04279043437263352,0.6,0.662
61722,\N,189.76820008,47.04002676,12,47,39.08,4.64,25.5885,12.13,10.089772775233676,0.2590425262401208,\N,\N,\N,\N,\N
96258,"184960",293.58233594,51.23707706,19,51,39.08,0.47,25.5885,5.71,3.669772775233678,0.02611671552411554,5.775,3.7347727752336777,0.02611671552411554,0.475,0.527
114716,\N,348.56592592,-56.84719808,23,-56,39.09,2.81,25.582,11.99,9.950328352161236,0.1563668614455942,\N,\N,\N,1.48,\N
10339,"13531",33.30537928,40.50782151,2,40,39.1,0.91,25.5754,7.35,5.310883786979335,0.050547232514198015,7.421,5.381883786979334,0.050547232514198015,0.7,0.798
15797,\N,50.88912681,43.95809928,3,43,39.1,1.24,25.5754,8.98,6.940883786979335,0.06888821062242201,9.098,7.058883786979336,0.06888821062242201,0.98,1.144
35628,"56168",110.27849906,67.66166399,7,67,39.1,1.15,25.5754,8.38,6.340883786979336,0.06388526118097015,8.492,6.452883786979336,0.06388526118097015,0.888,1.033
40167,"68255",123.05295353,17.64813756,8,17,39.11,1.38,25.5689,4.67,2.6314390797606535,0.07665242891854485,\N,\N,\N,0.531,\N
