"Gaia DR3 5853498713190525696","","70890"
"Gaia DR3 4472832130942575872","","87937"
"Gaia DR3 762815470562110464","95735","54035"
"Gaia DR3 4075141768785646848","","92403"
"Gaia DR3 5164707970261890560","22049","16537"
"Gaia DR3 6553614253923452800","217987","114046"
"Gaia DR3 3796072592206250624","","57548"
"Gaia DR3 1872046609345556480","201091","104214"
"Gaia DR3 1872046574983497216","201092","104217"
"Gaia DR3 2154880616774131840","173739","91768"
"Gaia DR3 2154880616774131712","173740","91772"
"Gaia DR3 385334230892516480","1326","1475"
"Gaia DR3 385334196532776576","1326B",""
"Gaia DR3 6412595290592307840","209100","108870"
"Gaia DR3 3139847906307949696","","36208"
"Gaia DR3 4810594479418041856","33793","24186"
"Gaia DR3 2306965202564744064","225213","439"
"Gaia DR3 1637645127018395776","","86162"
"Gaia DR3 5951824121022278144","","85523"
"Gaia DR3 2603090003484152064","","113020"
"Gaia DR3 823773494718931968","88230","49908"
"Gaia DR3 778947814402602752","","54211"
"Gaia DR3 6562924609150908416","204961","106440"
"Gaia DR3 625453654702751872","",""
"Gaia DR3 5955305209191546112","","86214"
"Gaia DR3 4468557611984384512","165341A",""
"Gaia DR3 3316364602541746048","",""
"Gaia DR3 1129149723913123456","","57544"
"Gaia DR3 3741297293732404352","119850","67155"
"Gaia DR3 939072613334579328","265866","33226"
"Gaia DR3 6882963066420161664","","103039"
"Gaia DR3 2261614264931057664","185144","96100"
"Gaia DR3 3340477717172813568","","26857"
"Gaia DR3 6232511606838403968","131977","73184"
"Gaia DR3 5918660719983560192","","86990"
"Gaia DR3 2739689239311660672","","117473"
"Gaia DR3 4293318823182081408","180617","94761"
"Gaia DR3 6002807341299977216","","76074"
"Gaia DR3 425040000962559616","4614","3821"
"Gaia DR3 4109030160308317312","155885",""
"Gaia DR3 4109034455276324608","156026","84478"
"Gaia DR3 4109030160308320128","155886",""
"Gaia DR3 3136952686035250688","","37766"
"Gaia DR3 4847957293278177024","20794","15510"
"Gaia DR3 6427464123776727168","190248","99240"
"Gaia DR3 6673000841376349696","191849","99701"
"Gaia DR3 6324325225803432320","","71253"
"Gaia DR3 6322070093095493504","","74995"
"Gaia DR3 1022456139210632064","79210","45343"
"Gaia DR3 1428427236986209024","","80459"
