designation,ra,dec,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper
"Gaia DR3 5853498713190525696",217.39232147200883,-62.67607511676666,768.0665391873573,0.049872905,3859.228,-3781.741008265163,769.4650146478623,0.97145325,8.984749,11.373116,7.5685353,2829.3542,2828.994,2829.5671,5.1373,5.1368,5.1376,-0.1806,-0.1816,-0.1786,1.3011,1.3006,1.3013
"Gaia DR3 4472832130942575872",269.44850252543836,4.739420051112412,546.975939730948,0.040116355,10393.349,-801.5509783684709,10362.394206546573,1.0848505,8.1939745,9.791788,6.9580913,3099.6335,3098.7573,3101.6318,4.764,4.7609,4.7848,-0.9072,-0.9135,-0.8665,1.8275,1.8268,1.8285
"Gaia DR3 762815470562110464",165.83095967577933,35.948653032660104,392.75294543876464,0.03206665,4811.68,-580.0570872139048,-4776.588719443488,0.9638494,6.551172,7.6911216,5.475513,3511.045,3510.6343,3511.3494,4.8322,4.8313,4.8332,-0.1783,-0.1822,-0.1743,2.5453,2.5446,2.5458
"Gaia DR3 4075141768785646848",282.4587890175222,-23.83709744872712,336.0266016683708,0.031666122,668.1399,639.367850335873,-193.95792507116096,0.98801184,9.126414,10.732183,7.898147,3117.376,3109.027,3130.4165,4.776,4.7257,4.8568,-0.84,-0.9165,-0.6911,2.9762,2.9738,2.9895
"Gaia DR3 5164707970261890560",53.22829341517546,-9.458168216292322,310.5772928005821,0.13549915,974.9817,-974.758145249517,20.875840089774208,2.7166147,3.465752,3.9824479,2.8421502,5002.0435,4997.3774,5007.1123,4.5631,4.5504,4.5742,0.1258,0.0875,0.147,3.2179,3.2133,3.2218
"Gaia DR3 6553614253923452800",346.5039166796005,-35.8471642082214,304.1353692001036,0.01999573,6895.5312,6765.995136250774,1330.2852747179845,0.9320045,6.5220323,7.5897913,5.491506,3376.0845,3366.0298,3392.1506,4.1558,4.1178,4.1961,-0.9754,-1.0214,-0.9415,3.2877,3.2867,3.2888
"Gaia DR3 3796072592206250624",176.93768799004127,0.7991199702364985,296.3053079139394,0.030185517,1365.5074,607.2990766811824,-1223.0283548879977,1.0825819,9.601,11.361026,8.327767,3093.4,3092.9976,3093.7583,5.0554,5.0552,5.0557,-0.2009,-0.2021,-0.1995,3.3731,3.3724,3.3738
"Gaia DR3 1872046609345556480",316.7484792940004,38.76386244649797,285.99494829578117,0.05989728,5282.104,4164.2086922846665,3249.613883848584,1.2043179,4.766713,5.4397926,3.977203,4353.7437,4349.8877,4367.35,4.6322,4.6255,4.6499,0.2244,0.2049,0.301,3.4904,3.4792,3.4946
"Gaia DR3 1872046574983497216",316.753662752556,38.75607277205679,286.0053518616485,0.028940246,5178.7075,4105.976428209489,3155.9416398273515,0.9611461,5.4506445,6.272253,4.5569124,3889.6328,3866.8645,3916.285,4.548,4.527,4.5613,-0.484,-0.5502,-0.4288,3.4947,3.4857,3.4996
"Gaia DR3 2154880616774131840",280.6830708352289,59.638357907754816,283.8401180184389,0.021992655,2221.0198,-1311.6790825522846,1792.3245558304384,1.0079373,7.854393,9.16699,6.7059326,3352.192,3350.5967,3352.5767,4.8588,4.851,4.8591,-0.1016,-0.1226,-0.1004,3.522,3.5215,3.5225
