HIP, e_Plx, Plx
169,1.98,63.03
171,3.03,80.63
400,0.93,39.06
428,1.41,86.98
436,0.82,62.48
439,1.08,229.33
473,2.74,85.1
518,1.05,49.3
522,0.64,39
523,2.73,56.92
544,0.75,72.98
687,1.92,45.64
738,2.61,42.82
746,0.56,59.89
897,2.29,39.19
910,0.77,52.94
950,0.66,45.85
1031,0.78,49.18
1092,3.31,51.12
1242,17.24,191.86
1276,3.89,41.32
1292,0.53,56.76
1295,21.56,49.91
1322,3.44,44.82
1349,1.19,43.45
1368,1.12,66.71
1386,2.77,42.65
1463,2.2,61.67
1475,1.05,280.27
1499,0.85,42.67
1532,1.73,48.17
1598,0.81,40.25
1599,0.64,116.38
1608,3.03,39.31
1663,20.16,46.72
1692,33.05,43.42
1696,2.02,55.68
1720,3.98,50.1
1734,2.19,54.91
1768,7.12,44.57
1803,0.91,49.05
1837,1.15,44.97
1842,2.63,47.4
1860,2.72,50.71
1936,1.08,55.53
2021,0.51,133.78
2072,0.69,42.51
2081,0.78,42.14
2120,1.51,61.39
2552,3.37,98.74
2711,0.62,39.03
2762,1.15,47.51
2941,1.4,64.38
3008,1.94,43.4
3093,0.72,90.03
3143,2.59,43.64
3170,0.56,39.26
3206,0.98,57.9
3261,1.93,50.29
3362,1.98,42.03
3418,1.04,48.16
3497,0.56,45.76
3535,0.95,45.43
3583,0.73,66.92
3588,1.6,62.41
3765,0.86,134.04
3810,0.75,41.8
3813,2.06,46.32
3821,0.62,167.99
3829,5.35,226.95
3850,1.02,53.09
3876,0.7,46.47
3909,1.03,64.69
3937,9.08,83.2
3979,0.97,45.27
3998,1.66,45.71
4012,2.12,54.23
4022,1.44,65.81
4148,0.78,71.01
4151,0.6,53.85
4189,15.51,42.61
4328,3.38,39.56
4443,2.29,41.73
4454,1.01,41.45
4473,1.07,51.66
4569,2.88,76.32
4845,4.48,46.22
4849,1.61,46.61
4856,1.23,122.77
4872,1.39,99.44
4927,5.26,61.23
5215,2.56,45.24
5247,1.27,66.46
5286,1.06,48.2
5336,0.6,132.4
5410,3.65,46.11
5496,7.53,122.86
5643,7.57,269.05
5663,1.55,45.4
5799,0.89,41.01
5812,1.94,60.76
5842,1.25,47.36
5862,0.64,66.43
5896,0.53,48.94
5944,0.75,42.3
5957,1.59,44.03
6005,2.38,60.61
6008,2.69,41.14
6069,14.87,65.3
6097,3.65,45.22
6290,5.18,52.71
6344,1.05,41.44
6351,1.59,59.29
6365,3.53,42.73
6379,0.59,59.46
6405,0.8,39.07
6917,0.93,43.16
7170,2.12,56.42
7235,0.88,51.27
7339,0.6,47.65
7372,1.47,42.29
7513,0.72,74.25
7554,1.63,45.79
7576,0.96,42.35
7646,2.92,52.95
7734,0.8,46.73
7751,1.41,122.75
7765,36.67,61.3
7918,0.83,79.09
7978,0.64,57.63
7981,0.91,133.91
8043,2.01,48.11
8051,1.99,88.86
8070,1.11,74.45
8102,0.8,274.17
8190,2.67,40.43
8275,1.38,43.37
8362,0.68,100.24
8382,4.35,48.23
8486,4.48,43.47
8497,0.87,42.35
8691,3.05,56.35
8709,3.79,63.08
8768,1.37,90.17
8796,0.82,50.87
8867,1.09,45.16
8903,0.75,54.74
