HIP, e_Plx, Plx
1,1.39,3.54
2,3.1,21.9
3,0.63,2.81
4,0.97,7.75
5,1.11,2.87
6,4.99,18.8
7,1.3,17.74
8,1.95,5.17
9,0.99,4.81
10,1.1,10.76
11,0.84,4.29
12,1.16,4.06
13,1.48,3.49
14,0.99,5.11
15,1.16,2.45
16,2.63,0.53
17,1,6.15
18,2.36,19.93
19,0.64,4.12
20,1.06,10.76
21,0.95,5.84
22,1.15,4.47
23,0.95,12.21
24,1.21,9.73
25,0.98,13.74
26,1.34,9.19
27,1.38,9.66
28,1.05,5.64
29,1.4,2.85
30,0.88,3.79
31,1.05,1.84
32,1.29,3.1
33,1.09,8.94
34,0.74,12.71
35,1.45,5.96
36,0.96,6.3
37,2.72,3.74
38,0.78,23.84
39,1.18,10.98
40,4.25,-3.4
41,1.04,3.42
42,0.91,6.38
43,0.6,7.63
44,1.01,2.41
45,1.92,15.1
46,1.2,1.19
47,1.97,24.45
48,0.87,1.86
49,1.28,1.59
50,0.8,16.89
51,1.3,0.41
52,0.77,3.95
53,2.45,-1.76
54,1.71,20.97
55,0.98,14.66
56,1.27,3.47
57,0.79,33.89
58,0.67,26.06
59,1.38,-0.06
60,0.83,6.18
61,1.11,5.6
62,1.15,5.28
63,0.71,4.81
64,0.94,3.45
65,2.43,16.98
66,0.88,8.18
67,0.93,7.48
68,1.17,31.8
69,1.12,6.35
70,13.87,5.25
71,1.84,9.13
72,1.25,10.63
73,0.69,3.97
74,1.36,24.22
75,0.79,1.6
76,1.19,2.29
77,1.12,3.53
78,0.96,1.17
79,0.99,4.57
80,1.43,15.59
81,1.28,23.43
82,1.37,1.82
83,1.3,2.28
84,1.33,18.9
85,2.06,3.9
86,0.78,3.47
87,1.08,4.52
88,0.7,5.97
89,0.96,2.6
90,0.92,9.35
91,1.23,4.21
92,1.44,4.77
93,1.28,16.74
94,1.48,10.48
95,1.17,7.85
96,5.16,19.83
97,1.74,5.52
98,1.44,6.49
99,0.7,1.27
100,1.08,4.49
101,1.74,7.35
102,0.82,3
