designation,ra,dec,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper
Gaia DR3 5516345223493485952,124.12809430811842,-46.686079025568866,43.48066310471772,0.05911103,440.00296,386.66945671146243,209.9746118852422,0.98956734,17.138054,17.793264,16.376411,,,,,,,,,,,,
Gaia DR3 1991767757560462976,347.9779534947808,50.53791918726962,43.4808984740822,0.019531704,659.2306,651.4497841173954,100.98589547562845,1.1501368,14.03791,15.964009,12.73621,3024.5808,3024.3452,3024.8333,5.0629,5.0625,5.0633,-0.1433,-0.1444,-0.1418,22.9176,22.9055,22.9296
Gaia DR3 5143341362661301632,33.942106109711126,-18.23869646522409,43.481417176015185,0.026377968,128.93085,-33.20349383065669,-124.58205923114278,1.0941306,8.106536,8.589049,7.3971095,4740.9375,4739.605,4742.39,4.5479,4.5464,4.55,-0.1883,-0.1955,-0.1812,22.9682,22.8785,22.9908
Gaia DR3 834571523535693184,157.01736219007225,48.782002086829245,43.482236122087144,0.045152206,899.9549,83.78793938720258,-896.0459899125882,1.0309265,11.717768,11.793282,10.171521,,,,,,,,,,,,
Gaia DR3 4177224620176470912,270.1215640302489,-3.6904755879023337,43.48225068697341,0.13235651,161.32991,154.65990060049262,-45.90918300390196,0.848986,4.5056276,4.714032,4.16821,6662.025,6660.255,6663.6016,4.0024,4.0008,4.0057,-0.4724,-0.4758,-0.4654,22.9158,22.8113,22.9618
Gaia DR3 580925323563533056,137.41277336338547,6.7032726606498425,43.48273743250087,0.021833368,91.36142,-76.4546847764397,50.01590542305522,1.0009044,12.081347,13.529131,10.900247,,,,,,,,,,,,
Gaia DR3 4741518516098734592,37.930165685888774,-54.541010924964915,43.48595356165119,0.01999304,175.73376,-15.685560837311897,-175.03233730791084,1.4321563,12.714962,14.213691,11.517471,,,,,,,,,,,,
Gaia DR3 2124772479414763904,272.59737391878093,51.26527065159342,43.487462484656476,0.01306485,162.18925,54.562416389625774,152.73603285879372,0.98200107,11.466016,12.603583,10.4067,3280.8218,3279.3452,3293.1426,4.1425,4.1359,4.2067,-1.1637,-1.1724,-1.0932,23.0005,22.9236,23.0148
Gaia DR3 3715722687629983104,200.39455120023925,3.7651497549407282,43.4912732384708,0.034568608,519.36676,-517.6136686275502,-42.63742419099401,1.4851159,11.0030365,12.161014,9.929051,,,,,,,,,,,,
Gaia DR3 834571523536798848,157.01673061654515,48.780986968095704,43.49441787080643,0.038626797,884.44904,81.79831470043351,-880.658357833779,0.93805134,6.277527,6.5874543,5.7958035,5701.18,5699.7905,5702.4385,4.3133,4.3123,4.3144,-0.7814,-0.7989,-0.7686,22.9529,22.908,22.9794
Gaia DR3 3860610076465867520,156.35919904709547,5.210601996479496,43.49550891184111,0.058105167,234.39748,-228.42174456695446,-52.58974104673895,1.0153608,15.494612,18.055021,14.067472,,,,,,,,,,,,
Gaia DR3 884951489919636352,107.01686029829149,29.8331889109007,43.504905585297074,0.026109004,333.0689,-156.40895093374195,-294.05974962336535,1.0319707,8.056618,8.532945,7.4159985,4850.3135,4849.0356,4851.4717,4.5609,4.5599,4.5619,-0.374,-0.3807,-0.3674,22.972,22.9566,22.9882
Gaia DR3 5930568602785283072,248.95175852133778,-53.751853850021625,43.506402116520725,0.030776411,281.56302,-137.76160367062823,-245.55950969116262,1.1344671,14.234839,16.19565,12.922524,3011.3135,3009.8308,3012.3252,5.0741,5.0601,5.0873,-0.2288,-0.2706,-0.2114,22.944,22.8667,23.0974
Gaia DR3 5512265038913877248,111.39698802094678,-42.64843672627597,43.50879807969267,0.039056737,281.5064,-247.3081506915134,134.4787645615865,3.2613075,12.361734,13.864131,11.16493,,,,,,,,,,,,
Gaia DR3 2373841073178592512,8.35085951583238,-15.358471187069451,43.508933462717096,0.80952126,303.1747,302.12938639606415,25.154168874379067,1.1622541,20.278069,21.682774,18.790785,,,,,,,,,,,,
Gaia DR3 635964431813070848,138.51257175913005,19.66755998379797,43.51486642525858,0.047027282,217.28497,-146.55689707156012,-160.4176988621614,1.7891237,11.147005,12.412503,9.969009,3177.4294,3175.1504,3189.2327,4.0208,3.9991,4.028,-0.8011,-0.8095,-0.7695,23.1716,22.9935,24.4614
Gaia DR3 4663226523630904064,70.39688189351463,-65.09331047478877,43.51537539132285,0.01958675,100.62836,96.21372074615654,29.47858169719547,1.3142759,11.925454,13.281352,10.769787,,,,,,,,,,,,
Gaia DR3 1407397599636558592,252.01920476337241,45.37874151815189,43.515870809935016,0.016961223,45.755646,36.025658202596006,28.208703313352927,1.1188501,12.318982,13.9405575,11.086431,,,,,,,,,,,,
Gaia DR3 2501776500974951168,39.375907368085365,0.356866570153772,43.51742325189049,0.021649346,530.4942,502.6764337164533,-169.5301680589995,1.3060855,13.600848,15.365736,12.339187,3094.8472,3094.5278,3095.16,5.0327,5.0324,5.033,-0.1253,-0.1266,-0.1242,22.8837,22.8704,22.8975
Gaia DR3 1641189157936120704,237.77514310505856,64.95136235115004,43.52019600409868,0.091446765,227.18196,-226.97311819509014,9.738778375207552,0.97004735,17.380127,20.670452,15.8329735,,,,,,,,,,,,
Gaia DR3 1658057762250899584,211.94421356596527,57.19674056757806,43.52091483071722,0.020730399,706.2174,-683.4050730620218,178.0464853024432,1.3521156,12.827663,14.443755,11.599254,,,,,,,,,,,,
