HR,Name,HD,HD_Suffix,V,B_V,SpType
HR 2061,58Alp Ori,HD 39801,\N,0.50,1.85,M1-2Ia-Iab
HR 6134,21Alp Sco,HD 148478,\N,0.96,1.83,M1.5Iab-Ib+B4Ve
HR 6693,\N,HD 163755,\N,5.16,1.77,M1Ib
HR 8775,53Bet Peg,HD 217906,\N,2.42,1.67,M2.5II-III
HR 3634,Lam Vel,HD 78647,\N,2.21,1.66,K4.5Ib-II
HR 911,92Alp Cet,HD 18884,\N,2.53,1.64,M1.5IIIa
HR 2773,Pi  Pup,HD 56855,\N,2.70,1.62,K3Ib
HR 6285,Zet Ara,HD 152786,\N,3.13,1.60,K3III
HR 8636,Bet Gru,HD 214952,\N,2.10,1.60,M5III
HR 4763,Gam Cru,HD 108903,\N,1.63,1.59,M3.5III
HR 337,43Bet And,HD 6860,\N,2.06,1.58,M0+IIIa
HR 5133,\N,HD 118741,\N,6.48,1.55,M2II-III+K3III:
HR 1457,87Alp Tau,HD 29139,\N,0.85,1.54,K5+III
HR 8308,8Eps Peg,HD 206778,\N,2.39,1.53,K2Ib
HR 6705,33Gam Dra,HD 164058,\N,2.23,1.52,K5III
HR 5563,7Bet UMi,HD 131873,\N,2.08,1.47,K4-III
HR 3748,30Alp Hya,HD 81797,\N,1.98,1.44,K3II-III
HR 6217,Alp TrA,HD 150798,\N,1.92,1.44,K2IIb-IIIa
HR 6406,64Alp1Her,HD 156014,\N,3.48,1.44,M5Ib-II
HR 4652,\N,HD 106321,\N,5.31,1.43,K3III
HR 681,68Omi Cet,HD 14386,\N,3.04,1.42,M7IIIe+Bep
HR 4122,\N,HD 91106,\N,6.20,1.38,K5III+F6V
HR 603,57Gam1And,HD 12533,\N,2.26,1.37,K3-IIb
HR 3307,Eps Car,HD 71129,\N,1.86,1.28,K3III+B2:V
HR 5340,16Alp Boo,HD 124897,\N,-0.04,1.23,K1.5IIIFe-0.5
HR 6223,18    Dra,HD 151101,\N,4.83,1.22,K0III*
HR 4193,35    Sex,HD 92841,\N,5.79,1.17,K3III+K0III
HR 5089,\N,HD 117440,\N,3.88,1.17,G9Ib*
HR 4057,41Gam1Leo,HD 89484,\N,2.61,1.15,K1-IIIbFe-0.5
HR 617,13Alp Ari,HD 12929,\N,2.00,1.15,K2-IIICa-1
HR 6658,\N,HD 162587,\N,5.60,1.14,K3III
HR 7417,6Bet1Cyg,HD 183912,\N,3.08,1.13,K3II+B9.5V
HR 441,\N,HD 9377,\N,5.82,1.08,K0III
HR 8166,\N,HD 203358,\N,5.68,1.08,G8IV
HR 2834,\N,HD 58535,\N,5.35,1.07,G8II
HR 4301,50Alp UMa,HD 95689,\N,1.79,1.07,K0IIIa
HR 3532,57    Cnc,HD 75959,\N,5.39,1.05,G7III
HR 1168,\N,HD 23697,\N,6.30,1.04,K1III
HR 188,16Bet Cet,HD 4128,\N,2.04,1.02,G9.5IIICH-1
HR 2982,\N,HD 62264,\N,6.19,1.02,K0III
HR 4469,\N,HD 100893,\N,5.74,1.02,K0III
HR 4870,Iot Oct,HD 111482,\N,5.46,1.02,K0III
HR 3056,\N,HD 63926,\N,6.33,1.01,K0III+A1V
HR 5288,5The Cen,HD 123139,\N,2.06,1.01,K0-IIIb
HR 5450,\N,HD 128266,\N,5.41,1.01,G8III
HR 5787,38Gam Lib,HD 138905,\N,3.91,1.01,G8.5III
HR 258,36    And,HD 5286,\N,5.47,1.00,K1IV
HR 2990,78Bet Gem,HD 62509,\N,1.14,1.00,K0IIIb
HR 5408,\N,HD 126862,\N,5.83,1.00,K1III
HR 6980,\N,HD 171745,\N,5.61,1.00,G9III+G7III
HR 6536,23Bet Dra,HD 159181,\N,2.79,0.98,G2Ib-IIa
HR 719,\N,HD 15328,\N,6.45,0.97,K0III
HR 7808,\N,HD 194433,\N,6.25,0.97,K2IV-V
HR 6130,\N,HD 148374,\N,5.67,0.96,G8III
HR 7075,\N,HD 173949,\N,5.99,0.96,G7IV
HR 8760,\N,HD 217642,\N,6.47,0.94,K1III
HR 4216,Mu  Vel,HD 93497,\N,2.69,0.90,G5III+G2V
HR 4894,35    Com,HD 112033,\N,4.90,0.90,G8III+F6V
HR 322,Bet Phe,HD 6595,\N,3.31,0.89,G8III
HR 2021,\N,HD 39070,\N,5.49,0.88,gG6
HR 3976,\N,HD 87783,\N,5.08,0.88,K1IV+G5V
HR 5460,Alp2Cen,HD 128621,\N,1.33,0.88,K1V
HR 6300,\N,HD 153221,\N,6.00,0.88,G8-K0III+G
HR 7989,\N,HD 198732,\N,6.33,0.88,K0III
HR 5850,\N,HD 140438,\N,6.48,0.86,G5III
HR 6752,70    Oph,HD 165341,\N,4.03,0.86,K0V
HR 8872,34Omi Cep,HD 219916,\N,4.75,0.84,K0III
HR 5520,\N,HD 130458,\N,5.60,0.82,G7IIIa+F9IV
HR 8010,\N,HD 199223,\N,6.05,0.82,G6III-IV
HR 1311,47    Tau,HD 26722,\N,4.84,0.80,G5III+A7V?
HR 1708,13Alp Aur,HD 34029,\N,0.08,0.80,G5IIIe+G0III
HR 8480,41    Aqr,HD 210960,\N,5.32,0.80,K0III+F2V
HR 8819,33Pi  Cep,HD 218658,\N,4.41,0.80,G2III
HR 3251,\N,HD 69445,\N,6.21,0.78,G5-8III+G:
HR 642,6    Tri,HD 13480,\N,4.94,0.78,G5III+F5V
HR 8696,\N,HD 216380,\N,5.60,0.78,G8III-IV+G2IV
HR 5544,37Xi  Boo,HD 131156,\N,4.55,0.76,G8Ve+K4Ve
HR 9077,\N,HD 224750,\N,6.29,0.76,G3IV
HR 3725,\N,HD 81025,\N,6.31,0.75,G2III
HR 8280,Lam Oct,HD 206240,\N,5.29,0.75,G8-K0III
HR 159,\N,HD 3443,\N,5.57,0.72,G8V
HR 1669,\N,HD 33203,\N,6.02,0.72,K3:+B2II:
HR 2162,\N,HD 41824,\N,6.58,0.72,G6V
HR 5459,Alp1Cen,HD 128620,\N,-0.01,0.71,G2V
HR 1504,\N,HD 30003,\N,6.53,0.68,G5V
HR 2693,25Del CMa,HD 54605,\N,1.84,0.68,F8Ia
HR 1771,\N,HD 35162,\N,5.06,0.67,G7II-III+A7IV-V
