HD,HD_Suffix,V,B_V,SpType
\N,B,6.8,5.43,"C6,5e"
\N,C,6.69,1.28,K1III
HD 131156,B B,6.97,1.17,K4V
HD 120476,B,7.04,1.12,K4V+K6V
HD 196673,B,6.98,1.12,K0IIb*
HD 223070,B,7.02,1.04,K0III
HD 91593,C,6.68,0.99,A1V
HD 139341,B,6.77,0.91,K2V+K3V
HD 9733,C,6.91,0.90,G8IV
HD 212989,B,7.08,0.90,K0V
HD 148653,B,7.02,0.84,K3V+K3V
HD 62351,B,6.54,0.81,G5III
HD 146059,C,6.39,0.80,G6IV+G2V
HD 145958,B,6.68,0.76,G8V+K0
HD 97561,B,6.93,0.75,G5III
HD 117846,B,6.81,0.75,G8III
HD 52694,B,6.59,0.73,F8
HD 17332,B,6.87,0.69,G0
HD 134066,B,6.72,0.67,G5V+G5V
HD 105590,B,6.56,0.66,G2V
HD 46780,B,6.89,0.65,dG2
HD 215812,B,6.66,0.65,G5V
HD 103493,C,6.7,0.64,G4/5IV/V
HD 3074,C,6.41,0.62,G3IV
HD 25535,C,6.74,0.62,G1/2V
HD 1317,B,6.66,0.60,dG1
HD 220334,B,6.62,0.60,G2V
HD 130940,C,6.98,0.58,G0V
HD 180702,C,6.94,0.58,G1V
HD 62522,B,7.02,0.57,F9V+F9V
HD 216655,C,7.03,0.57,G3/6
HD 14882,C,6.95,0.56,G1V
HD 27691,B,7.0,0.56,F8IV
HD 136176,B,6.58,0.56,G0V
HD 221839,ABC,6.64,0.56,F7V+G3V
HD 177166,B,7.03,0.55,F7V+F8V
HD 8224,C,7.0,0.54,F7V
HD 124757,B,7.05,0.54,dF7
HD 58038,C,7.09,0.51,F8
HD 104747,C,6.52,0.51,F9V+G1V
HD 140164,B,7.07,0.51,F7IV
HD 152113,B,6.66,0.49,F6IV*
HD 192679,B,7.02,0.49,F4s+K2
HD 6334,C,6.83,0.47,F5V
HD 152380,B,6.66,0.47,F4V+G3V
HD 5659,B,7.08,0.46,dF6+dF7
HD 155536,C,6.75,0.46,F5V
HD 1641,B,6.85,0.45,F5
HD 112361,ABC,6.75,0.45,F5IV/V
HD 223718,B,6.96,0.45,F5s
HD 6918,B,6.86,0.44,F5
HD 53367,B,6.96,0.44,B0IVe
HD 189783,B,6.98,0.44,F5V+F7V
HD 71805,ABC,6.5,0.42,F6V+F7V
HD 101727,C,6.93,0.42,F3V
HD 119191,C,6.67,0.42,F0/3+F/G:
HD 17505,B,7.07,0.40,O6f
HD 27028,B,7.1,0.40,F5V
HD 155099,C,6.85,0.38,F4IV-V
HD 124587,/8B,6.8,0.34,F0+A2
HD 6869,C,6.89,0.29,A9V
HD 154873,C,6.69,0.29,B1Ib
\N,C,6.8,0.27,B8Iab
HD 761,B,6.81,0.25,A7Vn+F2V
HD 8487,C,6.65,0.24,A7Vn
HD 118349,B C,6.72,0.24,A7IV-V
HD 216285,B,6.93,0.22,A7IV-V
HD 124314,C,6.64,0.21,O8nke
HD 183794,B,6.92,0.18,B8V
HD 49294,B,7.0,0.16,A2
HD 31306,B,6.94,0.15,A0
HD 109808,C,6.95,0.15,A1/2V
HD 190429,B,6.63,0.15,O9.5IIIe
HD 58510,B,6.8,0.12,B1Iab
HD 126366,B,6.98,0.12,A4V
HD 195481,ABB,6.85,0.12,A3V
HD 73871,B,6.73,0.10,A0III
HD 114886,C,6.89,0.09,O9II-III
HD 208744,B,6.89,0.09,A0V
HD 16694,ABB,7.04,0.06,A0V
HD 216227,B,7.01,0.06,B6Vn
HD 1223,B,6.99,0.05,A2V
HD 25833,B,6.69,0.04,B4V+B5V
HD 101205,C,6.47,0.04,O7N
HD 7471,B,6.65,0.03,A0
HD 92467,C,6.99,0.03,B9Vn
HD 44496,B,6.91,0.02,A0
HD 101545,C,6.38,0.02,O9.5*
HD 221237,B,7.08,0.02,A1V
HD 37370,B,6.93,0.01,B6V
HD 43044,B,7.03,0.01,B8V
HD 65663,C,6.77,0.01,B8IIIe
HD 158747,C,7.08,0.01,B9.5III
HD 35673,B,6.53,0.00,B9V
HD 146349,C,6.71,0.00,B9/9.5V
HD 98278,C,6.7,-0.01,B9.5/A0III
HD 57275,ABB,6.9,-0.02,B9
HD 160483,C,6.64,-0.02,B9III
HD 186465,B,6.71,-0.02,A0
HD 48287,B,6.95,-0.03,B9
HD 37115,B,7.07,-0.06,B6Ve
HD 37321,B,7.09,-0.08,B3/4V
HD 41943,ABB,6.94,-0.09,B1V
HD 155896,C,6.75,-0.11,B2/3(V)nne
HD 46288,C,6.68,-0.12,B3IV
HD 199355,B,7.0,-0.12,B5
HD 75126,C,7.09,-0.13,B4V
HD 11944,C,6.44,\N,F2V
HD 57044,B,6.79,\N,F2IV+F0IV
HD 66097,B,7.08,\N,A2
HD 93129,C,7.03,\N,O3If
HD 105113,C,6.48,\N,G0V
HD 131399,C,7.04,\N,A3III
HD 137798,C,6.5,\N,F6IV
HD 141846,C,6.41,\N,F3IV
HD 224782,C,6.5,\N,G0/2IV
