designation,HIP,HD,ra,declination,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,Mg,Mg_error,MRp,MRp_error,Bp_minus_Rp
Gaia DR3 6033173275476639360,\N,\N,254.958,-28.132990187784053,46.97011398650376,3.0388114,45.521267,-45.36387371201684,-3.7821683087572056,1.5482846,20.491726,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,18.850834070625584,0.1406836045520592,\N,\N,\N
Gaia DR3 4287343286679355136,\N,\N,281.33,8.921855881195482,47.4282561983967,2.6060166,15.777396,-13.847940175068224,7.560474395425089,1.8757858,20.335432,20.864882,18.740423,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,18.715617785884703,0.1194350982517225,17.120608785884702,0.11943509825172072,2.124459
Gaia DR3 5873042429232114048,\N,\N,224.26,-64.7271466334219,48.233961721658105,2.2959425,16.030266,-13.553569295462506,-8.559800571681278,1.767716,20.206112,20.962475,18.924103,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,18.62287667195585,0.10344052476444965,17.34086767195585,0.10344052476444965,2.038372
Gaia DR3 4064750765436152576,\N,\N,273.368,-25.776230796976343,48.354172829357104,2.0145042,4.589369,-1.1133741013524814,4.452269568325674,1.8348589,19.57727,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,17.99943979215363,0.09051905018801953,\N,\N,\N
Gaia DR3 6063368716645888384,\N,\N,197.964,-57.054497268403566,48.46897590640712,3.547861,4.593787,4.481627709803927,-1.008906176597198,1.4139876,20.5894,21.284092,19.970758,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,19.01671921838944,0.1592335326688339,18.39807721838944,0.1592335326688339,1.313334
Gaia DR3 5695019333334724992,\N,\N,126.835,-26.046116716512145,48.86275845724665,2.1904414,4.3082027,3.690937387904676,2.2220692248334726,2.6874993,20.290241,20.730242,18.966959,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,18.735130903132365,0.09740901363066001,17.41184890313236,0.09740901363066001,1.763283
Gaia DR3 4041787121483029504,\N,\N,266.312,-34.05907828906606,48.87958101762036,1.4748753,19.39052,13.463999855686138,13.953959459962425,2.8568301,19.689613,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,18.135250372985567,0.06554114082477547,\N,\N,\N
Gaia DR3 1828661426704706048,\N,\N,304.537,20.79553481365697,49.02927207853821,2.9220374,28.125174,-12.42083968276108,-25.233868191560205,2.6472507,20.144213,20.233294,18.636213,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,18.59649022733421,0.12956855748682905,17.088490227334212,0.12956855748682905,1.597081
Gaia DR3 4064744580679707520,\N,\N,273.197,-25.64876505750985,49.07533086498256,1.9353656,24.086662,10.28436892334696,21.78070369259789,1.9270723,19.553776,19.560377,18.094625,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,18.008092181436815,0.08567998737706972,16.548941181436817,0.08567998737706972,1.465752
Gaia DR3 6030025305077131520,\N,\N,256.369,-28.349174145279672,49.21751893479121,3.1160438,8.742724,1.203440212657818,-8.659501100285706,1.3134385,20.504902,20.618538,19.374971,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,18.965500585224028,0.13766369856164395,17.835569585224025,0.13766369856164395,1.243567
