designation,HIP,HD,ra,declination,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,Mg,Mg_error,MRp,MRp_error,Bp_minus_Rp,Plx,e_Plx
Gaia DR3 1429437378934511616,HIP 79796,\N,244.273,55.2671877781025,49.63026344630695,0.4244921,439.84943,87.96992153097975,-430.9626629329256,39.075447,9.078422,10.184421,8.014929,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,7.557154902580787,0.0185732514341641,6.493661902580787,0.0185732514341641,2.169492,48.36,1.16
Gaia DR3 3626268998574790656,HIP 63366,112758,194.753,-9.833210907654898,49.826332493870936,0.3896293,847.2068,-824.4581307025305,195.00806642621944,15.693782,7.3262544,7.7394137,6.734437,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,5.813549008814187,0.0169807103683115,5.221731608814187,0.0169807103683115,1.0049767,47.6,0.86
Gaia DR3 2867175035571212416,HIP 117779,\N,358.285,29.01815175362716,50.228223145721216,0.015265435,80.90682,-78.54896595233234,19.390034523173163,1.0555598,9.145486,9.954945,8.266549,3903.0444,3902.228,3903.8672,4.5279,4.5268,4.529,-0.5138,-0.5207,-0.5074,19.8932,19.8839,19.9035,7.650225074984732,0.0006599570891889,6.771288074984732,0.0006599570891889,1.688396,44.62,3.88
Gaia DR3 3566643651231641600,HIP 54651,97214,167.79,-10.948251409025149,50.30356541670783,0.016585443,1113.3523,-942.338651242426,592.9176363214872,0.93851703,8.79594,9.430354,8.028476,4357.5933,4356.462,4367.6763,4.6564,4.6544,4.673,-0.3376,-0.3433,-0.3138,19.8309,19.8056,19.8475,7.303933840381566,0.0007159499109214,6.5364698403815655,0.0007159499109214,1.401878,47.85,1.26
Gaia DR3 2879203933297161088,HIP 117197,\N,356.458,36.2552613406392,50.39620912643605,0.015825303,349.5482,346.28986480064265,47.615862391700105,1.006571,9.305748,10.111169,8.429687,4050.6604,4050.131,4055.1304,4.6823,4.6813,4.6851,-0.0787,-0.0849,-0.0459,19.8117,19.7986,19.8613,7.81773734716915,0.0006818808509989,6.94167634716915,0.0006818808509989,1.681482,50.78,1.58
Gaia DR3 1954559047126247808,HIP 107346,\N,326.124,41.59764417178175,50.41009379527178,0.013698084,73.59745,-61.18503452366127,40.90203730633991,1.1393597,9.042687,9.847819,8.167549,3912.9346,3911.5623,3913.4373,4.5076,4.5058,4.5082,-0.502,-0.516,-0.5003,19.8271,19.8083,19.8356,7.555274527533054,0.0005900606398818,6.680136527533053,0.0005900606398818,1.68027,49.27,1.43
Gaia DR3 2832827391830929920,HIP 112120,\N,340.667,17.671546295388705,50.465337293092624,0.041062165,1218.0983,1102.4027518701969,518.1424833828972,0.9116612,10.713328,12.002386,9.581546,3214.9697,3213.782,3216.6345,4.0481,4.0429,4.0525,-0.8156,-0.821,-0.8108,19.8743,19.846,19.9566,9.228293901375352,0.0017668638085632,8.09651190137535,0.0017668638085632,2.42084,47.13,2.96
Gaia DR3 5148602083419126016,HIP 10072,\N,32.4029,-14.360618985962684,50.50707059826027,0.02648701,623.305,516.2911268351838,-349.2171364866172,1.2318488,10.745837,12.019789,9.62463,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,9.26259790117346,0.0011387676223737,8.141390901173459,0.0011387676223737,2.395159,50.34,3.34
Gaia DR3 3234412606443085824,HIP 25119,35112,80.6565,2.6024263646259094,50.51711071904607,0.036810786,193.74171,65.9527991406525,-182.1704667190361,1.4407965,7.574898,7.9743586,6.77144,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,6.092090517546135,0.0015823078394916,5.288632517546136,0.0015823078394916,1.2029186,50.24,1.52
Gaia DR3 4364314662596822528,HIP 83405,\N,255.706,-6.068775050811116,50.55127732356725,0.019797415,151.43666,-126.14286547982503,-83.79164227929441,0.92353225,10.055166,11.062869,9.059988,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,8.57382666883078,0.0008504145676662,7.5786486688307795,0.0008504145676657,2.002881,44.29,8.22
