HIP,designation_DR3,designation_DR2,designation_DR1,hipparcos_parallax,hipparcos_parallax_error,simbad_parallax,simbad_parallax_error
HIP 82725,Gaia DR3 5818211845935267200,Gaia DR2 5818211845935267200,\N,203.01,29.27,0.4145,0.0163
HIP 69578,Gaia DR3 5854499504913617408,Gaia DR2 5854499504913617408,Gaia DR1 5854499504913617408,64.68,46.97,0.4453,0.1308
HIP 30365,Gaia DR3 3325820883581121664,Gaia DR2 3325820883581121664,\N,48.08,13.63,0.4925,0.0196
HIP 62387,Gaia DR3 6079724222660224896,Gaia DR2 6079724222660224896,\N,39.48,64.77,0.5448,0.014
HIP 88118,Gaia DR3 5918445387497537664,Gaia DR2 5918445387497537664,\N,45.99,18.45,0.6244,0.0116
HIP 55031,Gaia DR3 5374043508045223168,Gaia DR2 5374043508045223168,\N,43.57,35.81,0.7393,0.0159
HIP 100111,Gaia DR3 1816366928194936704,Gaia DR2 1816366928194936704,Gaia DR1 1816366923886140800,39.57,32.67,0.7616,0.0167
HIP 84084,Gaia DR3 5973163373927322880,Gaia DR2 5973163373927322880,Gaia DR1 5973163369630370432,54.25,56.24,1.0975,0.0232
HIP 30362,Gaia DR3 3325821635196312960,Gaia DR2 3325821635196312960,\N,48.08,13.63,1.133,0.0287
HIP 76362,Gaia DR3 5778418870846853376,Gaia DR2 5778418870846853376,\N,99.9,61.26,1.2442,0.0111
HIP 1692,Gaia DR3 2430036837596487424,Gaia DR2 2430036837596487424,Gaia DR1 2430036833300655104,43.42,33.05,1.2679,0.0273
HIP 67593,Gaia DR3 1251932290465669120,Gaia DR2 1251932290465669120,\N,76.2,107.46,1.4074,0.0215
HIP 84581,Gaia DR3 4359763650828288640,Gaia DR2 4359763650828288640,\N,100.89,43.18,1.4302,0.0175
HIP 50798,Gaia DR3 5365258891181474560,Gaia DR2 5365258891178179200,\N,98.17,79.48,1.4333,0.0367
HIP 98681,Gaia DR3 6667319389917674112,Gaia DR2 6667319389917674112,\N,84.75,11.17,1.6057,0.0149
HIP 116869,Gaia DR3 2771239622391120640,Gaia DR2 2771239622391120640,Gaia DR1 2771239618094431488,44.81,60.22,1.8756,0.0209
HIP 85605,Gaia DR3 4569804490949771520,Gaia DR2 4569804490949771520,\N,202.69,39.48,1.886,0.0111
HIP 15689,Gaia DR3 5161453209685041792,Gaia DR2 5161453209685041792,\N,227.45,61.79,1.9862,0.0315
