designation,HIP,HD,ra,declination,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,Mg,Mg_error,MRp,MRp_error,Bp_minus_Rp,Vmag,RAdeg,DEdeg,RAhms,DEdms,Plx,e_Plx,distance_Plx,pmRA,pmDE,BTmag,VTmag,MV,MV_error,MVt,MVt_error,B_minus_V,BT_minus_VT
Gaia DR3 1542896911520969600,HIP 61722,\N,189.772,47.03921271467097,43.521621325684166,0.0449997,402.45773,384.6679528850013,-118.33338956810591,1.5318718,11.208411,12.467017,10.094098,3204.925,3203.5374,3227.1992,4.0657,4.0571,4.0935,-0.8859,-0.8912,-0.8144,23.1332,23.0006,24.2372,9.401936329553813,0.002245220624415,8.28762332955381,0.0022452206244141,2.372919,12.13,189.76820008,47.04002676,12 39 04.37,+47 02 24.1,39.08,4.64,25.5885,386.77,-121.31,\N,\N,10.089772775233676,0.2590425262401208,\N,\N,\N,\N
Gaia DR3 3558078971047964800,HIP 54966,\N,168.837,-18.14700252027781,43.657783721455765,0.015533775,748.08875,144.0050812277542,-734.0976351259167,1.0445269,9.35671,10.171244,8.47374,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,7.557018425306657,0.0007726266057566,6.6740484253066565,0.0007726266057566,1.697504,9.97,168.83622206,-18.1433214,11 15 20.69,-18 08 36.0,48.47,15.62,20.6313,319.28,-708.04,\N,\N,8.397365098613797,0.7256372442206684,\N,\N,1.34,\N
Gaia DR3 3460347849221303296,HIP 58170,\N,178.958,-38.28168277300529,43.678833029933806,0.022908688,690.65344,624.1210522003835,-295.7618913008721,1.1283365,11.115173,12.191074,10.084187,3582.9517,3540.7686,3621.3643,4.7195,4.4891,4.8033,-0.6634,-1.0272,-0.3982,22.9938,22.745,23.3512,9.316528133896584,0.0011388946324979,8.285542133896584,0.0011388946324979,2.106887,12.01,178.95288715,-38.27964825,11 55 48.69,-38 16 46.7,42.82,2.81,23.3536,620.42,-294.68,\N,\N,10.1682333147921,0.1427047934841594,\N,\N,1.477,\N
Gaia DR3 4536614495522394112,HIP 90265,336196,276.27,24.632584410011688,43.72650236178374,0.012037734,450.4383,-40.121336991527656,-448.64788694032734,0.9840008,10.032018,11.003383,9.057953,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,8.235741699812873,0.0005977978228894,7.261676699812871,0.0005977978228894,1.94543,10.85,276.27008362,24.63566838,18 25 04.82,+24 38 08.4,45.91,1.83,21.7817,-41.47,-447.06,\N,\N,9.159536463830104,0.0866020720675182,\N,\N,1.605,\N
Gaia DR3 2860379125997924480,HIP 1386,\N,4.3382,29.1849048645301,43.77329680116623,0.020379469,812.7976,691.1454063893501,427.7358394739822,1.1716653,10.5981455,11.751639,9.530765,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,8.804191784429,0.001010969268604,7.736811284429001,0.001010969268604,2.220874,11.54,4.33275961,29.18196397,00 17 19.86,+29 10 55.1,42.65,2.77,23.4467,691.13,428.92,\N,\N,9.68959517751771,0.1412299506102456,\N,\N,1.505,\N
Gaia DR3 2367938722962185088,HIP 1608,\N,5.03558,-17.061447997422228,43.78648796421989,0.017930692,142.53143,141.90292777392352,-13.370393462333292,1.1562842,10.84538,11.902071,9.82378,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,9.05208056303222,0.0008892242092981,8.030480563032217,0.0008892242092981,2.078291,11.67,5.03456191,-17.06135622,00 20 08.29,-17 03 40.9,39.31,3.03,25.4388,135.85,-9.45,\N,\N,9.64251521910045,0.1677089382383396,\N,\N,1.49,\N
Gaia DR3 4325701192912743424,HIP 80817,\N,247.552,-14.66473547684592,44.16074947883411,0.15847607,571.321,-526.0645329881082,-222.8536665118112,7.560807,11.2492,12.50309,9.974379,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,9.47438217729229,0.0077926188954435,8.199561177292292,0.0077926188954426,2.528711,12.27,247.55578792,-14.66329215,16 30 13.39,-14 39 47.9,45.35,5.06,22.0507,-494.66,-205.17,\N,\N,10.55288645698057,0.2432985751244309,\N,\N,1.474,\N
Gaia DR3 1322906861255829376,HIP 79551,\N,243.483,33.772960984010666,44.2673512452419,0.15864198,300.69302,-286.96507877317606,-89.81838022886134,9.261864,11.26897,12.50771,10.082348,3199.17,3195.0435,3212.4573,4.1004,4.0425,4.1139,-0.7741,-0.7842,-0.7251,23.3181,22.9283,26.8689,9.49938768285672,0.0077819916403072,8.312765682856721,0.0077819916403072,2.425362,12.23,243.48522252,33.77361984,16 13 56.45,+33 46 25.0,43.82,5.69,22.8206,-263.04,-82.85,\N,\N,10.438361866123431,0.2835653026445337,\N,\N,\N,\N
Gaia DR3 6293916376311538944,HIP 67761,\N,208.222,-18.33855533394416,44.29867601128368,0.032746073,300.80978,-275.53293440453035,-120.69846769669384,1.4010614,10.89259,12.03705,9.826985,3517.5098,3481.0051,3562.6748,4.648,4.5944,4.6712,-0.3537,-0.4325,-0.2675,22.693,22.4674,23.6942,9.124543731613514,0.0016051767997105,8.058938731613512,0.0016051767997122,2.210065,11.79,208.22350293,-18.33772485,13 52 53.64,-18 20 15.8,41.19,3.43,24.2777,-282.82,-122.93,\N,\N,9.863958959782089,0.1812439508044692,\N,\N,1.496,\N
Gaia DR3 2693940725141960192,HIP 107968,\N,328.106,2.387435456368032,44.32554473415862,0.042837746,300.92374,15.32342773420896,-300.5333442073588,0.99581975,12.77675,12.713477,12.93011,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,11.010020407612435,0.0020985870121439,11.163380407612436,0.0020985870121439,-0.216633,12.74,328.10570848,2.38950195,21 52 25.37,+02 23 22.2,39.84,4.47,25.1004,23.0,-302.98,\N,\N,10.741596648758303,0.2446667255421513,\N,\N,-0.011,\N
