designation,HIP,HD,ra,declination,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,Mg,Mg_error,MRp,MRp_error,Bp_minus_Rp,Vmag,RAdeg,DEdeg,RAhms,DEdms,Plx,e_Plx,distance_Plx,pmRA,pmDE,BTmag,VTmag,MV,MV_error,MVt,MVt_error,B_minus_V,BT_minus_VT
Gaia DR3 4177224620176470912,HIP 88175,164259,270.122,-3.6904755879023337,43.48225068697341,0.13235651,161.32991,154.65990060049262,-45.90918300390196,0.848986,4.5056276,4.714032,4.16821,6662.025,6660.255,6663.6016,4.0024,4.0008,4.0057,-0.4724,-0.4758,-0.4654,22.9158,22.8113,22.9618,2.697187677673334,0.0066098095844986,2.3597700776733337,0.0066098095844986,0.545822,4.62,270.12050178,-3.69016112,18 00 28.92,-03 41 24.6,43.11,0.75,23.1965,154.17,-44.43,5.091,4.671,2.79289011426944,0.0377816897651421,2.84389011426944,0.0377816897651421,0.39,0.42
Gaia DR3 884951489919636352,HIP 34414,53927,107.017,29.8331889109007,43.504905585297074,0.026109004,333.0689,-156.40895093374195,-294.0597496233653,1.0319707,8.056618,8.532945,7.4159985,4850.3135,4849.0356,4851.4717,4.5609,4.5599,4.5619,-0.374,-0.3807,-0.3674,22.972,22.9566,22.9882,6.249309152417483,0.0013031861090082,5.608689652417484,0.0013031861090082,1.1169465,8.32,107.01810055,29.83521044,07 08 04.34,+29 50 06.8,44.92,1.43,22.2618,-157.21,-295.43,9.498,8.429,6.582198737947103,0.0691508270379501,6.691198737947103,0.0691508270379501,0.907,1.069
Gaia DR3 863776987616459392,HIP 56199,\N,172.805,63.15764745427431,43.52611461869359,0.013726919,71.362885,66.63715249822174,25.537259788586532,1.1367301,9.399623,10.200419,8.527075,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,7.593372506821621,0.0006848216783303,6.720824506821621,0.0006848216783303,1.673344,9.98,172.80419168,63.15747167,11 31 13.01,+63 09 26.9,42.74,1.3,23.3973,66.52,25.17,11.8,10.134,8.134172589140254,0.0660689089063435,8.288172589140254,0.0660689089063435,1.315,1.666
Gaia DR3 5930568598406530048,HIP 81262,149192,248.959,-53.75810942652147,43.53788416327305,0.02968786,270.1145,-126.53214751089844,-238.64504378912292,1.1340455,8.437798,9.00019,7.6507497,4591.4526,4585.412,4597.2236,4.5921,4.5831,4.6203,0.2233,0.1842,0.2931,22.8274,22.7563,22.9017,6.632134597739569,0.001480696182603,5.845086297739568,0.001480696182603,1.3494403,8.78,248.96033468,-53.75648351,16 35 50.48,-53 45 23.3,44.77,1.4,22.3364,-119.3,-235.95,10.26,8.923,7.034935471917226,0.0679261310059473,7.177935471917227,0.0679261310059473,1.096,1.337
Gaia DR3 596878550087942528,HIP 43557,75767,133.069,8.06187439846827,43.54363698883695,0.04666672,278.7712,151.0954523820362,-234.2723735491977,1.9447471,6.423365,6.737231,5.9356174,5688.012,5687.266,5688.7305,4.3626,4.3619,4.3633,-0.5289,-0.5348,-0.523,22.9346,22.9088,22.9595,4.617988503660404,0.0023272179525632,4.130240903660403,0.0023272179525632,0.8016136,6.57,133.06791878,8.06349265,08 52 16.30,+08 03 48.6,41.42,1.19,24.1429,153.13,-235.45,7.359,6.663,4.65605047278717,0.0624037540729802,4.74905047278717,0.0624037540729802,0.64,0.696
Gaia DR3 851346566283231616,HIP 50125,233719,153.49,52.503346332035726,43.54525680068646,0.01606434,765.5407,87.0910939479686,-760.5706303916512,1.0328377,9.101742,9.753676,8.323083,4267.2485,4265.965,4269.034,4.6083,4.6079,4.6088,-0.4897,-0.4932,-0.4847,22.9533,22.9425,22.9711,7.296446280360788,0.000801080880731,6.517787280360789,0.000801080880731,1.430593,9.53,153.4887477,52.50857488,10 13 57.30,+52 30 30.9,43.8,1.42,22.8311,86.37,-761.3,10.991,9.659,7.737370552520497,0.0704240140864125,7.866370552520498,0.0704240140864125,1.112,1.332
Gaia DR3 114832620743735808,HIP 13081,17382,42.0395,27.068111757001752,43.57040806887107,0.05413001,302.9037,278.46940568310737,-119.18652109895272,2.2394505,7.3799114,7.794708,6.791135,5111.457,5108.0854,5139.6064,4.4809,4.4775,4.5141,-0.2815,-0.2964,-0.146,22.8463,22.2315,22.9344,5.575869537207921,0.0026977457619734,4.987093137207922,0.0026977457619734,1.003573,7.56,42.03737461,27.06894254,02 48 08.97,+27 04 08.2,44.71,1.15,22.3664,264.17,-127.75,8.613,7.652,5.81202334934016,0.0558654482754565,5.904023349340159,0.0558654482754565,0.82,0.961
Gaia DR3 1128210122507896832,HIP 53327,\N,163.602,76.06638564220438,43.58035019643688,0.012356008,455.51196,-432.6488713152799,142.49951826618403,0.9331988,9.054224,9.692552,8.28566,4330.224,4329.1353,4331.2676,4.6222,4.6216,4.6227,-0.4088,-0.4122,-0.4056,22.9334,22.9269,22.9395,7.250677578813351,0.0006156612111136,6.482113578813352,0.0006156612111136,1.406892,9.48,163.61482212,76.06540631,10 54 27.56,+76 03 55.5,44.92,1.04,22.2618,-432.44,141.84,10.893,9.601,7.742198737947103,0.0502835027839347,7.863198737947103,0.0502835027839347,1.097,1.292
Gaia DR3 3265335443260522112,HIP 14954,19994,48.1943,-1.1964050113001996,43.70273455684943,0.13252045,205.44289,193.54884716032865,-68.8884844240555,1.1576803,4.92225,5.2107015,4.4882565,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,3.1247930619452653,0.0065846081666589,2.6907995619452656,0.0065846081666589,0.722445,5.07,48.19301506,-1.19593294,03 12 46.32,-01 11 45.4,44.69,0.75,22.3764,193.43,-69.23,5.754,5.131,3.321051773301797,0.0364456752961768,3.3820517733017965,0.0364456752961768,0.575,0.623
Gaia DR3 708608825759209088,HIP 40671,\N,124.543,30.59716137789001,43.74459810144756,0.019946724,870.3281,-284.0656828162189,-822.6650181194118,0.94852656,8.42755,9.041617,7.6806183,4436.757,4425.703,4452.7344,4.5424,4.5292,4.5545,0.028,-0.1052,0.133,22.8188,22.7395,22.8642,6.632172154268395,0.0009901511434096,5.885240454268396,0.0009901511434096,1.3609987,8.82,124.54571465,30.60281736,08 18 10.97,+30 36 10.1,44.34,1.31,22.553,-281.96,-823.59,10.229,8.953,7.053978443892348,0.0641735894694055,7.186978443892347,0.0641735894694055,1.137,1.276
