designation,HD,HIP,ra,declination,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,Mg,Mg_error,MRp,MRp_error,Bp_minus_Rp
Gaia DR3 295725407616670848,\N,\N,25.0113,27.029430834683616,52.602643633881655,0.1419571,260.93723,60.44094920281866,-253.84075110959552,1.1307958,16.778864,20.50685,15.241408,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15.383901854490771,0.0058600985238879,13.846445854490774,0.0058600985238879,5.265442
Gaia DR3 5185493447310441728,\N,\N,42.8175,-3.888260169302313,86.29320806413826,0.18863557,2162.1318,1112.6624820303157,-1853.859956048992,1.1777321,17.976585,21.664816,16.401794,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,17.656468073805183,0.0047468114508024,16.08167707380518,0.0047468114508006,5.263022
Gaia DR3 2337628932595588608,\N,\N,357.962,-25.62602193516749,49.08117628430175,0.4531272,423.59406,373.99172883507015,198.90228034344463,5.4171886,17.179703,20.699333,15.440065,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15.63427781261996,0.0200480356010874,13.89463981261996,0.0200480356010874,5.259268
Gaia DR3 4588438567346043776,\N,\N,276.534,30.2355402736766,90.08581468837797,0.08324382,2390.483,-2290.7519787691344,-683.2741440174942,1.2332307,15.930876,19.625938,14.3860445,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15.704158052144264,0.0020065502040136,14.159326552144265,0.0020065502040136,5.2398935
Gaia DR3 1237730036208674048,\N,\N,219.861,19.4894642004444,70.55508407142764,0.18136802,1299.3861,-1241.0009447716195,385.1245640388152,0.9241548,17.517,21.173414,15.947535,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,16.759641568454175,0.0055819722145251,15.190176568454174,0.0055819722145251,5.225879
Gaia DR3 3540491079971287552,\N,\N,175.433,-22.53570434625555,52.7072219929593,0.15452275,437.67087,-166.70616452745475,404.6786859988389,1.4382209,17.01614,20.699802,15.474238,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15.625490633633854,0.0063661645768791,14.083588633633854,0.0063661645768791,5.225564
Gaia DR3 6281432246412503424,\N,\N,221.071,-20.332461218632645,58.14266732157678,0.12268644,3507.8975,-2908.634168825205,-1960.915997314847,0.962613,16.627302,20.28971,15.084134,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15.449776756751572,0.0045820157063989,13.90660875675157,0.0045820157063989,5.205576
Gaia DR3 5856405272135505024,\N,\N,188.071,-68.93397159771898,47.24887898567915,0.1005189,238.64235,-216.5241091173967,-100.33684868424687,1.1439247,16.940891,20.588072,15.386967,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15.312848545061428,0.0046196725080633,13.758924545061426,0.0046196725080633,5.201105
Gaia DR3 4736655036868019072,\N,\N,53.5672,-49.89008390582608,112.60996206044992,0.0557216,2409.5244,2360.5922060078024,483.1275044783075,1.004608,15.837138,19.476444,14.289389,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,16.095022060769587,0.0010744868808707,14.547273060769587,0.0010744868808707,5.187055
Gaia DR3 1262763648230973440,\N,\N,225.284,22.83363768365745,93.16551240283296,0.13552776,78.11693,-43.11951859553303,-65.13802373033424,1.6608146,16.509804,20.133026,14.9498825,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,16.35607988446279,0.0031588405576705,14.796158384462792,0.0031588405576714,5.1831435
Gaia DR3 764072693389251456,\N,\N,171.021,38.13480143281759,54.31324998179392,0.1491624,126.01806,125.67975084672298,-9.227767471524963,1.0868863,17.265873,20.874157,15.697709,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15.940401953838812,0.0059636064970858,14.372237953838813,0.0059636064970858,5.176448
Gaia DR3 2331849006126794880,\N,\N,352.841,-27.827134298544284,73.37852499956868,0.07703472,750.7432,90.3750291739081,745.2836667312872,0.9327794,15.870283,19.513872,14.346644,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15.198127888218046,0.0022796701147989,13.674488888218049,0.0022796701147989,5.167228
Gaia DR3 5393446658454453632,\N,\N,162.054,-39.93962594730691,247.21558692230732,0.051197793,1538.5574,-1179.311133843346,-988.1214959595231,1.0446762,14.005882,17.617006,12.46335,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15.971261247556,0.0004497070670224,14.428729247556,0.0004497070670224,5.153656
Gaia DR3 2091177593123254016,\N,\N,278.907,32.994787158699616,175.79296679952537,0.046801604,758.6323,-72.65040524928749,-755.1456226325628,1.0964748,14.850962,18.456402,13.305739,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,16.075969478226366,0.0005781141080802,14.530746478226366,0.0005781141080811,5.150663
Gaia DR3 6265453524968112640,\N,\N,233.733,-14.315148845721597,91.42155251977952,0.111615576,976.3471,-918.8055661272464,-330.22722596645525,0.9412346,15.747602,19.352924,14.206914,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15.55284496099978,0.0026511282897674,14.012156960999782,0.0026511282897674,5.14601
Gaia DR3 5229173470875537664,\N,\N,157.802,-73.38593132540093,53.95491010081913,0.09996145,71.26886,39.23603459792759,-59.49608778002012,1.1053087,17.291594,20.86733,15.725577,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15.951748866286383,0.0040230588585501,14.385731866286385,0.0040230588585501,5.141753
Gaia DR3 3457493517036545280,\N,\N,90.6278,39.1806905535364,85.75744552331717,0.12618959,530.3528,157.56954972507415,-506.4048988395076,0.98187995,17.23265,20.798176,15.660386,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,16.89900918056051,0.0031952608796963,15.326745180560508,0.0031952608796954,5.13779
Gaia DR3 3853943806185777664,\N,\N,147.343,8.108552903956555,59.98227666663914,0.11181907,894.74854,39.03984021418198,-893.8964109166776,1.0098144,16.763603,20.354607,15.219852,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15.653717728340787,0.0040480675315182,14.109966728340789,0.0040480675315182,5.134755
Gaia DR3 5368479017141170304,\N,\N,179.856,-52.78916142373409,105.70523312526174,0.09215584,1076.2394,-1068.4435683430893,-129.30454458944786,1.4272265,16.013762,19.590649,14.458276,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,16.134244441795687,0.0018931315765495,14.57875844179569,0.0018931315765495,5.132373
Gaia DR3 4094032443707053568,\N,\N,273.621,-20.42646223962826,47.59545913510001,0.12923324,443.66687,-155.08033246017308,-415.6806281232362,1.1326805,17.08321,20.661383,15.530215,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15.471037603241191,0.0058960898749287,13.918042603241188,0.0058960898749287,5.131168
Gaia DR3 2340736324254735488,\N,\N,1.17639,-20.97458771835872,66.48052358071891,0.13660108,763.13354,758.3599683562992,85.2229368170899,1.3434169,16.850798,20.419176,15.292363,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15.964270155814813,0.0044618465349941,14.405835155814811,0.0044618465349941,5.126813
Gaia DR3 4159791176135290752,\N,\N,277.826,-7.541015588057071,53.48198490857519,0.39815444,204.85242,136.40013478418487,-152.83819950396693,4.256489,17.313625,20.692974,15.568857,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15.954662585586652,0.0161661418454999,14.209894585586657,0.0161661418454999,5.124117
Gaia DR3 3299496547982121216,\N,\N,66.7796,8.984101778668181,46.52816828051565,0.14243892,128.94057,-128.87341066640536,4.161092059448701,0.9746874,17.380714,20.9418,15.825673,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15.719293777890606,0.006647653722509,14.164252777890605,0.006647653722509,5.116127
Gaia DR3 5182151481717042944,\N,\N,50.1172,-4.779112038736704,47.60206313432237,0.4977525,573.1752,-229.0592615018942,-525.4156979880195,3.0706794,17.878933,21.40835,16.29392,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,16.26706188003464,0.0227068985078755,14.68204888003464,0.0227068985078746,5.11443
Gaia DR3 6439125097427143808,\N,\N,281.298,-63.96056736658412,249.6651458904217,0.1330301,2649.3784,2583.1897859953274,588.5041381022022,1.2620903,14.005345,17.564142,12.451222,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15.9921345879282,0.0011570346276936,14.438011587928202,0.0011570346276936,5.11292
Gaia DR3 1798588409277193984,\N,\N,321.74,25.51561526080561,55.26415268339536,0.08945207,661.49243,-120.87053574920536,-650.3556898615252,0.87805116,17.00163,20.557081,15.445663,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15.713847578773144,0.003514807740343,14.157880578773144,0.003514807740343,5.111418
Gaia DR3 16386404041502592,\N,\N,52.1468,11.49883134759245,56.05904876495192,0.14928058,599.9717,542.1736662310108,256.9313211550528,0.90899175,16.841425,20.399136,15.298224,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15.58465362091751,0.0057824639216699,14.04145262091751,0.0057824639216699,5.100912
Gaia DR3 6412596012146801152,\N,\N,331.076,-56.79381206688221,270.6580324694526,0.6895573,4684.1646,3981.97666296105,-2466.8318147663504,4.2955413,18.030664,21.142073,16.060108,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,20.19276860209004,0.0055322869148302,18.222212602090035,0.0055322869148302,5.081965
Gaia DR3 4308488780772030336,\N,\N,291.379,9.638733171840723,58.9119588230452,0.18974207,255.76129,80.18554884439091,-242.86644936398164,2.745285,15.6827,19.175337,14.094411,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,14.533717316353233,0.0069938447617232,12.945428316353231,0.0069938447617232,5.080926
Gaia DR3 4250327781042868224,\N,\N,302.648,6.575968154450815,61.84896259791584,0.14512962,213.72447,44.99306735354399,-208.9348551146525,1.0845536,17.116207,20.64141,15.563009,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,16.07286909769319,0.0050954054976628,14.519671097693193,0.0050954054976646,5.078401
Gaia DR3 5047423236725995136,\N,\N,46.5474,-36.800989381416464,75.41841248498032,0.057961263,691.03424,-172.16539079472486,-669.243912200385,1.0157799,15.993678,19.533905,14.460168,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15.38106493256034,0.0016688405928695,13.84755493256034,0.0016688405928695,5.073737
Gaia DR3 1078021436789455872,\N,\N,154.995,73.40242090681018,46.23961056502287,0.10052633,517.70166,517.6013805918905,10.190709036252198,0.988861,17.29366,20.813883,15.747477,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15.618730838765018,0.0047208549827306,14.072547838765018,0.0047208549827306,5.066406
Gaia DR3 3136033356873855488,\N,\N,110.505,2.7306786093375863,47.50508220222866,0.13820095,286.85495,-146.4469429511296,-246.65574172560136,1.0958128,16.981415,20.49723,15.431963,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15.36511536963122,0.0063172271807836,13.81566336963122,0.0063172271807836,5.065267
Gaia DR3 4825880783419986432,\N,\N,79.4095,-33.81899817796615,59.47023244606559,0.0779455,555.541,445.8375811296844,-331.4432675271747,1.1758575,16.483751,20.001947,14.941921,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15.355249179956148,0.0028460726089827,13.813419179956146,0.0028460726089827,5.060026
Gaia DR3 4860376345833699840,\N,\N,54.8986,-35.42759363988114,155.59821311519502,0.052201733,409.7244,309.00102372476846,269.0584321754762,0.9987006,15.439572,18.944666,13.887415,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,16.399595026293202,0.0007285085408241,14.847438026293204,0.0007285085408232,5.057251
Gaia DR3 5116817882319879936,\N,\N,35.6976,-27.543678343009617,58.77577790167095,0.105703205,234.98788,-194.0975753435865,-132.45920359793746,0.93191063,16.301922,19.827154,14.775632,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15.147913928769444,0.0039052114477673,13.621623928769443,0.0039052114477673,5.051522
Gaia DR3 2769753357547997440,\N,\N,357.454,12.409806348817732,44.4428718417063,0.13660464,197.48083,32.79227706742965,-194.73916899868723,1.2579806,16.914928,20.429039,15.380457,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15.153938573656037,0.0066745043390117,13.619467573656037,0.0066745043390117,5.048582
Gaia DR3 2018474482692940288,\N,\N,293.365,21.832564038451657,47.7931589315722,0.11492324,198.4412,-14.623692417567872,-197.90163011810537,1.0254467,17.512749,21.000492,15.960985,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15.909577682757853,0.0052215239885935,14.357813682757854,0.0052215239885935,5.039507
