designation,HD,HIP,ra,declination,parallax,parallax_error,pm,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,logg_gspphot,logg_gspphot_lower,logg_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,distance_gspphot,distance_gspphot_lower,distance_gspphot_upper,Mg,Mg_error,MRp,MRp_error,Bp_minus_Rp
Gaia DR3 1828661426704706048,\N,\N,304.537,20.79553481365697,49.02927207853821,2.9220374,28.125174,-12.42083968276108,-25.233868191560205,2.6472507,20.144213,20.233294,18.636213,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,18.59649022733421,0.129568557486829,17.088490227334212,0.129568557486829,1.597081
Gaia DR3 4110629262522399872,\N,\N,263.066,-23.78783927248571,44.93227836965273,2.6469233,27.352625,-24.70683015235385,11.736209813936652,1.5033593,20.365057,20.885363,19.310448,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,18.627849204058023,0.12806792259153,17.573240204058024,0.12806792259153,1.574915
Gaia DR3 5224999346778496128,\N,\N,176.875,-74.96043554292945,50.081745488051965,0.061554786,1724.8866,-1067.841439844291,1354.602749264821,0.9119256,17.154837,17.908756,16.337513,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15.653234284180684,0.0026689282786982,14.835910284180684,0.0026689282786982,1.571243
Gaia DR3 5601266725623628416,\N,\N,119.809,-26.624981999901944,45.94101310548104,2.2736187,11.208534,-10.310220398855996,4.39665715297006,2.2290556,20.405987,20.602186,19.031914,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,18.71698984080664,0.1075539396482305,17.34291684080664,0.1075539396482305,1.570272
Gaia DR3 4119728649019876224,\N,\N,265.913,-20.007030363242173,49.59027305921688,2.2668273,30.648838,-27.260427110229216,14.00786760997164,1.2034947,20.238098,20.646933,19.079865,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,18.71508049827997,0.0993296743594243,17.556847498279975,0.099329674359426,1.567068
Gaia DR3 6085402414245451520,\N,\N,198.221,-47.46913587775489,59.58271274566934,0.07882713,2166.4707,-2165.616646052235,-60.82260931520646,1.0545412,16.69044,17.417852,15.870146,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15.56604136177134,0.0028728305559626,14.74574736177134,0.0028728305559626,1.547706
Gaia DR3 2891185070986964608,\N,\N,90.0782,-31.028921246422936,54.027330187326434,0.09924708,577.07983,-440.2066413462033,373.1477478865252,3.8794665,8.51837,8.818865,7.281816,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,7.181437534941964,0.0039889540647886,5.944883534941962,0.0039889540647886,1.537049
Gaia DR3 5828778324488166400,\N,\N,246.564,-62.169620549683216,46.30601443139908,2.7727454,16.944023,16.046030441520298,-5.442869726144247,1.7168595,20.612871,20.419905,18.88776,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,18.94105801391587,0.1301807482378976,17.215947013915873,0.1301807482378976,1.532145
Gaia DR3 6357629089412187648,\N,\N,337.647,-75.26487529214928,66.50946818877851,0.037933405,1873.1884,409.51345499223896,-1827.8767274186848,0.95733833,16.443058,17.160511,15.63285,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,15.55747537609736,0.0012384906018851,14.74726737609736,0.0012384906018851,1.527661
Gaia DR3 1237090738916392832,131156B,\N,222.847,19.10110410794757,148.17931678941665,0.054625016,225.68721,133.37604517724114,-182.0591844077652,1.5099552,6.4300914,7.133002,5.615121,4244.478,4242.5444,4246.52,4.6362,4.6315,4.6402,0.1444,0.1346,0.1581,6.7397,6.7345,6.7454,7.284029340244161,0.0008004944485957,6.469058940244161,0.0008004944485957,1.517881
