HIP,HD,designation,Vmag,RAdeg,DEdeg,RAhms,DEdms,Plx,e_Plx,distance_Plx,pmRA,pmDE,BTmag,VTmag,MV,MV_error,MVt,MVt_error,B_minus_V,BT_minus_VT
HIP 27080,39194,\N,8.09,86.13520683,-70.14658241,05 44 32.45,-70 08 47.7,39.08,0.75,25.5885,-309.03,1239.15,\N,\N,6.049772775233677,0.041678717887439376,\N,\N,0.76,\N
HIP 114716,\N,\N,11.99,348.56592592,-56.84719808,23 14 15.82,-56 50 49.9,39.09,2.81,25.582,-414.28,-256.42,\N,\N,9.950328352161236,0.1563668614455942,\N,\N,1.48,\N
HIP 40167,68255,\N,4.67,123.05295353,17.64813756,08 12 12.71,+17 38 53.3,39.11,1.38,25.5689,28.29,-150.94,\N,\N,2.631439079760653,0.07665242891854485,\N,\N,0.531,\N
HIP 64113,\N,\N,11.83,197.10337951,16.97198984,13 08 24.81,+16 58 19.2,39.12,4.13,25.5624,-104.38,-36.79,\N,\N,9.79199423057782,0.23010542329481698,\N,\N,1.575,\N
HIP 51473,\N,\N,11.22,157.71278776,-35.77760747,10 30 51.07,-35 46 39.4,39.16,2.17,25.5363,-334.06,14.81,\N,\N,9.1842134156555,0.12045268491578476,\N,\N,1.446,\N
HIP 16209,\N,\N,11.1,52.21798939,37.38503584,03 28 52.32,+37 23 06.1,39.19,2.52,25.5167,1120.24,-1065.81,\N,\N,9.065876317390517,0.13982319971307078,\N,\N,1.314,\N
HIP 897,\N,\N,10.86,2.76858844,-5.78399441,00 11 04.46,-05 47 02.4,39.19,2.29,25.5167,255.86,10.17,\N,\N,8.825876317390513,0.12703095389485775,\N,\N,1.418,\N
HIP 10312,\N,\N,11.1,33.2112883,-17.68721593,02 12 50.71,-17 41 14.0,39.26,2.63,25.4712,494.4,202.92,\N,\N,9.06975147631994,0.14568360424168603,\N,\N,1.455,\N
HIP 36853,\N,\N,11.53,113.6625046,22.33786439,07 34 39.00,+22 20 16.3,39.31,3.31,25.4388,169.85,-95.24,\N,\N,9.502515219100449,0.1832773615272396,\N,\N,1.498,\N
HIP 80468,\N,\N,11.87,246.37191811,43.72996989,16 25 29.26,+43 43 47.9,39.35,18.4,25.413,-100.09,119.86,\N,\N,9.84472368347542,1.1009199031546704,\N,\N,\N,\N
HIP 117697,\N,\N,11.69,358.04445748,-19.65459561,23 52 10.67,-19 39 16.5,39.4,3.4,25.3807,-202.14,56.65,\N,\N,9.667481109127872,0.1878531706147113,\N,\N,1.474,\N
HIP 90306,\N,\N,11.28,276.38327301,38.35532929,18 25 31.99,+38 21 19.2,39.4,1.79,25.3807,-76.81,-743.33,\N,\N,9.257481109127871,0.0987211463350457,\N,\N,1.442,\N
HIP 18180,\N,\N,12.13,58.33331726,-37.06378375,03 53 20.00,-37 03 49.6,39.48,2.69,25.3293,-408.8,-1084.85,\N,\N,10.111885719987995,0.1481845329593412,\N,\N,1.45,\N
HIP 62387,\N,\N,12.53,191.79002178,-49.47230003,12 47 09.61,-49 28 20.3,39.48,64.77,25.3293,-13.46,12.45,\N,\N,10.511885719987998,\N,\N,\N,\N,\N
HIP 4328,\N,\N,12.38,13.85453209,-51.83348668,00 55 25.09,-51 50 00.6,39.56,3.38,25.2781,336.08,348.96,\N,\N,10.366281414625709,0.18598369394108705,\N,\N,1.47,\N
HIP 51928,\N,\N,11.98,159.11904377,-28.45424333,10 36 28.57,-28 27 15.3,39.56,3.14,25.2781,-222.0,-6.61,\N,\N,9.96628141462571,0.17271983391530732,\N,\N,1.464,\N
HIP 100111,351880,\N,11.54,304.62751329,19.03105653,20 18 30.60,+19 01 51.8,39.57,32.67,25.2717,-10.01,7.42,\N,\N,9.52683025133014,2.549821616420484,\N,\N,0.448,\N
HIP 34950,55458,\N,8.4,108.47238707,25.01159218,07 13 53.37,+25 00 41.7,39.72,1.29,25.1762,-408.33,-88.88,\N,\N,6.395046199116719,0.0705484620578396,\N,\N,0.827,\N
HIP 48509,\N,\N,12.02,148.39169496,50.75104725,09 53 34.01,+50 45 03.8,39.75,3.27,25.1572,-529.46,18.73,\N,\N,10.016685664962443,0.17903894098766227,\N,\N,1.51,\N
HIP 106972,\N,\N,11.62,324.97580829,27.61262152,21 39 54.19,+27 36 45.4,39.78,3.7,25.1383,280.77,-230.38,\N,\N,9.618323893942089,0.2025575163608817,\N,\N,1.515,\N
HIP 54513,\N,\N,11.22,167.30181297,-4.60671132,11 09 12.44,-04 36 24.2,39.87,2.45,25.0815,-331.11,-104.93,\N,\N,9.223231178311972,0.13360468965784644,\N,\N,1.446,\N
HIP 21492,\N,\N,12.35,69.24295431,59.36696523,04 36 58.31,+59 22 01.1,39.88,5.06,25.0752,124.2,-139.2,\N,\N,10.353775748198093,0.2770107532544941,\N,\N,\N,\N
