HIP,HD,BD,CoD,CPD,B_minus_V,BT_minus_VT,MV,MVt,SpType
HIP 49669,87901,B+12 2149,\N,\N,-0.087,-0.039,-0.5191053712598865,-0.48010537125988684,B7V
HIP 62956,112185,B+56 1627,\N,\N,-0.022,0.049,-0.2134747692944518,-0.2094747692944514,A0p
HIP 91262,172167,B+38 3238,\N,\N,-0.001,\N,0.581769913320012,\N,A0Vvar
HIP 32349,48915,B-16 1591,\N,\N,0.009,\N,1.4543989071428474,\N,A0m...
HIP 93747,177724,B+13 3899,\N,\N,0.014,0.033,0.9553221582935888,0.9563221582935881,A0Vn
HIP 76267,139006,B+27 2512,\N,\N,0.032,0.035,0.4199212402079437,0.41692124020794363,A0V
HIP 53910,95418,B+57 1302,\N,\N,0.033,0.036,0.4076235142682627,0.41662351426826305,A1V
HIP 36850,60179,B+32 1581,\N,\N,0.034,\N,0.5859891722957453,\N,A2Vm
HIP 42913,74956,\N,\N,P-54  1788,0.043,0.101,-0.0113834599632909,0.007616540036709196,A1V
HIP 65378,116656,B+55 1598,\N,\N,0.057,0.063,0.3322419235585458,0.32924192355854576,A2V
HIP 65109,115892,\N,C-36  8497,P-36  5880,0.068,0.076,1.476935606600045,1.487935606600045,A2V
HIP 28360,40183,B+44 1328,\N,\N,0.077,0.085,-0.1049538008832815,-0.10095380088328199,A2V
HIP 59774,106591,B+57 1363,\N,\N,0.077,0.107,1.3330126021012827,1.3270126021012825,A3Vvar
HIP 84379,156164,B+25 3221,\N,\N,0.08,0.106,1.2128551406006478,1.2288551406006478,A3IVv SB
HIP 57632,102647,B+15 2383,\N,\N,0.09,0.157,1.9150695151902517,1.9180695151902514,A3Vvar
HIP 12706,16970,B+02  422,\N,\N,0.093,0.138,1.4683238939420864,1.4583238939420866,A3V
HIP 54872,97603,B+21 2298,\N,\N,0.128,0.169,1.321010765882605,1.335010765882605,A4V
HIP 113368,216956,\N,C-30 19370,P-30  6685,0.145,0.159,1.7410526412499658,1.8190526412499661,A3V
HIP 72622,130841,B-15 3966,\N,\N,0.147,0.187,0.8791335664285569,0.8991335664285565,A3IV
HIP 86032,159561,B+12 3252,\N,\N,0.155,0.209,1.3005211534875665,1.3265211534875663,A5III
HIP 88771,165777,B+09 3564,\N,\N,0.159,0.166,1.687481109127873,1.7144811091278722,A4IVs
HIP 8903,11636,B+20  306,\N,\N,0.165,0.18,1.3315239653705246,1.372523965370525,A5V...
