HIP,HD,BD,CoD,CPD,B_minus_V,BT_minus_VT,MV,MVt,SpType
HIP 24502,\N,\N,\N,\N,0.41,0.432,5.937777954929902,5.914777954929902,A2
HIP 79979,146835,\N,C-30 13040,\N,0.585,0.629,6.062506146934586,5.859506146934587,G1/G2
HIP 93185,176377,B+29 3423,\N,\N,0.606,0.653,4.9511220537621625,5.0171220537621615,G0
HIP 88622,165401,B+04 3589,\N,\N,0.61,0.652,4.863919283598679,4.940919283598679,G0V
HIP 81520,149612,\N,C-57  6486,P-57  8091,0.616,0.666,5.329917273041334,5.408917273041334,G3V
HIP 104436,199509,\N,\N,P-82   843,0.619,0.682,5.058698443095776,5.125698443095776,G3V
HIP 33537,51419,B+22 1531,\N,\N,0.62,0.703,5.0171197644297205,5.08511976442972,G5V
HIP 52369,92719,B-13 3196,\N,\N,0.622,0.698,4.943664464085981,5.014664464085983,G2/G3V
HIP 6405,8262,B+17  197,\N,\N,0.627,0.693,4.919217056123924,4.991217056123923,G3V
HIP 95149,181321,\N,C-35 13422,P-35  8542,0.628,0.694,4.883943057533412,4.955943057533411,G1/G2V
HIP 88945,166435,B+29 3190,\N,\N,0.633,0.685,4.829572356012642,4.900572356012642,G0
HIP 14286,18757,B+61  513,\N,\N,0.634,0.729,4.844393893508093,4.915393893508092,G4V
HIP 105184,202628,\N,C-43 14464,P-43  9422,0.637,0.71,4.868313536781024,4.949313536781023,G5V
HIP 1598,1562,B+37   42,\N,\N,0.64,0.693,4.993829423519438,5.065829423519437,G0
HIP 29432,42618,B+06 1155,\N,\N,0.642,0.706,5.030432575515364,5.116432575515364,G4V
HIP 64550,114853,\N,C-44  8505,P-44  6265,0.643,0.71,4.987023188557968,5.055023188557968,G2V
HIP 8486,11131,B-11  351,\N,\N,0.654,0.711,4.910948200954186,4.9759482009541856,G0
HIP 1349,1273,\N,C-53    36,P-53    42,0.655,0.694,5.029948903923428,5.114948903923429,G2V
HIP 15442,20619,B-03  534,\N,\N,0.655,0.721,5.088347183441215,5.159347183441215,G0
HIP 42333,73350,B-06 2664,\N,\N,0.655,0.731,4.872728295135648,4.945728295135648,G0
HIP 9829,12846,B+23  285,\N,\N,0.662,0.727,5.064400703832632,5.136400703832631,G2V
HIP 67655,120559,\N,C-56  5169,P-56  5970,0.663,0.726,5.981385421500964,6.043385421500964,G5V
HIP 90864,171067,B+13 3677,\N,\N,0.692,0.779,5.195592825276814,5.265592825276815,G8V
HIP 10339,13531,B+39  498,\N,\N,0.7,0.798,5.310883786979335,5.381883786979334,G0
HIP 27922,39855,B-19 1297,\N,\N,0.7,0.789,5.7203431367075215,5.796343136707522,G6V
HIP 34567,54371,B+25 1594,\N,\N,0.7,0.793,5.136904721253536,5.205904721253537,G8V
HIP 67620,120690,\N,C-23 11328,P-23  5802,0.703,\N,4.933518585725097,\N,G5V
HIP 42173,72946,\N,\N,\N,0.71,0.784,5.402647857134121,5.35564785713412,G5V
HIP 64690,113283,\N,C-86    85,P-86   283,0.71,0.781,5.148347183441214,5.221347183441214,G5IV-V
HIP 71743,128987,B-15 3924,\N,\N,0.71,0.802,5.3783651588330805,5.45036515883308,G6V
HIP 112245,215500,B+63 1882,\N,\N,0.719,0.794,5.500506278456955,5.587506278456955,G8V
HIP 28267,40397,B-04 1310,\N,\N,0.72,0.808,5.162386350803659,5.246386350803658,G0
HIP 72659,131156,B+19 2870,\N,\N,0.72,0.873,5.409717186421883,5.481717186421884,G8V + K4V
HIP 105712,203244,\N,C-68  2223,P-68  3418,0.723,0.814,5.424767313187091,5.50976731318709,G5V
HIP 45170,79096,B+15 2003,\N,\N,0.731,0.855,4.933433621420617,5.0114336214206165,G9V
HIP 52470,92786,B+48 1889,\N,\N,0.749,0.864,6.006281414625709,6.06928141462571,G5
HIP 114456,218868,B+44 4347,\N,\N,0.75,0.866,5.129595177517711,5.216595177517711,K0
HIP 400,225261,B+22 4950,\N,\N,0.755,0.861,5.778661194759178,5.860661194759177,G9V
HIP 27080,39194,\N,C-70   340,P-70   447,0.76,\N,6.049772775233677,\N,K0V
HIP 26501,37706,\N,C-46  1936,P-46   609,0.769,0.813,5.3179275087610245,5.5679275087610245,G5
HIP 81813,151541,B+68  883,\N,\N,0.769,0.888,5.631849197741444,5.705849197741444,K1V
HIP 54155,96064,B-03 3040,\N,\N,0.77,0.967,5.681025038521631,5.575025038521631,G5
HIP 9269,12051,B+32  360,\N,\N,0.773,0.901,5.190105123320727,5.2711051233207264,G5
HIP 70857,128642,B+81  482,\N,\N,0.774,0.865,5.419553328565531,5.512553328565531,G5
HIP 73005,132142,B+54 1716,\N,\N,0.785,0.927,5.877439322903151,5.936439322903152,K1V
HIP 76051,\N,\N,\N,\N,0.787,0.883,8.046187361748038,8.101187361748037,G
HIP 75718,137763,B-08 3981,\N,\N,0.788,0.936,5.399566056061721,5.456566056061719,K2V
HIP 59280,105631,B+41 2276,\N,\N,0.794,0.901,5.527623514268264,5.623623514268262,K0V
HIP 17666,23439,B+41  750,\N,\N,0.796,\N,5.724896899614986,\N,K1V
HIP 7576,10008,B-07  268,\N,\N,0.797,0.911,5.794267073333629,5.884267073333628,G5
HIP 98192,189087,B+29 3820,\N,\N,0.797,0.915,5.878644993539556,5.957644993539557,K1V
HIP 23786,32850,B+14  831,\N,\N,0.804,0.924,5.840680274868788,5.919680274868789,K0V
HIP 99316,191499,B+16 4166,\N,\N,0.81,0.952,5.627623514268263,5.813623514268263,K0...
HIP 34950,55458,B+25 1613,\N,\N,0.827,\N,6.395046199116719,\N,K1V
HIP 66781,119332,B+57 1459,\N,\N,0.83,0.958,5.892441812567244,5.992441812567244,K0IV-V
HIP 9716,12786,B-16  365,\N,\N,0.832,0.961,5.7542134156555,5.816213415655501,K0V
HIP 39064,65430,B+21 1731,\N,\N,0.833,0.981,5.857921331556152,5.938921331556151,K0V
HIP 72493,130042,\N,C-66  1650,P-66  2648,0.836,0.944,5.360159475631487,5.510159475631488,K0V
HIP 117542,223515,\N,C-30 19702,P-30  6793,0.839,0.994,5.864634071714855,5.924634071714854,K1V
HIP 116416,221851,B+30 4983,\N,\N,0.845,1.001,6.048576663235662,6.146576663235661,G5
HIP 26373,37572,\N,C-48  1894,P-48   687,0.845,0.974,6.061070114831477,6.130070114831478,K0V
