HIP,HD,BD,CoD,CPD,B_minus_V,BT_minus_VT,MV,MVt,SpType
HIP 116869,\N,\N,\N,\N,1.143,1.349,9.956874719565215,9.221874719565218,\N
HIP 55605,\N,\N,\N,\N,1.24,1.349,9.333008905824832,9.368008905824833,M0
HIP 50156,\N,\N,\N,\N,1.247,1.48,8.458763480695783,8.643763480695783,M0Ve
HIP 97051,\N,\N,\N,\N,1.26,1.454,8.226128557677082,8.34612855767708,M0
HIP 92756,\N,\N,\N,\N,1.27,1.374,8.447345798669193,8.248345798669195,\N
HIP 84223,\N,B+42 2810,\N,\N,1.28,1.575,8.18469484605745,8.31269484605745,M1V:
HIP 56630,\N,B+40 2442,\N,\N,1.29,1.682,8.073389591582508,8.22938959158251,M0
HIP 63942,\N,B+21 2486,\N,\N,1.29,1.656,8.093103989436415,8.276103989436415,M0
HIP 77268,329868,\N,C-46 10351,P-46  7681,1.309,1.487,8.628323893942087,8.972323893942086,M0:
HIP 16209,\N,\N,\N,\N,1.314,\N,9.065876317390517,\N,K4:
HIP 44899,\N,\N,C-34  5622,\N,1.316,1.572,8.563965198259655,8.729965198259656,K7V
HIP 73362,\N,\N,C-43  9510,P-43  6820,1.318,1.447,8.140304506352091,8.23730450635209,K7V
HIP 40170,\N,\N,\N,\N,1.319,1.785,8.260739191632435,8.399739191632436,K5
HIP 107772,\N,\N,C-41 14656,\N,1.328,1.72,8.799358826531165,8.857358826531165,M0
HIP 22498,\N,B+63  537,\N,\N,1.33,1.703,8.136538200368745,8.054538200368745,K7
HIP 8190,\N,\N,\N,\N,1.33,\N,9.453518706668374,\N,M:
HIP 108092,\N,\N,\N,\N,1.333,1.568,8.470874358813,8.647874358813,M2
HIP 75686,\N,B+03 3032,\N,\N,1.334,1.17,8.156992756406243,8.471992756406244,M0
HIP 49868,\N,B+75  403,\N,\N,1.335,0.873,7.843259614200013,7.335259614200012,M0
HIP 59000,105065,B-18 3319,\N,\N,1.336,1.675,8.22740386586838,8.37740386586838,K5V
HIP 16134,21531,B-20  643,\N,\N,1.337,\N,7.885270339990855,\N,K5V
HIP 55507,\N,B+47 1863,\N,\N,1.337,1.663,7.829755787824366,7.967755787824366,M0
HIP 101150,340345,B+26 3915,\N,\N,1.34,1.475,7.869428426406364,8.280428426406365,M2
HIP 55454,98712,B-19 3242,\N,\N,1.34,1.608,7.974067961403957,8.301067961403957,K4/K5V
HIP 116936,\N,B-03 5691,\N,\N,1.343,1.133,8.437853320902716,8.716853320902716,M0
HIP 78734,\N,\N,\N,\N,1.345,1.555,8.247342277897934,8.480342277897934,\N
HIP 10337,\N,B-21  397,\N,\N,1.346,1.627,8.007342277897934,8.162342277897933,K7V
HIP 37798,\N,B+02 1766,\N,\N,1.349,1.665,8.231560213486635,8.269560213486635,M0
HIP 53580,\N,B+70  639,\N,\N,1.352,1.605,8.468949146811145,8.634949146811145,M0
HIP 5957,\N,\N,\N,\N,1.353,1.639,8.31874342729763,8.41774342729763,K5
HIP 118212,\N,B+45 4378,\N,\N,1.355,1.618,8.372866269721971,8.62786626972197,M0
HIP 64880,\N,\N,\N,\N,1.356,\N,9.60555868537526,\N,M2V:
HIP 83147,\N,\N,C-26 11751,\N,1.356,1.394,8.382686471822346,8.339686471822343,M1V:
HIP 102101,\N,B+56 2471,\N,\N,1.36,1.429,8.372762223647177,8.424762223647177,M0
HIP 55718,\N,\N,\N,\N,1.36,1.578,8.441827904224867,8.633827904224868,M0
HIP 35943,\N,B-17 1959,\N,\N,1.365,2.163,8.4333776944257,8.6053776944257,M0V:
HIP 74815,\N,\N,\N,\N,1.366,\N,9.15501307262294,\N,\N
HIP 67808,\N,B+13 2721,\N,\N,1.369,1.652,8.183943057533412,8.47594305753341,M0
HIP 83454,\N,\N,\N,\N,1.369,1.845,8.36004966206115,8.213049662061152,K0
HIP 116491,\N,\N,C-49 14193,P-49 11759,1.37,1.822,8.21295729563424,8.31195729563424,M0
HIP 48502,\N,\N,C-31  7745,\N,1.375,1.756,8.146436325292497,8.314436325292498,M0V
HIP 72981,\N,\N,\N,\N,1.377,\N,9.51984729181486,\N,K:
HIP 44955,\N,B+33 1814,\N,\N,1.38,1.672,8.331549444707388,8.472549444707388,M2
HIP 59780,106549,\N,C-30  9789,P-30  3447,1.383,1.599,8.218283799680952,8.449283799680952,K5V
HIP 66492,\N,B+48 2138,\N,\N,1.384,1.672,8.067679535771083,8.490679535771083,M0...
HIP 41802,\N,\N,\N,\N,1.387,\N,9.504733071663123,\N,\N
HIP 12961,\N,\N,C-23  1056,\N,1.389,1.553,8.366763407689959,8.62576340768996,M0
HIP 169,224953,\N,C-68  2373,P-68  3594,1.39,1.506,8.237736535628077,8.292736535628077,M0V
HIP 40239,\N,B-13 2439,\N,\N,1.393,1.567,7.703679842593527,8.083679842593526,M0V
HIP 114954,\N,\N,C-24 17578,\N,1.395,1.546,9.247122188506236,9.396122188506238,K7
HIP 12351,\N,\N,C-58   538,P-58   223,1.396,1.536,8.38913576466214,8.611135764662139,M0Ve
HIP 114252,\N,B-16 6218,\N,\N,1.397,\N,9.171955492012335,\N,Me
HIP 11452,15285,B+03  339,\N,\N,1.397,1.665,7.588703755883703,7.7817037558837026,K7V:
HIP 39896,\N,B+33 1646,\N,\N,1.4,1.673,8.317936587863837,8.564936587863837,M0.5V:e
HIP 42748,\N,B+10 1857,\N,\N,1.4,1.661,8.993858185921491,9.158858185921492,M0
HIP 9749,\N,\N,C-28   657,\N,1.4,\N,9.115447143582776,\N,K
HIP 45116,\N,\N,\N,\N,1.402,\N,8.944320181549198,\N,M0
HIP 28153,\N,\N,C-46  2096,\N,1.404,2.269,8.715018005074318,8.942018005074319,M:
HIP 74261,\N,\N,C-42 10084,\N,1.406,\N,8.63975702066761,\N,M0
HIP 109084,\N,B-12 6174,\N,\N,1.408,1.535,8.466584402830561,8.603584402830561,M0
HIP 473,38,B+45 4408,\N,\N,1.41,1.655,7.8496478004229395,7.94864780042294,K2
HIP 67960,121271,\N,C-28 10318,P-28  4803,1.414,1.398,8.405138000494222,8.603138000494223,K5/M0V
HIP 52600,\N,B+39 2376,\N,\N,1.416,1.695,8.412312163807584,8.679312163807584,M2
HIP 897,\N,B-06   15,\N,\N,1.418,\N,8.825876317390513,\N,M2
HIP 58688,\N,\N,C-37  7614,\N,1.419,1.291,8.636246451989503,8.828246451989504,M0V
HIP 66587,\N,B-05 3740,\N,\N,1.419,1.564,8.75490814803716,9.08990814803716,K5
HIP 106803,\N,\N,\N,\N,1.42,1.559,9.01712218850624,9.217122188506238,M2
HIP 75798,\N,\N,\N,\N,1.423,1.304,8.528323893942085,8.689323893942086,\N
HIP 3008,\N,\N,\N,\N,1.424,1.337,8.667448647562555,8.868448647562554,M0
HIP 54803,\N,\N,\N,\N,1.424,1.529,8.379717174144865,8.281717174144866,M0:
HIP 3813,\N,\N,C-50   210,\N,1.426,1.23,9.088842753596898,9.374842753596898,M2
HIP 70849,\N,\N,C-45  9206,P-45  6863,1.427,1.495,8.461200949229156,8.598200949229156,K5
HIP 48447,\N,\N,\N,\N,1.429,1.422,8.846172535171473,9.105172535171473,K4
HIP 70308,\N,\N,C-67  1583,\N,1.429,1.803,8.381188425734504,8.572188425734502,M1V:
HIP 84487,\N,B-12 4699,\N,\N,1.429,1.679,8.489509158658358,8.503509158658357,M0
HIP 10191,13513,\N,C-36   816,\N,1.43,1.565,8.566136030207176,8.984136030207175,K0
HIP 15220,\N,\N,\N,\N,1.43,\N,9.88465179174348,\N,M2
HIP 23452,32450,B-21 1051,\N,\N,1.43,1.663,8.657970525887773,8.913970525887773,M0V
HIP 4443,\N,B-12  165,\N,\N,1.43,\N,9.232241923558544,\N,\N
HIP 117886,\N,B-22 6219,\N,\N,1.431,\N,8.83405573459482,\N,M0
HIP 31126,\N,\N,C-43  2523,P-43   912,1.432,\N,8.662377569442828,\N,\N
HIP 42881,\N,\N,C-44  4756,\N,1.432,\N,9.339142529478924,\N,M2V:
HIP 94739,179930,\N,C-46 12902,P-46  9672,1.432,1.522,8.39147355698732,8.56447355698732,K9V...
HIP 106694,\N,\N,\N,\N,1.433,1.53,8.521229265370621,8.775229265370621,M0...
HIP 111932,\N,\N,\N,\N,1.433,\N,9.851809655549392,\N,M0V:
HIP 113244,\N,\N,\N,\N,1.433,\N,9.301849197741443,\N,M0V:
HIP 93069,175224,\N,C-56  7546,P-56  9037,1.433,1.691,8.351980229650046,8.534980229650046,M2V
HIP 115058,\N,B+45 4188,\N,\N,1.434,\N,8.993958959782088,\N,M1
HIP 93072,\N,\N,\N,\N,1.437,\N,8.7633776944257,\N,\N
HIP 36626,\N,B+36 1638,\N,\N,1.439,1.636,10.23276840167105,10.384768401671051,M3.5Ve
HIP 60093,\N,B+29 2279,\N,\N,1.439,\N,8.661560213486634,\N,M2V
HIP 101574,\N,\N,\N,\N,1.44,\N,10.332945416463586,\N,M3
HIP 114066,\N,\N,\N,\N,1.44,\N,8.885180281252609,\N,M0
HIP 30256,\N,\N,C-22  3005,\N,1.44,1.208,8.798347183441214,9.209347183441214,\N
HIP 6097,\N,\N,\N,\N,1.44,\N,10.056652790046703,\N,M
HIP 90306,\N,\N,\N,\N,1.442,\N,9.257481109127871,\N,M:
HIP 10688,\N,\N,C-54   487,\N,1.446,\N,9.511906825553028,\N,M
HIP 51473,\N,\N,C-35  6480,\N,1.446,\N,9.1842134156555,\N,\N
HIP 54513,\N,\N,\N,\N,1.446,\N,9.223231178311972,\N,\N
HIP 56936,\N,\N,\N,\N,1.447,\N,10.431038061033426,\N,K4
HIP 6008,\N,B-14  249,\N,\N,1.447,\N,8.871321436793528,\N,M1
HIP 18180,\N,\N,C-37  1501,\N,1.45,\N,10.111885719987995,\N,K:
HIP 20222,\N,\N,\N,\N,1.45,\N,9.640934475993625,\N,M3V
HIP 29316,\N,B+10 1032,\N,\N,1.45,\N,10.247037782987364,\N,M3
HIP 80229,\N,\N,\N,\N,1.45,\N,9.884448846437424,\N,M3
HIP 94368,\N,\N,C-56  7638,\N,1.45,\N,9.80658650510691,\N,M2
