HIP,HD,BD,CoD,CPD,B_minus_V,BT_minus_VT,MV,MVt,SpType
HIP 30362,256294,B+08 1303,\N,\N,-0.056,-0.067,8.139822294973417,8.014822294973417,B8
HIP 35389,\N,B+18 1563,\N,\N,0.274,0.288,8.279555320991696,8.212555320991695,A0
HIP 1663,1651,B-01   31,\N,\N,0.362,0.382,7.647514170521717,7.6675141705217165,A5
HIP 117042,222788,B+18 5200,\N,\N,0.413,0.438,7.76713793525474,7.82213793525474,G0
HIP 107427,\N,\N,\N,\N,0.448,0.476,9.34804785889878,9.541047858898782,\N
HIP 100111,351880,\N,\N,\N,0.448,\N,9.52683025133014,\N,F2
HIP 10529,\N,B+66  193,\N,\N,0.461,\N,8.0498999491499,\N,F2
HIP 42525,\N,B+41 1865,\N,\N,0.47,0.5,8.18250875015806,8.65350875015806,F8
HIP 62951,\N,B-17 3725,\N,\N,0.497,0.53,6.919370610643235,6.812370610643236,A2
HIP 63383,\N,\N,\N,\N,0.515,0.55,8.965211706656008,8.506211706656009,G
HIP 117081,222834,\N,C-27 16423,\N,0.535,0.572,7.843922577489295,8.516922577489295,G:+...
HIP 21000,\N,B+04  701,\N,\N,0.6,\N,9.470954740193786,\N,F8+...
HIP 20968,\N,\N,\N,\N,0.646,0.701,11.828536350486749,11.306536350486747,\N
HIP 109670,\N,\N,C-47 14099,\N,0.66,\N,9.70711134674546,\N,G5
HIP 109119,\N,\N,\N,\N,0.668,0.728,10.061245679812975,9.664245679812979,A2
HIP 27111,247168,\N,\N,\N,0.699,\N,9.600079762359195,\N,F8:
HIP 47645,\N,\N,\N,\N,0.746,0.828,8.885876317390515,8.697876317390513,\N
HIP 60970,\N,\N,\N,\N,0.8,\N,10.098449095592008,\N,\N
HIP 49376,\N,\N,C-30  8159,\N,0.938,\N,10.084944601824668,\N,\N
HIP 85605,\N,\N,\N,\N,1.101,1.295,12.924161613421878,12.304161613421877,\N
HIP 116132,\N,B+19 5116,\N,\N,1.19,1.66,11.0714140627897,11.492414062789699,M6Ve
