HIP,designation_DR3,designation_DR2,designation_DR1,HD,Plx,simbad_parallax,e_Plx,simbad_parallax_error,B_minus_V,Vmag,SpType,simbad_distance_parallax
HIP 114110,\N,\N,\N,\N,216.52,\N,18.28,\N,\N,12.24,\N,\N
HIP 114176,\N,\N,\N,\N,147.95,\N,13.76,\N,\N,12.28,\N,\N
HIP 63882,\N,\N,\N,\N,43.18,\N,6.95,\N,1.637000000000000000000000000000,11.74,M4,\N
HIP 66182,\N,\N,\N,\N,59.1,0.41,114.46,1.9800000191,\N,12.96,\N,2439.0244
HIP 101574,\N,\N,\N,\N,43.51,21.15,8.83,6.8400001526,1.440000000000000000000000000000,12.14,M3,47.2813
HIP 59780,\N,Gaia DR2 3472485972258777088,\N,106549,49.62,34.6372,3.08,0.7617999911,1.383000000000000000000000000000,9.74,K5V,28.8707
HIP 54288,\N,\N,\N,\N,39.11,36.27,2.6,2.0699999332,1.270000000000000000000000000000,9.62,K5,27.571
HIP 66212,\N,\N,\N,118036,41.03,37.65,1.87,1.2999999523,1.521000000000000000000000000000,7.37,K4III,26.5604
HIP 65378,\N,\N,\N,116656,41.73,38.01,0.61,1.7100000381,0.057000000000000000000000000000,2.23,A2V,26.3089
HIP 116838,\N,\N,Gaia DR1 2826159845944612736,222474,39.51,38.43,1.85,0.9900000095,1.113000000000000000000000000000,8.27,K2,26.0213
HIP 26501,\N,\N,Gaia DR1 4796263715441768832,37706,39.59,39.22,0.94,0.75,0.769000000000000000000000000000,7.33,G5,25.4972
HIP 63503,\N,\N,\N,113139,40.06,39.3,0.6,0.3799999952,0.368000000000000000000000000000,4.93,F2V,25.4453
HIP 118310,\N,\N,\N,224660,39.43,39.86,1.36,1.4600000381,1.187000000000000000000000000000,8.85,K5,25.0878
HIP 40167,\N,\N,\N,68255,39.11,39.87,1.38,0.8199999928,0.531000000000000000000000000000,4.67,G0V,25.0815
HIP 72493,\N,\N,\N,130042,41.69,40.11,1.24,0.8899999857,0.836000000000000000000000000000,7.26,K0V,24.9314
HIP 28360,\N,Gaia DR2 196656661174768512,\N,40183,39.72,40.21,0.78,0.2300000042,0.077000000000000000000000000000,1.9,A2V,24.8694
HIP 42913,\N,\N,\N,74956,40.9,40.49,0.38,0.3899999857,0.043000000000000000000000000000,1.93,A1V,24.6975
HIP 60994,\N,\N,Gaia DR1 3528362362908431616,108799,40.03,40.57,0.98,0.6000000238,0.591000000000000000000000000000,6.37,G1/G2V,24.6488
HIP 73633,\N,\N,\N,132899,41.07,40.7,2.11,1.4900000095,1.145000000000000000000000000000,8.98,K3V,24.57
HIP 94336,\N,\N,\N,179957,40.16,40.9,0.83,0.5799999833,0.666000000000000000000000000000,5.85,G4V+...,24.4499
HIP 12706,\N,\N,\N,16970,39.78,40.97,0.95,0.6299999952,0.093000000000000000000000000000,3.47,A3V,24.4081
