HIP, HD, BD, CoD, CPD, B-V, BT-VT, MV, MVt, SpType
116869,\N,\N,\N,\N,1.143,1.349,9.956874719565217,9.221874719565218,\N
83405,\N,"B-05 4394",\N,\N,1.237,1.445,9.091528401423794,9.212528401423794,"M2"
55605,\N,\N,\N,\N,1.24,1.349,9.333008905824833,9.368008905824833,"M0"
50156,\N,\N,\N,\N,1.247,1.48,8.458763480695783,8.643763480695783,"M0Ve"
79796,\N,"B+55 1823",\N,\N,1.251,1.485,8.292431460943671,8.52943146094367,"M1.5Ve"
97051,\N,\N,\N,\N,1.26,1.454,8.226128557677082,8.34612855767708,"M0"
92756,\N,\N,\N,\N,1.27,1.374,8.447345798669193,8.248345798669195,\N
84223,\N,"B+42 2810",\N,\N,1.28,1.575,8.18469484605745,8.31269484605745,"M1V:"
5247,\N,"B+63  137",\N,\N,1.289,1.573,8.112801684713462,8.307801684713462,"K7V"
56630,\N,"B+40 2442",\N,\N,1.29,1.682,8.073389591582508,8.22938959158251,"M0"
63942,\N,"B+21 2486",\N,\N,1.29,1.656,8.093103989436415,8.276103989436415,"M0"
73786,\N,"B+06 2986",\N,\N,1.3,1.592,8.414605365833806,8.397605365833806,"K5"
112312,\N,\N,\N,\N,1.3,\N,9.834267073333628,\N,"M3"
77268,"329868",\N,"C-46 10351","P-46  7681",1.309,1.487,8.628323893942087,8.972323893942086,"M0:"
16209,\N,\N,\N,\N,1.314,\N,9.065876317390515,\N,"K4:"
56199,\N,"B+63  965",\N,\N,1.315,1.666,8.134172589140254,8.288172589140254,"M0"
44899,\N,\N,"C-34  5622",\N,1.316,1.572,8.563965198259655,8.729965198259656,"K7V"
73362,\N,\N,"C-43  9510","P-43  6820",1.318,1.447,8.140304506352091,8.23730450635209,"K7V"
40170,\N,\N,\N,\N,1.319,1.785,8.260739191632435,8.399739191632436,"K5"
27803,\N,"B-06 1339",\N,\N,1.321,1.606,8.183528904669586,8.286528904669588,"M0V"
107772,\N,\N,"C-41 14656",\N,1.328,1.72,8.799358826531165,8.857358826531165,"M0"
110443,"211970",\N,"C-55  9073","P-55  9831",1.329,1.651,8.348055984982338,8.529055984982335,"K7V"
8190,\N,\N,\N,\N,1.33,\N,9.453518706668374,\N,"M:"
22498,\N,"B+63  537",\N,\N,1.33,1.703,8.136538200368745,8.054538200368745,"K7"
108092,\N,\N,\N,\N,1.333,1.568,8.470874358813,8.647874358813,"M2"
75686,\N,"B+03 3032",\N,\N,1.334,1.17,8.156992756406243,8.471992756406244,"M0"
49868,\N,"B+75  403",\N,\N,1.335,0.873,7.843259614200013,7.335259614200012,"M0"
59000,"105065","B-18 3319",\N,\N,1.336,1.675,8.22740386586838,8.37740386586838,"K5V"
16134,"21531","B-20  643",\N,\N,1.337,\N,7.885270339990855,\N,"K5V"
55507,\N,"B+47 1863",\N,\N,1.337,1.663,7.829755787824366,7.967755787824366,"M0"
6290,\N,\N,\N,\N,1.34,1.715,8.969465081074787,9.105465081074788,"K6V:"
54966,\N,"B-17 3337",\N,\N,1.34,\N,8.397365098613797,\N,"K7V"
55454,"98712","B-19 3242",\N,\N,1.34,1.608,7.974067961403957,8.301067961403957,"K4/K5V"
59378,\N,\N,\N,\N,1.34,1.43,8.97279813881638,9.165798138816381,"M2V"
101150,"340345","B+26 3915",\N,\N,1.34,1.475,7.869428426406364,8.280428426406365,"M2"
116936,\N,"B-03 5691",\N,\N,1.343,1.133,8.437853320902716,8.716853320902716,"M0"
41689,\N,\N,\N,\N,1.345,1.678,8.883753673698326,9.044753673698327,"M0"
78734,\N,\N,\N,\N,1.345,1.555,8.247342277897934,8.480342277897934,\N
10337,\N,"B-21  397",\N,\N,1.346,1.627,8.007342277897934,8.162342277897933,"K7V"
37798,\N,"B+02 1766",\N,\N,1.349,1.665,8.231560213486635,8.269560213486635,"M0"
89825,"168442","B-01 3474",\N,\N,1.35,1.678,8.232067961435607,8.442067961435605,"K7V"
53580,\N,"B+70  639",\N,\N,1.352,1.605,8.468949146811145,8.634949146811145,"M0"
5957,\N,\N,\N,\N,1.353,1.639,8.31874342729763,8.41774342729763,"K5"
118212,\N,"B+45 4378",\N,\N,1.355,1.618,8.372866269721971,8.62786626972197,"M0"
64880,\N,\N,\N,\N,1.356,\N,9.605558685375259,\N,"M2V:"
83147,\N,\N,"C-26 11751",\N,1.356,1.394,8.382686471822346,8.339686471822343,"M1V:"
14445,"19305","B+01  543",\N,\N,1.358,1.539,8.222622570486294,8.414622570486294,"M0V"
49189,\N,"B+48 1829",\N,\N,1.359,1.509,9.164906684559968,9.33590668455997,"M2"
85295,"157881","B+02 3312",\N,\N,1.359,1.617,8.102019463589372,8.265019463589372,"K7V"
55718,\N,\N,\N,\N,1.36,1.578,8.441827904224867,8.633827904224868,"M0"
102101,\N,"B+56 2471",\N,\N,1.36,1.429,8.372762223647177,8.424762223647177,"M0"
63833,"113538",\N,"C-51  7244","P-51  5750",1.362,1.785,8.069333171424923,8.548333171424922,"K8V"
4012,\N,\N,\N,\N,1.363,1.414,9.331198022177276,9.480198022177277,"M2"
32313,\N,\N,\N,\N,1.364,\N,9.158381566204355,\N,"M0:V:"
4845,\N,"B-11  192",\N,\N,1.365,1.401,8.384149705715455,8.546149705715454,"K7V"
35943,\N,"B-17 1959",\N,\N,1.365,2.163,8.4333776944257,8.6053776944257,"M0V:"
74815,\N,\N,\N,\N,1.366,\N,9.155013072622939,\N,\N
111685,\N,"B+38 4818",\N,\N,1.367,1.676,8.028919684826647,8.187919684826648,"M2"
67808,\N,"B+13 2721",\N,\N,1.369,1.652,8.183943057533412,8.47594305753341,"M0"
83454,\N,\N,\N,\N,1.369,1.845,8.36004966206115,8.213049662061152,"K0"
116491,\N,\N,"C-49 14193","P-49 11759",1.37,1.822,8.21295729563424,8.31195729563424,"M0"
48502,\N,\N,"C-31  7745",\N,1.375,1.756,8.146436325292497,8.314436325292498,"M0V"
66675,"118926","B-03 3508",\N,\N,1.376,1.562,8.797942191177556,8.953942191177557,"M0V"
72981,\N,\N,\N,\N,1.377,\N,9.51984729181486,\N,"K:"
27188,\N,"B+62  780",\N,\N,1.379,1.658,8.337803822631212,8.526803822631212,"M0"
37288,\N,"B+02 1729",\N,\N,1.379,1.669,8.799107138414012,8.93110713841401,"M0"
44955,\N,"B+33 1814",\N,\N,1.38,1.672,8.331549444707388,8.472549444707388,"M2"
59780,"106549",\N,"C-30  9789","P-30  3447",1.383,1.599,8.218283799680952,8.449283799680952,"K5V"
66492,\N,"B+48 2138",\N,\N,1.384,1.672,8.067679535771083,8.490679535771083,"M0..."
38594,\N,\N,"C-24  6144","P-24  3055",1.385,1.505,8.294652679033081,8.499652679033082,"M"
66222,\N,"B+05 2767",\N,\N,1.385,1.681,8.391208979888559,8.58820897988856,"M0.5V:"
77725,\N,"B+11 2874",\N,\N,1.385,1.674,7.570547609894241,7.821547609894241,"M2"
23708,\N,\N,"C-57  1079","P-57   737",1.386,1.644,8.671597716710778,8.774597716710778,"K7V"
41802,\N,\N,\N,\N,1.387,\N,9.504733071663125,\N,\N
12961,\N,\N,"C-23  1056",\N,1.389,1.553,8.366763407689959,8.62576340768996,"M0"
169,"224953",\N,"C-68  2373","P-68  3594",1.39,1.506,8.237736535628077,8.292736535628077,"M0V"
69824,\N,"B+46 1951",\N,\N,1.391,1.801,8.837443845897807,9.060443845897808,"M0"
40239,\N,"B-13 2439",\N,\N,1.393,1.567,7.703679842593527,8.083679842593526,"M0V"
114954,\N,\N,"C-24 17578",\N,1.395,1.546,9.247122188506237,9.396122188506238,"K7"
12351,\N,\N,"C-58   538","P-58   223",1.396,1.536,8.38913576466214,8.611135764662139,"M0Ve"
